"community","category","crime_count","year","month"
"01K","Assault (Non-domestic)","1","2022","11"
"09O","Theft OF Vehicle","1","2022","9"
"03W","Break & Enter - Commercial","1","2024","8"
"02E","Assault (Non-domestic)","1","2020","3"
"01K","Theft FROM Vehicle","1","2021","8"
"02E","Theft OF Vehicle","1","2020","12"
"02E","Assault (Non-domestic)","5","2019","7"
"02C","Theft FROM Vehicle","4","2023","1"
"09P","Break & Enter - Dwelling","1","2023","2"
"02C","Theft OF Vehicle","1","2024","5"
"02K","Break & Enter - Commercial","1","2020","1"
"01F","Break & Enter - Commercial","1","2021","6"
"03W","Theft FROM Vehicle","1","2022","8"
"05F","Theft FROM Vehicle","1","2023","10"
"01K","Theft OF Vehicle","1","2022","3"
"02E","Assault (Non-domestic)","6","2021","5"
"02B","Break & Enter - Commercial","1","2023","4"
"01B","Theft OF Vehicle","1","2020","6"
"09K","Theft FROM Vehicle","1","2023","10"
"06A","Theft FROM Vehicle","1","2019","10"
"06A","Break & Enter - Commercial","1","2023","1"
"09H","Theft FROM Vehicle","2","2023","9"
"02F","Theft FROM Vehicle","1","2023","1"
"09O","Theft OF Vehicle","2","2022","12"
"02F","Break & Enter - Commercial","1","2019","9"
"09K","Theft OF Vehicle","1","2021","8"
"02B","Break & Enter - Commercial","1","2021","8"
"01B","Break & Enter - Commercial","2","2020","7"
"02E","Break & Enter - Commercial","1","2024","6"
"09K","Theft OF Vehicle","1","2021","4"
"05D","Theft OF Vehicle","1","2021","4"
"05F","Theft OF Vehicle","1","2021","2"
"02E","Violence  'Other' (Non-domestic)","1","2022","9"
"03W","Break & Enter - Commercial","1","2021","10"
"02F","Theft FROM Vehicle","1","2023","4"
"09O","Theft OF Vehicle","1","2023","10"
"02E","Assault (Non-domestic)","5","2020","9"
"02F","Theft OF Vehicle","1","2019","12"
"09K","Break & Enter - Commercial","1","2021","4"
"09K","Break & Enter - Commercial","1","2024","7"
"09O","Theft FROM Vehicle","1","2021","8"
"02E","Assault (Non-domestic)","6","2018","8"
"02F","Break & Enter - Commercial","1","2024","7"
"03W","Theft FROM Vehicle","1","2022","4"
"09O","Violence  'Other' (Non-domestic)","1","2021","1"
"09O","Theft FROM Vehicle","1","2023","12"
"09O","Theft FROM Vehicle","1","2022","8"
"02E","Assault (Non-domestic)","5","2024","1"
"01B","Break & Enter - Commercial","2","2020","3"
"02E","Theft FROM Vehicle","1","2023","12"
"09O","Break & Enter - Commercial","1","2018","6"
"05F","Theft FROM Vehicle","1","2021","6"
"02E","Commercial Robbery","1","2021","10"
"09O","Assault (Non-domestic)","1","2023","7"
"02E","Violence  'Other' (Non-domestic)","1","2020","7"
"09O","Theft OF Vehicle","1","2021","10"
"02C","Break & Enter - Commercial","1","2023","1"
"02E","Violence  'Other' (Non-domestic)","1","2023","1"
"09K","Break & Enter - Commercial","1","2018","8"
"02E","Assault (Non-domestic)","12","2018","2"
"06A","Theft FROM Vehicle","2","2023","7"
"01B","Break & Enter - Commercial","1","2019","8"
"06A","Theft OF Vehicle","1","2019","1"
"09K","Break & Enter - Commercial","1","2024","1"
"02E","Violence  'Other' (Non-domestic)","1","2022","7"
"05F","Theft OF Vehicle","1","2020","7"
"02E","Assault (Non-domestic)","6","2023","2"
"02E","Assault (Non-domestic)","7","2018","10"
"01K","Assault (Non-domestic)","1","2020","5"
"09O","Theft FROM Vehicle","1","2023","7"
"01F","Theft OF Vehicle","1","2020","11"
"01K","Violence  'Other' (Non-domestic)","1","2018","8"
"09O","Violence  'Other' (Non-domestic)","1","2022","8"
"09O","Theft FROM Vehicle","2","2018","9"
"03W","Theft OF Vehicle","1","2018","6"
"02E","Assault (Non-domestic)","8","2020","8"
"01K","Theft FROM Vehicle","1","2022","2"
"02E","Violence  'Other' (Non-domestic)","2","2023","4"
"01K","Assault (Non-domestic)","1","2018","1"
"02E","Theft FROM Vehicle","1","2020","7"
"01B","Theft FROM Vehicle","1","2020","7"
"05F","Theft OF Vehicle","1","2019","11"
"02E","Theft FROM Vehicle","1","2019","10"
"02E","Violence  'Other' (Non-domestic)","1","2021","3"
"03W","Theft FROM Vehicle","1","2022","5"
"02C","Break & Enter - Commercial","1","2023","11"
"09O","Break & Enter - Commercial","1","2021","9"
"01K","Theft FROM Vehicle","2","2023","5"
"09K","Break & Enter - Other Premises","1","2018","8"
"06A","Theft FROM Vehicle","1","2019","5"
"09K","Break & Enter - Commercial","1","2023","8"
"09K","Theft OF Vehicle","1","2020","11"
"09O","Theft OF Vehicle","2","2022","4"
"09O","Theft FROM Vehicle","1","2021","12"
"02F","Theft FROM Vehicle","1","2019","3"
"02E","Assault (Non-domestic)","5","2019","11"
"01K","Break & Enter - Commercial","1","2019","6"
"01K","Violence  'Other' (Non-domestic)","1","2018","1"
"09O","Theft FROM Vehicle","1","2021","7"
"01K","Theft OF Vehicle","1","2023","3"
