"date","alarm_year","alarm_month","alarm_day","major_incident_type","incident_count","id"
"2010-09-02T00:00:00.000","2010","9","2","Fire","8","2010-09-02Fire"
"2010-10-15T00:00:00.000","2010","10","15","Medical/Rescue","53","2010-10-15Medical/Rescue"
"2011-04-05T00:00:00.000","2011","4","5","Fire","1","2011-04-05Fire"
"2011-08-30T00:00:00.000","2011","8","30","Fire","6","2011-08-30Fire"
"2012-02-21T00:00:00.000","2012","2","21","Fire","7","2012-02-21Fire"
"2012-04-06T00:00:00.000","2012","4","6","Hazardous Condition","17","2012-04-06Hazardous Condition"
"2012-09-21T00:00:00.000","2012","9","21","Investigation","9","2012-09-21Investigation"
"2012-10-24T00:00:00.000","2012","10","24","Fire","3","2012-10-24Fire"
"2012-11-22T00:00:00.000","2012","11","22","Fire","6","2012-11-22Fire"
"2013-04-08T00:00:00.000","2013","4","8","Fire","8","2013-04-08Fire"
"2013-05-29T00:00:00.000","2013","5","29","Public Service Assistance","20","2013-05-29Public Service Assistance"
"2013-12-16T00:00:00.000","2013","12","16","Hazardous Condition","23","2013-12-16Hazardous Condition"
"2014-11-06T00:00:00.000","2014","11","6","Investigation","9","2014-11-06Investigation"
"2010-04-01T00:00:00.000","2010","4","1","Hazardous Condition","19","2010-04-01Hazardous Condition"
"2011-01-28T00:00:00.000","2011","1","28","Investigation","12","2011-01-28Investigation"
"2011-08-25T00:00:00.000","2011","8","25","Medical/Rescue","66","2011-08-25Medical/Rescue"
"2012-04-06T00:00:00.000","2012","4","6","Investigation","12","2012-04-06Investigation"
"2012-10-22T00:00:00.000","2012","10","22","Public Service Assistance","10","2012-10-22Public Service Assistance"
"2013-06-30T00:00:00.000","2013","6","30","Fire","5","2013-06-30Fire"
"2013-12-01T00:00:00.000","2013","12","1","Public Service Assistance","5","2013-12-01Public Service Assistance"
"2014-01-26T00:00:00.000","2014","1","26","Medical/Rescue","72","2014-01-26Medical/Rescue"
"2014-02-11T00:00:00.000","2014","2","11","Hazardous Condition","21","2014-02-11Hazardous Condition"
"2014-03-04T00:00:00.000","2014","3","4","Hazardous Condition","24","2014-03-04Hazardous Condition"
"2014-06-08T00:00:00.000","2014","6","8","Fire","7","2014-06-08Fire"
"2014-10-17T00:00:00.000","2014","10","17","Public Service Assistance","12","2014-10-17Public Service Assistance"
"2014-10-27T00:00:00.000","2014","10","27","Medical/Rescue","65","2014-10-27Medical/Rescue"
"2011-02-23T00:00:00.000","2011","2","23","Hazardous Condition","23","2011-02-23Hazardous Condition"
"2011-07-28T00:00:00.000","2011","7","28","Investigation","12","2011-07-28Investigation"
"2012-03-09T00:00:00.000","2012","3","9","False Alarm","15","2012-03-09False Alarm"
"2012-09-21T00:00:00.000","2012","9","21","Medical/Rescue","76","2012-09-21Medical/Rescue"
"2012-11-30T00:00:00.000","2012","11","30","Public Service Assistance","5","2012-11-30Public Service Assistance"
"2013-05-30T00:00:00.000","2013","5","30","Medical/Rescue","71","2013-05-30Medical/Rescue"
"2013-07-29T00:00:00.000","2013","7","29","False Alarm","30","2013-07-29False Alarm"
"2013-08-10T00:00:00.000","2013","8","10","False Alarm","20","2013-08-10False Alarm"
"2013-11-06T00:00:00.000","2013","11","6","Hazardous Condition","16","2013-11-06Hazardous Condition"
"2013-11-14T00:00:00.000","2013","11","14","Public Service Assistance","7","2013-11-14Public Service Assistance"
"2014-01-11T00:00:00.000","2014","1","11","Severe Weather","1","2014-01-11Severe Weather"
"2014-01-20T00:00:00.000","2014","1","20","Investigation","6","2014-01-20Investigation"
"2014-04-14T00:00:00.000","2014","4","14","Investigation","18","2014-04-14Investigation"
"2010-08-14T00:00:00.000","2010","8","14","Medical/Rescue","72","2010-08-14Medical/Rescue"
"2011-06-05T00:00:00.000","2011","6","5","Public Service Assistance","6","2011-06-05Public Service Assistance"
"2011-07-06T00:00:00.000","2011","7","6","Public Service Assistance","17","2011-07-06Public Service Assistance"
"2012-01-27T00:00:00.000","2012","1","27","False Alarm","25","2012-01-27False Alarm"
"2012-04-21T00:00:00.000","2012","4","21","False Alarm","13","2012-04-21False Alarm"
"2012-06-16T00:00:00.000","2012","6","16","Public Service Assistance","15","2012-06-16Public Service Assistance"
"2013-05-08T00:00:00.000","2013","5","8","Hazardous Condition","23","2013-05-08Hazardous Condition"
"2013-11-06T00:00:00.000","2013","11","6","Investigation","10","2013-11-06Investigation"
"2014-01-20T00:00:00.000","2014","1","20","Medical/Rescue","83","2014-01-20Medical/Rescue"
"2014-03-10T00:00:00.000","2014","3","10","Medical/Rescue","79","2014-03-10Medical/Rescue"
"2014-03-11T00:00:00.000","2014","3","11","Investigation","15","2014-03-11Investigation"
"2014-06-09T00:00:00.000","2014","6","9","Medical/Rescue","79","2014-06-09Medical/Rescue"
"2014-06-17T00:00:00.000","2014","6","17","Hazardous Condition","20","2014-06-17Hazardous Condition"
"2014-10-07T00:00:00.000","2014","10","7","Medical/Rescue","79","2014-10-07Medical/Rescue"
"2011-01-28T00:00:00.000","2011","1","28","Medical/Rescue","70","2011-01-28Medical/Rescue"
"2011-03-03T00:00:00.000","2011","3","3","Public Service Assistance","10","2011-03-03Public Service Assistance"
"2011-09-11T00:00:00.000","2011","9","11","Medical/Rescue","48","2011-09-11Medical/Rescue"
"2011-12-31T00:00:00.000","2011","12","31","Severe Weather","1","2011-12-31Severe Weather"
"2012-01-27T00:00:00.000","2012","1","27","Hazardous Condition","30","2012-01-27Hazardous Condition"
"2012-04-21T00:00:00.000","2012","4","21","Fire","11","2012-04-21Fire"
"2012-08-08T00:00:00.000","2012","8","8","Medical/Rescue","79","2012-08-08Medical/Rescue"
"2013-06-28T00:00:00.000","2013","6","28","Hazardous Condition","38","2013-06-28Hazardous Condition"
"2013-10-14T00:00:00.000","2013","10","14","False Alarm","14","2013-10-14False Alarm"
"2013-11-06T00:00:00.000","2013","11","6","Medical/Rescue","82","2013-11-06Medical/Rescue"
"2014-06-09T00:00:00.000","2014","6","9","Public Service Assistance","11","2014-06-09Public Service Assistance"
"2014-07-14T00:00:00.000","2014","7","14","Medical/Rescue","78","2014-07-14Medical/Rescue"
"2014-07-19T00:00:00.000","2014","7","19","False Alarm","20","2014-07-19False Alarm"
"2014-09-04T00:00:00.000","2014","9","4","Investigation","14","2014-09-04Investigation"
"2014-09-23T00:00:00.000","2014","9","23","Investigation","16","2014-09-23Investigation"
"2015-02-03T00:00:00.000","2015","2","3","Fire","4","2015-02-03Fire"
"2010-10-18T00:00:00.000","2010","10","18","Public Service Assistance","5","2010-10-18Public Service Assistance"
