"stn_num","name","address","community","non_emergency_info",":@computed_region_4b54_tmc4",":@computed_region_4a3i_ccfj",":@computed_region_kxmf_bzkv",":@computed_region_p8tp_5dkv","modified_dt"
"24","Station 24","2607 106 AV SW","Cedarbrae","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","8","1","126","5",NA
"12","Station 12","123 44 ST SE","Forest Heights","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","12","3","194","11","2019-09-10T08:59:09.000Z"
"20","Station 20","2800 PEACEKEEPERS WY SW","Lincoln Park","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","8","1","42","2","2019-09-10T09:04:08.000Z"
"38","Station 38","128 CORNERSTONE HEIGHTS NE","Cornerstone","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","11","4","11","1","2025-09-16T15:14:10.000Z"
"40","Station 40","12920 SYMONS VALLEY RD NW","Sage Hill","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","3","2","265","10","2019-09-10T09:40:43.000Z"
"42","Station 42","275 TUSCANY WY NW","Tuscany","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","13","2","158","9","2020-05-27T08:16:34.000Z"
"32","Station 32","800 SADDLETOWNE CI NE","Saddleridge","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","11","4","2","1","2019-09-10T09:27:24.000Z"
"25","Station 25","4705 76 AV SE","Foothills","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","10","3","159","11","2019-09-10T09:09:23.000Z"
"37","Station 37","2511 EVERSYDE AV SW","Evergreen","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","5","1","39","6","2019-09-10T09:34:08.000Z"
"1","Station 01","450 1 ST SE","Downtown","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","7","3","262","7","2020-05-27T08:18:23.000Z"
"33","Station 33","3800 69 ST SW","Signal Hill","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","1","1","278","14","2019-09-10T09:27:53.000Z"
"14","Station 14","9840 HORTON RD SW","Haysboro","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","8","1","195","5","2019-09-10T08:59:35.000Z"
"27","Station 27","BUILDING C - 11358 BARLOW TR NE","Stonegate Landing","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","11","4","6","1","2019-09-10T09:48:26.000Z"
"43","Station 43","969 WALDEN DR SE","Walden","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","6","3","135","13","2020-05-27T08:17:18.000Z"
"16","Station 16 HQ","4124 11 ST SE","Highfield","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","10","3","75","11","2019-09-10T09:02:22.000Z"
"8","Station 08","1720 45 ST SW","Rosscarrock","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","14","1","281","2","2020-05-27T08:17:49.000Z"
"19","Station 19","13807 PARKLAND BV SE","Parkland","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","6","3","117","13","2019-09-10T09:03:40.000Z"
"23","Station 23","2727 26 AV SE","Southview","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","10","3","196","11","2019-09-10T09:08:29.000Z"
"17","Station 17","#150, 3400 37 ST NW","Varsity","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","13","2","269","9","2025-08-21T13:34:51.000Z"
"21","Station 21","209 SILVERGROVE DR NW","Silver Springs","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","13","2","147","9","2019-09-10T09:07:15.000Z"
"7","Station 07","2708 4 ST NW","Mount Pleasant","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","7","2","17","7","2020-05-27T08:17:47.000Z"
"9","Station 09","2515 78 AV SE","Ogden","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","10","3","28","11","2020-05-27T08:17:52.000Z"
"31","Station 31","11955 COUNTRY VILLAGE LI  NE","Country Hills","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","11","4","264","12","2019-09-10T09:26:49.000Z"
"34","Station 34","16 ROYAL VISTA WY NW","Royal Oak","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","3","2","157","9","2019-09-10T09:32:06.000Z"
"41","Station 41","3790 SETON DR SE","Seton","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","4","3","90","8","2019-09-10T09:42:32.000Z"
"22","Station 22","7199 TEMPLE DR NE","Temple","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","9","4","22","3","2019-09-10T09:08:11.000Z"
"15","Station 15","6328 35 AV NW","Bowness","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","13","2","149","9","2019-09-10T09:01:55.000Z"
"44","Station 44","1248 LIVINGSTON WY NE","Livingston","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","11","4","246","12","2021-04-28T08:33:55.000Z"
"10","Station 10","1909 16 AV NW","Briar Hill","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","7","2","152","7","2019-09-10T08:56:44.000Z"
"4","Station 04","1991 18 AV NE","Vista Heights","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","9","4","141","3","2020-05-27T08:17:43.000Z"
"36","Station 36","10071 HIDDEN VALLEY DR NW","Hidden Valley","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","2","2","25","12","2019-09-10T09:33:02.000Z"
"30","Station 30","6 McKENZIE TOWNE GA SE","McKenzie Towne","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","4","3","46","8","2019-09-10T09:25:43.000Z"
"5","Station 05","3129 14 ST SW","South Calgary","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","14","1","207","2","2020-05-27T08:17:57.000Z"
"28","Station 28","7925 EDGEMONT BV NW","Edgemont","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","2","2","272","4","2019-09-10T09:19:34.000Z"
"45","Station 45","2000, 250 EAST HILLS SQ SE","Belvedere","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","12","3","179","11","2023-10-11T13:50:34.000Z"
"39","Station 39","4199 114 AV SE","Douglas Glen","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","4","3","79","8","2019-09-10T09:38:47.000Z"
"35","Station 35","11280 VALLEY RIDGE BV NW","Valley Ridge","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","13","2","47","9","2019-09-10T09:32:39.000Z"
"18","Station 18","415 68 AV NW","Huntington Hills","http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx","2","2","261","4","2019-09-10T09:03:13.000Z"
