"soda_id","title","type","search_keyword"
"78gh-n26t","Community Crime Statistics","dataset","crime"
"sycx-s5a6","Community Crime Data Lens","story","crime"
"4evm-wx9a","Social Disorder Statistics","dataset","crime"
"shzx-2b3s","Police Districts","map","crime"
"ap4r-bav3","Police Service","dataset","crime"
"86mc-9jh2","Police Districts","dataset","crime"
"h3h6-kgme","Community Disorder Statistics","dataset","crime"
"pqfd-saqa","Police Zones","map","crime"
"f6ia-q8cs","Police Zones","dataset","crime"
"q65a-qvjx","Calgary Equity Index - Indicator Values by CSA","chart","crime"
"hy6b-89wc","Calgary Equity Index - Weighted Score Overall Rank","map","crime"
"u3my-59cd","CEI Matrix - Self-perceived Health","map","crime"
"m2q8-sk4i","CEI Matrix - Diabetes Prevalence","map","crime"
"2keb-d769","Calgary Equity Index Ranges","dataset","crime"
"3prw-ae4y","Calgary Equity Index - Municipal voting","map","crime"
"e3fq-a3m7","CEI Matrix - COPD Prevalence","map","crime"
"i6pu-a35d","Calgary Equity Index - 2024","file","crime"
"xeek-u7v8","Calgary Equity Index Matrix","dataset","crime"
"dgww-92dj","CEI Matrix - Population Health Domain","filter","crime"
"3x7d-kvap","CEI Matrix - Physical Infrastructure and Environment","filter","crime"
"rmnd-5f2f","Calgary Equity Index Matrix - Domain Filter","filter","crime"
"ph56-b2j6","CEI Matrix - Human and Social Development Domain","filter","crime"
"6bev-z2q5","CEI Matrix - Total Equity Score","filter","crime"
"am4g-kdk6","CEI Matrix - Economic Opportunity Domain","filter","crime"
"abr2-wmid","CEI Matrix - Governance Domain","filter","crime"
"ehvy-b4t6","Police Service Locations","map","police"
"dv2f-necx","Intersection Safety Cameras","dataset","police"
"btc8-9kef","Citizen Satisfaction Survey (2018-2021)","dataset","police"
"cqsb-2hhg","Fire Stations","dataset","fire"
"ensa-5tb3","Map of Fire Stations","map","fire"
"eaex-8bh9","Fire Response Time","dataset","fire"
"bdez-pds9","Fire Emergency Response Calls","dataset","fire"
"cfrr-izv5","Fire Response Flame Spread","dataset","fire"
"bmdy-qq3k","Fire Response Time Year to Date","dataset","fire"
"d6us-rmnf","Fire Emergency Response Calls Daily","dataset","fire"
"2jz8-wskw","Fire Emergency Response Calls Year to Date","dataset","fire"
"5qgc-b482","Water Hydrants","dataset","fire"
"ufkw-t69m","Annual Waste Volumes","dataset","fire"
"5pvv-k7hn","Plumbing Permits and Inspections","dataset","fire"
