title,url,format,wayback_url,retrieved,source_page_url,license
"Injury and Trauma Emergency Department and Hospitalization Statistics, 2024–2025",https://www.cihi.ca/sites/default/files/document/injury-trauma-emergency-dept-hospitalizations-2024-2025-data-tables-en.xlsx,xlsx,,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Wait Times for Priority Procedures in Canada, 2008 to 2025 — Data Tables",https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2008-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718153808/https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2008-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Health Workforce in Canada, 2024 — Quick Stats",https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260226060325/https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Summary Statistics on Organ Transplants, Wait-Lists, and Donors, 2025",https://www.cihi.ca/sites/default/files/document/summary-stats-organ-transplants-wait-lists-donors-data-tables-2025-en.xlsx,xlsx,https://web.archive.org/web/20260718153824/https://www.cihi.ca/sites/default/files/document/summary-stats-organ-transplants-wait-lists-donors-data-tables-2025-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Hospital Beds, 2024–2025",https://www.cihi.ca/sites/default/files/document/hospital-beds-2024-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718164907/https://www.cihi.ca/sites/default/files/document/hospital-beds-2024-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Formulary Coverage in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/formulary-coverage-data-tool-data-table-en.xlsx,xlsx,https://web.archive.org/web/20260508220441/https://www.cihi.ca/sites/default/files/document/formulary-coverage-data-tool-data-table-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
How Canada Compares: Results From the Commonwealth Fund’s 2025 International Health Policy Survey of Primary Care Physicians in 10 Countries — Quick Stats,https://www.cihi.ca/sites/default/files/document/cmwf-2025-quick-stats-en.xlsx,xlsx,https://web.archive.org/web/20260718164921/https://www.cihi.ca/sites/default/files/document/cmwf-2025-quick-stats-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
How Canada Compares: Results From the Commonwealth Fund’s 2025 International Health Policy Survey of Primary Care Physicians in 10 Countries — Data Tables,https://www.cihi.ca/sites/default/files/document/cmwf-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718164933/https://www.cihi.ca/sites/default/files/document/cmwf-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"NACRS Emergency Department Visits and Lengths of Stay by Province/Territory, 2025–2026 (Q1 to Q2) — Provisional Data",https://www.cihi.ca/sites/default/files/document/emergency-department-visits-apr-sep-2025-provisional-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260613200404/https://www.cihi.ca/sites/default/files/document/emergency-department-visits-apr-sep-2025-provisional-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Inpatient Hospitalization, Surgery and Newborn Statistics, 2024-2025",https://www.cihi.ca/sites/default/files/document/dad-hmdb-childbirth-2024-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260520011829/https://www.cihi.ca/sites/default/files/document/dad-hmdb-childbirth-2024-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Hospitalization and Childbirth, 1995–1996 to 2024-2025 — Supplementary Statistics",https://www.cihi.ca/sites/default/files/document/hospital-childbirth-1995-2024-supplementary-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260520011829/https://www.cihi.ca/sites/default/files/document/hospital-childbirth-1995-2024-supplementary-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Deceased Donation, Living Donation and Transplantation in Canada: Summary Volumes — Data Tables",https://www.cihi.ca/sites/default/files/document/deceased-and-living-donation-transplantation-canada-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250903122954/https://www.cihi.ca/sites/default/files/document/deceased-and-living-donation-transplantation-canada-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Adult Organ Donation and Transplantation, 2015 to 2024 — Supplementary Data Tables",https://www.cihi.ca/sites/default/files/document/adult-organ-donation-transplant-2015-2024-supplementary-data-tables-en.xlsx,xlsx,,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Pediatric Organ Donation and Transplantation, 2015 to 2024 — Supplementary Data Tables",https://www.cihi.ca/sites/default/files/document/pediatric-organ-donation-transplant-2015-2024-supplementary-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718153922/https://www.cihi.ca/sites/default/files/document/pediatric-organ-donation-transplant-2015-2024-supplementary-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Canadian Organ Donation and Transplantation Data System (CanODT) Historical ODT Volumes, 1981 to 2024 — Data Tables",https://www.cihi.ca/sites/default/files/document/historical-odt-volumes-1981-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718154018/https://www.cihi.ca/sites/default/files/document/historical-odt-volumes-1981-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Profile of Clients in Home Care, 2024–2025",https://www.cihi.ca/sites/default/files/document/home-care-quickstats-2024-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718154030/https://www.cihi.ca/sites/default/files/document/home-care-quickstats-2024-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Treatment of End-Stage Organ Failure in Canada, Canadian Organ Replacement Register, 2015 to 2024: Dialysis and Pre-emptive Kidney Transplant — Data Tables",https://www.cihi.ca/sites/default/files/document/dialysis-and-preemptive-kidney-transplant-2015-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260107080942/https://www.cihi.ca/sites/default/files/document/dialysis-and-preemptive-kidney-transplant-2015-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"DAD and NACRS Provisional Data Timeliness, 2025–2026 — Data Tables",https://www.cihi.ca/sites/default/files/document/dad-nacrs-provisional-data-timeliness-2025-2026-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250929200548/https://www.cihi.ca/sites/default/files/document/dad-nacrs-provisional-data-timeliness-2025-2026-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Spending Trends in Health Service Delivery, 2025 — Data Tables",https://www.cihi.ca/sites/default/files/document/spending-trends-health-service-delivery-2014-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20251127212939/https://www.cihi.ca/sites/default/files/document/spending-trends-health-service-delivery-2014-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"National Health Expenditure Trends, 2025: Data Tables — Series H",https://www.cihi.ca/sites/default/files/document/nhex-series-h-2025-en.xlsx,xlsx,https://web.archive.org/web/20251127201526/https://www.cihi.ca/sites/default/files/document/nhex-series-h-2025-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
