"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"ex39-rsw7","COVID-19 in Alberta: Current cases by local geographic area (Map View)","map","Current COVID-19 cases in Alberta, by local geographic area.

    This is a mirror of the data presented in the map view at https://www.alberta.ca/stats/covid-19-alberta-statistics.htm ('Geospatial' t","2022-09-28T22:09:11.000Z",196438,"Community Services"
"24uj-dj8v","General Building Permits","dataset","List of issued building permits from the City of Edmonton - Urban Planning & Economy Department for the public to do construction or maintenance on a structure located in the City. Note - All records ","2026-05-24T10:20:03.000Z",140230,"Urban Planning & Economy"
"mhbf-f3zb","Traffic Disruptions Map","map","This dataset provides information about what's happening on Edmonton's roads that could impact your drive, including: 
Major road closures and detours, Road construction, Travel delays and special eve","2026-05-24T16:02:54.000Z",128386,"Transportation"
"qkyj-dqjp","COVID-19 in Edmonton: Daily Active Cases","chart","COVID-19 data for Edmonton:
    
    From https://www.alberta.ca/covid-19-alberta-data.aspx:
      - Previous day's Confirmed Cases, Active Cases, Recovered Cases, In Hospital, In Intensive Care, D","2023-08-29T21:15:29.000Z",108708,"Community Services"
"q35u-fg2i","Scheduled Automated Enforcement Zones","story","Superseded: Please visit the Safe Streets Map at https://gis.edmonton.ca/portal/apps/instant/minimalist/index.html?appid=605857c965cf43b0aa98f2d9ed7f0653","2022-08-02T18:10:09.842Z",101939,"Transportation"
"kiw9-p7ha","Intersection Safety Devices","story","Superseded: please visit the Safe Streets Map at https://gis.edmonton.ca/portal/apps/instant/minimalist/index.html?appid=605857c965cf43b0aa98f2d9ed7f0653","2022-08-02T18:12:29.862Z",98847,"Transportation"
"h4ti-be2n","Edible Fruit Trees","map","Please Note: Citizens are welcome to harvest from fruit trees on COE property with full understanding of the following:

1. No damage or harm is caused to the tree including broken branches, pruning","2026-05-18T08:24:18.000Z",92993,"Environmental Services"
"8buu-mevt","All Zones","story","Superseded: Please visit the Safe Streets Map at https://gis.edmonton.ca/portal/apps/instant/minimalist/index.html?appid=605857c965cf43b0aa98f2d9ed7f0653","2022-08-02T18:08:06.591Z",90424,"Transportation"
"ds75-tv4b","Map View: Fire Response (Current and Historical)","map","Fire Response events; current and historical.","2026-05-24T10:07:17.000Z",89026,"Emergency Services"
"8pdx-hfxi","Snow and Ice Clearing Route Status","dataset","NB: The source map is only updated if a ""snow event"" is declared; if snowfall is relatively minor it may be cleared without the progress being reflected on the map.

This dataset provides a tabular re","2026-05-24T17:14:39.000Z",88092,"Transportation"
"q3qs-7g3d","Secondary Suites (Completed Permits)","map","<p>This data illustrates the locations of secondary suites within Edmonton based on information provided. <br />These secondary suites have acquired necessary development and building permits and have","2026-05-22T11:48:47.000Z",87125,"Urban Planning & Economy"
"qhi4-bdpu","City of Edmonton - Business Licences","dataset","A list of businesses with a valid licence to operate in Edmonton.","2026-05-24T10:15:43.000Z",82120,"Urban Planning & Economy"
"udbt-eiax","Trees Map","map","Map of Boulevard and Open Space Trees owned and maintained by the City of Edmonton - not all City-owned trees are captured on this map. Note: The map may take some time to load.","2026-05-18T08:24:18.000Z",82258,"Environmental Services"
