"soda_id","title","type","search_keyword"
"fguc-rs4p","Edmontonians' Perception Survey - Overall Quality Of Life","dataset","crime"
"i2x2-wadk","Edmontonians' Perception Survey - Connectedness","dataset","crime"
"72aw-fq6m","2012 Budget Consultation Survey - Satisfaction With City Services","dataset","crime"
"3cvu-pkdw","Vehicle for Hire - Edmonton Insight Community","dataset","crime"
"tbsz-v2rj","Cannabis - Edmonton Insight Community","dataset","crime"
"f2ri-59cx","Edmontonians' Perception Survey - Safety In The City","dataset","crime"
"863d-s5ie","Liquor Stores - Edmonton Insight Community","dataset","crime"
"cjcn-85t7","Measuring Progress Questionnaire - Safety In The City","dataset","crime"
"c56a-89d5","Non-Market Housing - Edmonton Insight Community","dataset","crime"
"e7aq-scxv","Police Stations","dataset","police"
"g8ub-h6a9","Police Stations - Map View","map","police"
"hava-trgp","Bylaws - March 2015 - Edmonton Insight Community","dataset","police"
"49fy-4pc4","Traffic Safety Culture - Edmonton Insight Community","dataset","police"
"brx6-rwhf","Annual Collision Report: Fatalities and Injuries","dataset","police"
"8bcu-vx9n","Right of Way (ROW) Signs","dataset","police"
"gjh9-s9js","December 2022 Mixed Topic - Vehicle for Hire - Edmonton Insight Community","dataset","police"
"7hsn-idqi","Fire Response_Current and Historical","dataset","fire"
"ap85-zi88","Fire Hydrants Map","map","fire"
"x4n2-2ke2","Fire Hydrants","dataset","fire"
"ds75-tv4b","Map View: Fire Response (Current and Historical)","map","fire"
"b4y7-zhnz","Fire Stations","dataset","fire"
"gzu5-g5n6","Fire Response - Events","filter","fire"
"phf8-mpfm","Fire Stations (Map View)","map","fire"
"abu7-dwvn","Fire Response - Current and Historical (Heat Map)","map","fire"
"k8gt-z8tr","Fire Rescue Public Education - Edmonton Insight Community","dataset","fire"
"gjyw-i9ed","Edmonton Fire Rescue Services - Edmonton Insight Community","dataset","fire"
"qg2i-fprt","Public Water Filling Stations - Map View","map","fire"
"nt23-wzti","Map View: Average Water Network Capacity by Hexagon Area","map","fire"
"q3qs-7g3d","Secondary Suites (Completed Permits)","map","fire"
"dj78-t8ab","Public Water Filling Stations","dataset","fire"
"8im9-aev7","Emergency Preparedness and Communications - Edmonton Insight Community","dataset","fire"
"squ4-6i2m","Average Water Network Capacity by Hexagon Area","dataset","fire"
"y6z3-sitb","Map View: Register and Inventory of Historic Resources in Edmonton","map","fire"
"jgsn-dhai","The Register and Inventory of Historic Resources in Edmonton","dataset","fire"
"uz9h-ceya","Secondary Suites (Completed Permits)","dataset","fire"
"usy9-ncbp","City Of Edmonton Bylaws February 2015 - Edmonton Insight Community","dataset","fire"
"9zjr-97nw","Annual Collision Report: Objects","dataset","fire"
"87ez-behn","Winter City Design - Edmonton Insight Community","dataset","fire"
"rznn-f3xp","Construction Information - Edmonton Insight Community","dataset","fire"
"7adr-xhnb","Mobile City Hall - Edmonton Insight Community","dataset","fire"
"9r7c-qftq","E-scooters - December 2020 - Edmonton Insight Community","dataset","fire"
"k4tx-5k8p","Traffic Disruptions","dataset","traffic"
"mhbf-f3zb","Traffic Disruptions Map","map","traffic"
"b58q-nxjr","Average Annual Weekday Traffic Volumes (2011-2022)","dataset","traffic"
"dyem-evbc","Automated Traffic Enforcement Tickets Issued (by Month)","story","traffic"
"qj76-vs2d","Automated Traffic Enforcement Zones Details - Map View","map","traffic"
"r53s-3xgt","Mobile Automated Traffic Enforcement Tickets Issued (by Month)","dataset","traffic"
"tdr3-fqkf","Mobile Automated Traffic Enforcement Tickets Issued (by month) Map","map","traffic"
"e8hk-t7j2","Residential Speed Limits and Community Traffic Management Planning - Survey Results","dataset","traffic"
"mmza-a4ee","Non-TDN Bike Route Disruptions","dataset","traffic"
"vfki-xv3i","All Photo Enforcement Zones","dataset","traffic"
"2xsv-ny7e","Permanent Vehicle Counters - Hourly Summary","dataset","traffic"
"kd7n-5iq3","Speed Surveys","story","traffic"
"nhbh-yj57","Bike Ridership - Edmonton Insight Community","dataset","traffic"
"5si4-xd9p","Whyte Ave Programmable Space - Edmonton Insight Community","dataset","traffic"
"at7v-8sx2","Speed Survey Locations Map","map","traffic"
"byrh-7jdx","Speed Check Signs (formerly called 'Driver Feedback Signs')","story","traffic"
"4fsq-rvpa","311 Requests - Top 10 Overall","chart","traffic"
"ahas-jskd","311 Requests - Top 10 by Neighbourhood","chart","traffic"
"krxp-pvjf","Open City Wi-Fi Locations - Map View","map","traffic"
"iggc-tt3k","École Frère Antoine Catholic Elementary School","story","traffic"
"itjk-biyg","311 Requests - Volume by Neighbourhood","chart","traffic"
"uzpy-t29r","311 Requests - Overall Volume","chart","traffic"
"a5q9-ifpg","Speed Survey Locations","dataset","traffic"
"8ar4-5j6v","311 Requests - Top 10 by Ward","chart","traffic"
"q9kj-ikue","Non-TDN Bike Route Disruptions - Map View","map","traffic"
"i7vu-7q92","311 Requests - Volume by Ward","chart","traffic"
"w62n-hx2q","St. Dominic Catholic Elementary School","story","traffic"
"7mvp-ivrz","Bike Counter Locations Map (Eco Counter)","map","traffic"
"ua6u-w7ip","Bessie Nichols School","story","traffic"
"94si-dvez","Ormsby School","story","traffic"
"3nwj-k66k","St. Monica and Riverbend Schools","story","traffic"
"sw7k-ptx8","Daily Pedestrian and Bike Counts","filter","traffic"
"auch-8ddj","Speed Check Sign - DFS041","dataset","traffic"
"xu2v-mejz","Developer Arterial Projects - Map View","map","traffic"
"vmjf-8fik","St. Augustine and Duggan Schools","story","traffic"
"bxe6-z7qp","Minchau School","story","traffic"
"2u9j-ihyd","Crawford Plains School","story","traffic"
"f5fs-guvn","St Cecilia, St Matthew, Archbishop O'Leary Schools","story","traffic"
"qwy2-h3ny","Bike Lane Funding - Edmonton Insight Community","dataset","traffic"
"rcpa-p2i3","Speed Check Sign Locations Map","map","traffic"
"tupe-n87b","St. Boniface and Richard Secord Schools","story","traffic"
"chts-7f29","Speed Data in 30 km/h Zones","story","traffic"
"vbxz-36ag","Open City Wi-Fi Locations","dataset","traffic"
"wzs5-y2ji","Speed Check Sign - DFS219","dataset","traffic"
"i4ee-3jqj","Speed Check Sign - DFS221","dataset","traffic"
"w9wb-9ha4","Speed Check Sign - DFS216","dataset","traffic"
"ek45-xtjs","Alberta Oil Spills 1975-2013","dataset","incident"
"2wg2-7scc","2016 Coyote Reportings","dataset","incident"
"kag4-4vma","Occupational Health and Safety: City of Edmonton Injuries","dataset","incident"
"2q9r-ang2","2012-2014 Graffiti Audit","dataset","incident"
"e3dp-gy8a","2016 Coyote Reportings - Map View","map","incident"
"4adt-tbf8","2011 Graffiti Audit","dataset","incident"
"hx79-22u9","SafeCityYEG Data","dataset","incident"
"88sf-89mh","2010 Graffiti Audit - Map View","map","incident"
"eqxm-v4zg","2011 Graffiti Audit Map - LIR value and Num. of Tags Map View","map","incident"
"pqse-z57y","2011 Graffiti Audit - Map View","map","incident"
"ed74-n9ti","2011 Graffiti Audit - Heat Map","map","incident"
"x7r5-d4hj","2010 Graffiti Audit","dataset","incident"
"2gxp-ymsd","2015-2017 Graffiti Audit","dataset","incident"
"2i7w-fzqg","2012-2014 Graffiti Audit - Map View","map","incident"
"t6uf-8aus","Graffiti - Edmonton Insight Community","dataset","incident"
"77sf-j5rj","Annual Collision Report: Collision Severity","dataset","collision"
"mf6n-s5ts","Annual Collision Report: Top Collision Locations","dataset","collision"
"5p44-if3k","Annual Collision Report: Collision Cause","dataset","collision"
"jduq-w5pj","Annual Collision Report: Temporal","dataset","collision"
"mbyc-ffgt","Scheduled Photo Enforcement Zones - History","dataset","collision"
"epqc-y5cq","All Photo Enforcement Zone Centre Points","dataset","collision"
"pmj3-tdmq","Scheduled Photo Enforcement Zone Centre Points - History","dataset","collision"
"hc36-yafb","All Photo Enforcement Zone Details - Map View","map","collision"
"xgwu-c37w","Bylaw Infractions","dataset","bylaw"
"d8jb-9ncc","Bylaws","dataset","bylaw"
"ypje-j649","Bylaw Complaint Details","dataset","bylaw"
"67p2-r285","Zoning Bylaw Map - History","dataset","bylaw"
"fixa-tstc","Zoning Bylaw Geographical Data","dataset","bylaw"
"sb9z-mvk3","Bylaw Complaint Details Map","map","bylaw"
"mctk-83fj","Bylaw Infractions - Map View","map","bylaw"
"9d7d-i2qe","Zoning Bylaw Mapping History Map","map","bylaw"
"ruwn-htv8","Zoning Bylaw Geographical Data: Map View","map","bylaw"
"8w7c-i8cm","Vehicle for Hire Bylaws Violated - by Month and Type","dataset","bylaw"
"w8d9-693d","Mask Bylaw Survey","dataset","bylaw"
"5x8q-hcc2","Bylaw Complaint Details Heat Map","map","bylaw"
"f9kp-b6mh","Vehicle For Hire Bylaw - Edmonton Insight Community","dataset","bylaw"
"vcsg-uzqg","Bylaw Infractions - Heat Map View","map","bylaw"
