INCIDENT_TYPE_DESCRIPTION,Description
10-22 avec feu,Service non requis pour une intervention dans un bâtiment avec début d'incendie
10-22 pour appel aéroport,Service non requis pour une intervention à l'aéroport
10-22 PR effon de structure,Service non requis pour intervention combinée premier répondant et sauvetage en effondrement de structure
10-22 PR effon de tranché,Service non requis pour intervention combinée premier répondant et sauvetage en effondrement de tranchée
10-22 PR impliquant 10-43,Service non requis pour intervention combinée premier répondant et intervention impliquant une matière dangereuse
10-22 PR sauvetage en hauteur,service non requis pour intervention combinée premier répondant sauvetage en hauteur
10-22 PR sauvetage tech. clos,Service non requis pour intervention combinée premier répondant et sauvetage en espace clos
10-22 sans feu,Service non requis pour une intervention bâtiment
Ac.s.vict. sfeu train/métro ,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Ac.véh./1R/s.v./bat/29B/D,Intervention combinée premier répondant et accident de voiture sans victime captive dans un bâtiment
Ac.véh./1R/s.v./ext/29B/D,Intervention combinée premier répondant et accident de voiture sans victime captive sur la rue
Ac.véh./1R/s.v./pont/29B/D,Intervention combinée premier répondant et accident de voiture sans victime captive sur un pont
Ac.véh./1R/s.v./rail/29B/D,Intervention combinée premier répondant et accident sans victime captive impliquant un train
Ac.véh./1R/s.v./V.R./29B/D,Intervention combinée premier répondant et accident de voiture sans victime captive sur voie rapide
Ac.véh./1R/v./rail:29D F7/DES,Intervention combinée premier répondant et accident avec victime captive impliquant un train
Ac.véh./s.v./tun/29B/D F7/MOU,Intervention combinée premier répondant et accident de voiture sans victime captive dans un tunnel
Ac.vic. feu train/métro F7/DES,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. sans vict. av. feu - ext.,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. sans vict. av. feu-tunnel,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. sans vict. sfeu - pont,Accident sans victime feu - pont
Acc. sans vict. sfeu bâtiment,Accident sans victime feu bâtiment
Acc. sans victime sfeu - ext.,Accident de véhicule sans victime coincée sur la rue
Acc. sans victime sfeu  tunnel,Accident véhicule sans victime coincée dans un tunnel
Acc. sans victime sfeu - v.r,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. s-vict. av. feu - pont,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. s-vict. av. feu - v.r.,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. s-vict. av. feu-bâtiment,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. s-vict. feu - train/métro,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. véh victime sfeu - (ext.),Accident de véhicule avec victime coincée dans sur la rue
Acc. vict. feu - tunnel F7/MOU,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. vict. sfeu tunnel F7/MOU,Accident de véhicule avec victime coincée dans un tunnel
Acc. vict.convoi (train/métro),Accident victime convoi (train/métro)
Acc. victime feu - bâtiment,Accident victime feu - bâtiment
Acc. victime feu - pont,Accident sans victime feu - pont
Acc. victime feu - voie rapide,Accident de véhicule avec victime coincée et feu sur la voie rapide
Acc. victime feu ext.,Type qui n'est plus utilisé à la suite de la mise à jour de l'algorithme en 2016
Acc. victime sfeu - bâtiment,Accident de véhicule avec victime coincée dans un bâtiment
Acc. victime sfeu - pont,Accident de véhicule avec victime coincée avec feu sur un pont
Acc. victime sfeu - voie rap.,Accident de véhicule avec victime coincée sur la voie rapide
Acc.véh/1rép/vict/bat 29D04,Intervention combinée premier répondant et accident de voiture avec victime captive dans un bâtiment
Acc.véh/1rép/vict/ext 29D04,Intervention combinée premier répondant et accident de voiture avec victime captive sur la rue
