"INCIDENT_NBR","CREATION_DATE_TIME","INCIDENT_TYPE_DESC","DESCRIPTION_GROUPE","CASERNE","NOM_VILLE","NOM_ARROND","DIVISION","NOMBRE_UNITES","MTM8_X","MTM8_Y","LONGITUDE","LATITUDE"
9,"2025-01-01T00:13:59","Alarme privé ou locale","Alarmes-incendies",41,"Montréal","Villeray-Saint-Michel-Parc-Extension",5,2,294803.5,5043571.7,-73.627986,45.53199
276,"2025-01-01T16:23:38","Premier répondant","1-REPOND",55,"Pointe-Claire","Indéterminé",1,1,278647.3,5036166.2,-73.834438,45.464935
2719,"2025-01-08T15:09:58","Premier répondant","1-REPOND",45,"Montréal","Mercier-Hochelaga-Maisonneuve",5,1,301150.4,5046809.1,-73.54675,45.561183
3166,"2025-01-09T16:42:47","Feu de cuisinière","INCENDIE",34,"Montréal","Côte-des-Neiges-Notre-Dame-de-Grâce",3,5,296000,5036436.6,-73.612539,45.467802
6273,"2025-01-18T03:05:41","Feu de véhicule extérieur","AUTREFEU",65,"Montréal","LaSalle",2,4,295200.9,5032359,-73.622679,45.431098
6776,"2025-01-19T13:44:40","Feu de bâtiment","INCENDIE",19,"Montréal","Ville-Marie",6,22,300718.9,5042396,-73.552241,45.521471
7642,"2025-01-22T00:18:50","Fausse alerte 10-19","FAU-ALER",20,"Montréal","Ville-Marie",6,2,300758.9,5041031.2,-73.551718,45.509189
7872,"2025-01-22T17:16:23","Ascenseur","SANS FEU",4,"Montréal","Côte-des-Neiges-Notre-Dame-de-Grâce",3,2,293834.8,5038728.6,-73.64028,45.488395
8387,"2025-01-23T23:58:11","Alarme privé ou locale","Alarmes-incendies",45,"Montréal","Mercier-Hochelaga-Maisonneuve",5,3,301281.2,5046747.9,-73.545074,45.560633
9756,"2025-01-27T12:12:07","Alarme privé ou locale","Alarmes-incendies",19,"Montréal","Ville-Marie",6,3,300489.3,5042666.8,-73.555183,45.523906
9973,"2025-01-27T19:58:36","10-06 avec feu","",39,"Montréal","Mercier-Hochelaga-Maisonneuve",5,14,301288.3,5047828.3,-73.544991,45.570355
11062,"2025-01-30T11:39:42","Premier répondant","1-REPOND",22,"Montréal","Saint-Léonard",5,1,297866.4,5047728.5,-73.588831,45.569432
11681,"2025-01-31T19:22:34","10-06 avec feu","",65,"Montréal","LaSalle",2,13,296584.1,5031877,-73.604993,45.426779
12799,"2025-02-03T12:18:34","10-22 avec feu","INCENDIE",65,"Montréal","LaSalle",2,11,293562.4,5030989.2,-73.643588,45.418749
13763,"2025-02-05T17:37:50","Entraide autre","",67,"Montréal","Verdun",0,2,302603.2,5036706.3,-73.528095,45.47028
14342,"2025-02-06T23:29:49","Fausse alerte 10-19","FAU-ALER",46,"Montréal","Côte-des-Neiges-Notre-Dame-de-Grâce",2,2,294741.1,5036593.1,-73.628642,45.469193
14678,"2025-02-07T16:40:42","Fuite int.:hydrocar. liq. div.","SANS FEU",17,"Montréal","Montréal-Nord",4,2,294598.9,5050207.2,-73.630745,45.591695
14994,"2025-02-08T13:19:46","Premier répondant","1-REPOND",66,"Montréal","Verdun",2,1,298872.8,5035770.4,-73.575792,45.461837
15501,"2025-02-09T18:49:56","Ascenseur","SANS FEU",64,"Montréal","Lachine",2,2,289923.3,5033390.1,-73.69016,45.440285
15626,"2025-02-10T03:26:35","Premier répondant","1-REPOND",67,"Montréal","Verdun",2,1,301122.8,5036428.9,-73.547026,45.467778
15745,"2025-02-10T11:28:49","10-22 Dégag pers conciée capti","",13,"Montréal","Mercier-Hochelaga-Maisonneuve",5,6,300735.8,5044458.3,-73.552042,45.540028
17142,"2025-02-13T23:57:40","Déchets en feu","AUTREFEU",39,"Montréal","Mercier-Hochelaga-Maisonneuve",5,3,300325.2,5049191.5,-73.557343,45.582616
17350,"2025-02-14T12:50:51","Premier répondant","1-REPOND",65,"Montréal","LaSalle",2,1,296168.6,5033754.8,-73.610336,45.443672
17577,"2025-02-15T00:58:22","Appel de Cie de détection","Alarmes-incendies",5,"Montréal","Ville-Marie",6,4,299870.7,5041823,-73.563093,45.516309
19486,"2025-02-19T09:43:17","Fausse alerte 10-19","FAU-ALER",46,"Montréal","Côte-des-Neiges-Notre-Dame-de-Grâce",2,6,293364.7,5036325.1,-73.646238,45.46676
19675,"2025-02-19T17:59:54","Acc. sans victime sfeu - ext.","SANS FEU",61,"Dollard-des-Ormeaux","Indéterminé",1,1,279948.5,5040580.5,-73.818023,45.504703
20022,"2025-02-20T15:51:43","Alarme privé ou locale","Alarmes-incendies",27,"Montréal","Côte-des-Neiges-Notre-Dame-de-Grâce",3,3,294703.1,5041267.9,-73.629225,45.511258
20818,"2025-02-22T13:51:29","Odeur suspecte - gaz","SANS FEU",67,"Montréal","Verdun",2,2,301468.2,5035791.6,-73.542605,45.462045
21906,"2025-02-25T11:01:59","Premier répondant","1-REPOND",20,"Montréal","Ville-Marie",6,1,300847.2,5041156.6,-73.550589,45.510319
22638,"2025-02-27T07:23:36","10-22 avec feu","INCENDIE",18,"Montréal","Montréal-Nord",4,6,296243.8,5052258.3,-73.609698,45.610174
22743,"2025-02-27T10:55:02","Appel de Cie de détection","Alarmes-incendies",20,"Montréal","Ville-Marie",6,2,300615.7,5040811.2,-73.553548,45.507209
