"id","title","description","issued","modified","publisher","version","doi"
"ark:/88434/mds00ch8q4","Dataset from Fire Safety Challenges of Tall Wood Buildings - Phase 2: Task 3 - Cross Laminated Timber Compartment Fire Tests",NA,NA,"2018-02-15","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds007zd70","SRM 895 Stainless Steel (SAE 201)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00xdk4z","NIST Ionic Liquids Database - (ILThermo) - SRD 147",NA,NA,"2016-07-07","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00j8tfn","NIST Synthetic Polymer MALDI MS Methods Database - SRD 172",NA,NA,"2013-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds007htv8","SRM 3235 Soy Milk",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019ft36","SRM 671 Nickel Oxide No. 1",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00pk2hr","SRM 3262 St. John's Wort (Hypericum perforatum L.) Aerial Parts",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds018cc3m","SRM 1721 Southern Oceanic Air (Ambient Nominal Amount-of-Substance Fraction: Carbon Dioxide, Methane, Nitrous Oxide)",NA,NA,"2015-07-17","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019kd2p","Fundamental Physical Constants Searchable Bibliography - SRD 123",NA,NA,"2014-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00xmmjb","SRM 3150 Silicon (Si) Standard Solution, Lot No. 130912",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00b7z7j","Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR",NA,NA,"2017-10-19","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds011mhs4","SRM 3110 Cerium (Ce) Standard Solution Lot No. 160830",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds014fdw7","NIST Structural Ceramics Database - SRD 30",NA,NA,"2015-06-22","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds011b3cj","NIST Hydrocarbon Spectral Database - SRD 115",NA,NA,"2004-07-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00300bj","NIST Vibrational branching ratios and asymmetry parameters in the photoionization of CO2 in the region between 650 Å and 840 Å - SRD 119",NA,NA,"2007-06-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds008v764","NIST Elemental Data Index - SRD 105",NA,NA,"2011-12-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00c4b6d","SRM 918c Potassium Chloride General and Ion Activity Standard",NA,NA,"2016-02-03","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00crvkd","SRM 1947 Lake Michigan Fish Tissue",NA,NA,"2016-09-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00pgmwt","NIST Property Data Summaries for Advanced Materials - SRD 150",NA,NA,"2015-06-22","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00768xj","SRM 3185 Nitrate Anion (NO3-) Standard Solution",NA,NA,"2016-09-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds002pkjd","SRM 3122 Hafnium (Hf) Standard Solution Lot No. 151120",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003r0x6","National Vulnerability Database",NA,NA,"2015-08-24","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0138nwz","Probabilistic distribution of dissolution rate constants for cubic tricalcium aluminate in water",NA,NA,"2017-06-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds014cpg0","NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.",NA,NA,"2017-07-17","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00s8hvd","SRM 2692c Bituminous Coal (Nominal Mass Fraction 1 % Sulfur)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds017kh1s","Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation",NA,NA,"2016-11-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01583r0","NIST Chemical Kinetics Database - SRD 17",NA,NA,"2016-10-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds004br7h","Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.",NA,NA,"2017-02-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003v20j","SRM 3102a Antimony (Sb) Standard Solution Lot No. 140911",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0052gnp","NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets",NA,NA,"2016-12-31","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds000603c","SRM 200b Potassium Dihydrogen Phosphate (Fertilizer Standard)",NA,NA,"2016-09-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds016677p","SRM 3165 Vanadium (V) Standard Solution Lot No. 992706",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00b5gpm","NIST Electron-Impact Ionization Cross Section Database - SRD 107",NA,NA,"2005-08-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds007bgzr","NIST Database of Cross Sections for Inner-Shell Ionization by Electron or Positron Impact - SRD 164",NA,NA,"2014-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00mdfrm","NIST X-ray Photoelectron Spectroscopy Database XPS - SRD 20",NA,NA,"2012-10-10","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds004pk62","SRM 1950 Metabolites in Frozen Human Plasma",NA,NA,"2015-09-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00g8jh0","NIST Atlas of the Spectrum of a Platinum/Neon Hollow-Cathode Lamp in the Region 1130-4330 Å - SRD 112",NA,NA,"2003-07-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds013sp6t","SRM 1974c Organics in Mussel Tissue (Mytilus edulis)",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds008mhz7","NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139",NA,NA,"1990-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00n31b0","Finite Element Modeling of Materials with Complex Microstructure (OOF)",NA,NA,"2013-07-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01dwjj4","SRM 3673 Organic Contaminants in Non-Smokers' Urine (Frozen)",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0139sck","Radio Frequency Measurements for Selected Manufacturing and Industrial Environments",NA,NA,"2016-06-16","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0168mzr","SRM 1546a Meat Homogenate",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
