"borocode","boroname","countyfips","nta2020","ntaname","ntaabbrev","ntatype","cdta2020","cdtaname","shape_leng","shape_area"
"3","Brooklyn","047","BK0101","Greenpoint","Grnpt","0","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)","28919.5607283","35321808.4385"
"3","Brooklyn","047","BK0102","Williamsburg","Wllmsbrg","0","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)","28134.0825628","28852852.9485"
"3","Brooklyn","047","BK0103","South Williamsburg","SWllmsbrg","0","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)","18250.2800908","15208960.645"
"3","Brooklyn","047","BK0104","East Williamsburg","EWllmsbrg","0","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)","43184.8003755","52267406.735"
"3","Brooklyn","047","BK0201","Brooklyn Heights","BkHts","0","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)","14312.1924247","9982022.78507"
"3","Brooklyn","047","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill","DwntwnBk","0","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)","30589.2398906","23731596.6039"
"3","Brooklyn","047","BK0203","Fort Greene","FtGrn","0","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)","23284.5901371","17533714.3003"
"3","Brooklyn","047","BK0204","Clinton Hill","ClntnHl","0","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)","18102.9682007","14566585.065"
"3","Brooklyn","047","BK0261","Brooklyn Navy Yard","BkNvyYrd","6","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)","39415.6419363","10106806.1491"
"3","Brooklyn","047","BK0301","Bedford-Stuyvesant (West)","BdSty_W","0","BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)","26307.6457389","36906698.4269"
"3","Brooklyn","047","BK0302","Bedford-Stuyvesant (East)","BdSty_E","0","BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)","29753.9705547","41289700.8726"
"3","Brooklyn","047","BK0401","Bushwick (West)","Bshwck_W","0","BK04","BK04 Bushwick (CD 4 Equivalent)","23685.2333004","23134298.6648"
"3","Brooklyn","047","BK0402","Bushwick (East)","Bshwck_E","0","BK04","BK04 Bushwick (CD 4 Equivalent)","27120.6703657","27933892.8551"
"3","Brooklyn","047","BK0471","The Evergreens Cemetery","EvrgrnsCem","7","BK04","BK04 Bushwick (CD 4 Equivalent)","10950.2093719","5585573.4682"
"3","Brooklyn","047","BK0501","Cypress Hills","CyprssHls","0","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","31089.661009","24378887.6421"
"3","Brooklyn","047","BK0502","East New York (North)","ENY_N","0","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","25634.3707218","27906985.4164"
"3","Brooklyn","047","BK0503","East New York-New Lots","ENY_NwLts","0","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","36564.924916","46457563.6166"
"3","Brooklyn","047","BK0504","Spring Creek-Starrett City","SpCrk_StrC","0","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","33027.6834333","27086262.0431"
"3","Brooklyn","047","BK0505","East New York-City Line","ENY_CtyLn","0","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","29722.6976148","31529168.1447"
"3","Brooklyn","047","BK0571","Highland Park-Cypress Hills Cemeteries (South)","CyHlsCem_S","7","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)","15889.6701392","8100960.63348"
"3","Brooklyn","047","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","CrrllGrdns","0","BK06","BK06 Park Slope-Carroll Gardens (CD 6 Approximation)","67164.9126388","60811448.5249"
"3","Brooklyn","047","BK0602","Park Slope","PkSlp","0","BK06","BK06 Park Slope-Carroll Gardens (CD 6 Approximation)","23539.0891562","25831728.7441"
"3","Brooklyn","047","BK0701","Windsor Terrace-South Slope","WndsrTr","0","BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)","21233.3280634","15312191.9199"
"3","Brooklyn","047","BK0702","Sunset Park (West)","SnstPk_W","0","BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)","79869.4683041","50378927.3348"
"3","Brooklyn","047","BK0703","Sunset Park (Central)","SnstPk_C","0","BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)","24014.323113","18754283.7973"
"3","Brooklyn","047","BK0771","Green-Wood Cemetery","GrnWdCem","7","BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)","18789.0222744","21101598.773"
"3","Brooklyn","047","BK0801","Prospect Heights","PrspctHts","0","BK08","BK08 Crown Heights (North) (CD 8 Approximation)","15043.8344513","10308676.1483"
"3","Brooklyn","047","BK0802","Crown Heights (North)","CrwnHts_N","0","BK08","BK08 Crown Heights (North) (CD 8 Approximation)","30149.1121113","35416299.8335"
"3","Brooklyn","047","BK0891","Lincoln Terrace Park","LclnTrPk","9","BK08","BK08 Crown Heights (North) (CD 8 Approximation)","4568.61664414","1214617.22973"
"3","Brooklyn","047","BK0901","Crown Heights (South)","CrwnHts_S","0","BK09","BK09 Crown Heights (South) (CD 9 Approximation)","24197.419178","20053831.1521"
"3","Brooklyn","047","BK0902","Prospect Lefferts Gardens-Wingate","PLG_Wngt","0","BK09","BK09 Crown Heights (South) (CD 9 Approximation)","26322.477613","24038728.792"
"3","Brooklyn","047","BK1001","Bay Ridge","ByRdg","0","BK10","BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)","41302.1423754","61636114.9031"
"3","Brooklyn","047","BK1002","Dyker Heights","DykrHts","0","BK10","BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)","25001.4900026","29119072.6473"
"3","Brooklyn","047","BK1061","Fort Hamilton","FtHmltn","6","BK10","BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)","16460.9559644","8464626.25915"
"3","Brooklyn","047","BK1091","Dyker Beach Park","DykrBchPk","9","BK10","BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)","14627.5083245","9989043.32861"
"3","Brooklyn","047","BK1101","Bensonhurst","Bnsnhrst","0","BK11","BK11 Bensonhurst-Bath Beach (CD 11 Approximation)","33669.6207624","48634930.7934"
"3","Brooklyn","047","BK1102","Bath Beach","BthBch","0","BK11","BK11 Bensonhurst-Bath Beach (CD 11 Approximation)","22422.3733635","20556457.4395"
