"ky_cd","ofns_desc","pd_cd","pd_desc","law_cat_cd"
"101","MURDER & NON-NEGL. MANSLAUGHTE","129","MANSLAUGHTER,UNCLASSIFIED - NO","F"
"101","MURDER & NON-NEGL. MANSLAUGHTE","139","MURDER,UNCLASSIFIED","F"
"103","HOMICIDE-NEGLIGENT,UNCLASSIFIE","125","HOMICIDE,NEGLIGENT,UNCLASSIFIE","F"
"104","RAPE","153","RAPE 3","F"
"104","RAPE","155","RAPE 2","F"
"104","RAPE","157","RAPE 1","F"
"105","ROBBERY","380","ROBBERY,CAR JACKING","F"
"105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","F"
"106","FELONY ASSAULT","105","STRANGULATION 1ST","F"
"106","FELONY ASSAULT","106","ASSAULT POLICE/PEACE OFFICER","F"
"106","FELONY ASSAULT","108","ASSAULT OTHER PUBLIC SERVICE EMPLOYEE","F"
"106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","F"
"107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","F"
"107","BURGLARY","244","BURGLARY,UNCLASSIFIED,UNKNOWN","F"
"109","GRAND LARCENY","405","LARCENY,GRAND BY THEFT OF CREDIT CARD","F"
"109","GRAND LARCENY","409","LARCENY,GRAND BY EXTORTION","F"
"109","GRAND LARCENY","419","LARCENY,GRAND FROM PERSON,UNCL","F"
"109","GRAND LARCENY","438","LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","F"
"109","GRAND LARCENY","439","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","F"
"109","GRAND LARCENY","440","AGGRAVATED GRAND LARCENY OF ATM","F"
"110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","F"
"111","POSSESSION OF STOLEN PROPERTY","493","STOLEN PROPERTY-MOTOR VEH 2ND,","F"
"111","POSSESSION OF STOLEN PROPERTY","494","STOLEN PROPERTY 2,1,POSSESSION","F"
"111","POSSESSION OF STOLEN PROPERTY","498","STOLEN PROPERTY 2,POSSESSION B","F"
"112","THEFT-FRAUD","739","FRAUD,UNCLASSIFIED-FELONY","F"
"112","THEFT-FRAUD","772","COMPUTER TAMPER/TRESSPASS","F"
"112","THEFT-FRAUD","775","MONEY LAUNDERING 1 & 2","F"
"113","FORGERY","725","FORGERY,M.V. REGISTRATION","F"
"113","FORGERY","729","FORGERY,ETC.,UNCLASSIFIED-FELO","F"
"114","ARSON","263","ARSON 2,3,4","F"
"115","PROSTITUTION & RELATED OFFENSES","585","PROSTITUTION 3,PROMOTING BUSIN","F"
"115","PROSTITUTION & RELATED OFFENSES","586","SEX TRAFFICKING","F"
"116","SEX CRIMES","100","STALKING COMMIT SEX OFFENSE","F"
"116","SEX CRIMES","168","SODOMY 1","F"
"116","SEX CRIMES","176","SEX CRIMES","F"
"116","SEX CRIMES","177","SEXUAL ABUSE","F"
"116","SEX CRIMES","179","AGGRAVATED SEXUAL ASBUSE","F"
"116","SEX CRIMES","180","COURSE OF SEXUAL CONDUCT AGAIN","F"
"116","SEX CRIMES","594","OBSCENITY 1","F"
"116","SEX CRIMES","596","OBSCENE MATERIAL - UNDER 17 YE","F"
"117","DANGEROUS DRUGS","500","CONTROLLED SUBSTANCE,POSSESS.","F"
"117","DANGEROUS DRUGS","501","CONTROLLED SUBSTANCE,POSSESS.","F"
"117","DANGEROUS DRUGS","502","CONTROLLED SUBSTANCE,POSSESS.","F"
"117","DANGEROUS DRUGS","503","CONTROLLED SUBSTANCE,INTENT TO","F"
"117","DANGEROUS DRUGS","505","CONTROLLED SUBSTANCE, POSSESSI","F"
"117","DANGEROUS DRUGS","507","CONTROLLED SUBSTANCE, POSSESSI","F"
"117","DANGEROUS DRUGS","510","CONTROLLED SUBSTANCE, INTENT T","F"
"117","DANGEROUS DRUGS","512","CONTROLLED SUBSTANCE,SALE 1","F"
"117","DANGEROUS DRUGS","514","CONTROLLED SUBSTANCE,SALE 2","F"
"117","DANGEROUS DRUGS","515","CONTROLLED SUBSTANCE,SALE 3","F"
"117","DANGEROUS DRUGS","519","SALE SCHOOL GROUNDS 4","F"
"117","DANGEROUS DRUGS","520","CONTROLLED SUBSTANCE, SALE 4","F"
"117","DANGEROUS DRUGS","521","CONTROLLED SUBSTANCE, SALE 5","F"
"117","DANGEROUS DRUGS","523","SALE SCHOOL GROUNDS","F"
"117","DANGEROUS DRUGS","531","DRUG PARAPHERNALIA,   POSSESSE","F"
"117","DANGEROUS DRUGS","532","CONTROLLED SUBSTANCE,POSSESS.","F"
"118","DANGEROUS WEAPONS","781","CRIMINAL DISPOSAL FIREARM 1","F"
"118","DANGEROUS WEAPONS","792","CRIMINAL POSSESSION WEAPON","F"
"118","DANGEROUS WEAPONS","793","WEAPONS POSSESSION 3","F"
"118","DANGEROUS WEAPONS","794","MANUFATURE, TRANSPORT, DEFACE, ETC...","F"
"118","DANGEROUS WEAPONS","797","CRIM POS WEAP 4","M"
"119","INTOXICATED/IMPAIRED DRIVING","904","INTOXICATED DRIVING,ALCOHOL","F"
"119","INTOXICATED/IMPAIRED DRIVING","906","IMPAIRED DRIVING, DRUGS","F"
"120","CHILD ABANDONMENT/NON SUPPORT 1","695","CHILD ABANDONMENT","F"
"120","CHILD ABANDONMENT/NON SUPPORT 1","698","INCOMPETENT PERSON,KNOWINGLY ENDANGERING","F"
"121","CRIMINAL MISCHIEF & RELATED OF","265","MISCHIEF 1,CRIMINAL,EXPLOSIVE","F"
"121","CRIMINAL MISCHIEF & RELATED OF","267","MISCHIEF, CRIMINAL 3 & 2, OF M","F"
"121","CRIMINAL MISCHIEF & RELATED OF","268","CRIMINAL MIS 2 & 3","F"
"121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","F"
"121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","M"
"121","CRIMINAL MISCHIEF & RELATED OF","273","TAMPERING 1,CRIMINAL","F"
"122","GAMBLING","553","GAMBLING 1,PROMOTING,BOOKMAKIN","F"
"122","GAMBLING","557","GAMBLING 1,PROMOTING,POLICY","F"
"124","KIDNAPPING & RELATED OFFENSES","183","IMPRISONMENT 1,UNLAWFUL","F"
"124","KIDNAPPING & RELATED OFFENSES","185","KIDNAPPING 2","F"
"124","KIDNAPPING & RELATED OFFENSES","186","LURING A CHILD","F"
"124","KIDNAPPING & RELATED OFFENSES","187","KIDNAPPING 1","F"
"124","KIDNAPPING & RELATED OFFENSES","193","CUSTODIAL INTERFERENCE 1","F"
"125","OTHER STATE LAWS","808","TAX LAW","F"
"125","OTHER STATE LAWS","847","NY STATE LAWS,UNCLASSIFIED FEL","F"
"126","MISCELLANEOUS PENAL LAW","104","VEHICULAR ASSAULT (INTOX DRIVE","F"
"126","MISCELLANEOUS PENAL LAW","107","END WELFARE VULNERABLE ELDERLY PERSON","F"
"126","MISCELLANEOUS PENAL LAW","112","MENACING 1ST DEGREE (VICT NOT","F"
"126","MISCELLANEOUS PENAL LAW","117","RECKLESS ENDANGERMENT 1","F"
"126","MISCELLANEOUS PENAL LAW","197","COERCION 1","F"
"126","MISCELLANEOUS PENAL LAW","198","CRIMINAL CONTEMPT 1","F"
"126","MISCELLANEOUS PENAL LAW","199","AGGRAVATED CRIMINAL CONTEMPT","F"
"126","MISCELLANEOUS PENAL LAW","204","TRESPASS 1,CRIMINAL","F"
"126","MISCELLANEOUS PENAL LAW","285","SOLICITATION 3,2,1, CRIMINAL","F"
"126","MISCELLANEOUS PENAL LAW","291","CONSPIRACY 4, 3","F"
"126","MISCELLANEOUS PENAL LAW","293","CONSPIRACY 2, 1","F"
"126","MISCELLANEOUS PENAL LAW","461","UNAUTHORIZED USE VEHICLE 2","F"
"126","MISCELLANEOUS PENAL LAW","640","AGGRAVATED HARASSMENT 1","F"
"126","MISCELLANEOUS PENAL LAW","644","FALSE REPORT 1,FIRE","F"
"126","MISCELLANEOUS PENAL LAW","665","MAKING TERRORISTIC THREAT","F"
