"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"8wbx-tsch","For Hire Vehicles (FHV) - Active","dataset","PLEASE NOTE: This dataset of all TLC licensed for-hire vehicles in good standing is updated daily between 4–7 PM. Check the “Last Update Date” to confirm it shows today’s or yesterday’s date. If it’s ","2026-05-23T19:18:50.000Z",3729399,"Transportation"
"vx8i-nprf","Civil Service List (Active)","dataset","A Civil Service List consists of all candidates who passed an exam, ranked in score order. An established list is considered active for no less than one year and no more than four years from the date ","2026-05-22T13:04:40.000Z",3448630,"City Government"
"ic3t-wcy2","DOB Job Application Filings","dataset","This dataset contains all job applications submitted through the Borough Offices, through eFiling, or through the HUB, which have a ""Latest Action Date"" since January 1, 2000. This dataset does not in","2026-05-14T22:20:41.000Z",2422481,"Housing & Development"
"dpec-ucu7","TLC New Driver Application Status","dataset","THIS DATASET IS UPDATED SEVERAL TIMES PER DAY. TLC Driver application status check for applicants who had applied for a new TLC driver’s license. For more information and to upload missing requirement","2026-05-24T16:06:34.000Z",1751416,"Transportation"
"xjfq-wh2d","For Hire Vehicles (FHV) - Active Drivers","dataset","PLEASE NOTE: This dataset of all TLC licensed for-hire drivers in good standing is updated daily between 4–7 PM. Check the “Last Update Date” to confirm it shows today’s or yesterday’s date. If it’s o","2026-05-23T19:18:42.000Z",1743864,"Transportation"
"erm2-nwe9","311 Service Requests from 2020 to Present","dataset","<b>NOTE:</b> Learn more about the latest changes to this dataset: https://opendata.cityofnewyork.us/311-service-requests-from-2010-to-present-updates/

311 responds to thousands of inquiries, comments","2026-05-24T01:36:55.000Z",1231984,"Social Services"
"a9md-ynri","Civil Service List Certification","dataset","A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established.  The Certification may contain part of a list, the whole list, or multiple lis","2026-05-22T13:05:50.000Z",1034768,"City Government"
"k397-673e","Citywide Payroll Data (Fiscal Year)","dataset","Data is collected because of public interest in how the City’s budget is being spent on salary and overtime pay for all municipal employees. Data is input into the City's Personnel Management System (","2026-04-16T20:25:34.000Z",980432,"City Government"
"h9gi-nx95","Motor Vehicle Collisions - Crashes","dataset","The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported m","2026-05-22T22:51:40.000Z",863992,"Public Safety"
"ipu4-2q9a","DOB Permit Issuance","dataset","The Department of Buildings (DOB) issues permits for construction and demolition activities in the City of New York. The construction industry must submit an application to DOB with details of the con","2026-05-15T00:45:30.000Z",593185,"Housing & Development"
"tg4x-b46p","Film Permits","dataset","Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page","2026-05-23T19:30:10.000Z",516833,"City Government"
"jb3k-j3gp","Medallion Drivers - Active","dataset","PLEASE NOTE: This dataset of active TLC medallion drivers in good standing is updated daily between 4–7 PM. Check the “Last Update Date” to confirm it shows today’s or yesterday’s date. If it’s older,","2026-05-23T19:16:59.000Z",449897,"Transportation"
"5tub-eh45","Street Hail Livery (SHL) Drivers - Active","dataset","PLEASE NOTE: This dataset of all TLC licensed street hail livery (SHL) drivers in good standing is updated daily between 4–7 PM. Check the “Last Update Date” to confirm it shows today’s or yesterday’s","2026-05-23T19:16:34.000Z",401098,"Transportation"
"43nn-pn8j","DOHMH New York City Restaurant Inspection Results","dataset","The dataset contains every sustained or not yet adjudicated violation citation from every full or special program inspection conducted up to three years prior to the most recent inspection for restaur","2026-05-22T22:05:55.000Z",392781,"Health"
"jz4z-kudi","OATH Hearings Division Case Status","dataset","<b>NOTE:</b> As of May 4, 2026, the Respondent First Name, Respondent Address (Street Name), Respondent Address (City), and Respondent Address (State Name) fields have been removed from this dataset. ","2026-05-23T23:13:05.000Z",383562,"City Government"
"nc67-uf89","Open Parking and Camera Violations","dataset","The Open Parking and Camera Violations dataset was initially loaded with all violations contained in the mainframe database as of May 2016. Subsequent new violation issuance and updates to existing vi","2026-05-24T03:01:42.000Z",342892,"City Government"
"rhe8-mgbb","Medallion  Vehicles - Authorized","dataset","PLEASE NOTE: This dataset of TLC authorized medallion vehicles in good standing is updated daily between 4–7 PM. Check the “Last Update Date” to confirm it shows today’s or yesterday’s date. If it’s o","2026-05-23T19:17:07.000Z",339599,"Transportation"
"vfnx-vebw","2018 Central Park Squirrel Census - Squirrel Data","dataset","The Squirrel Census (https://www.thesquirrelcensus.com/) is a multimedia science, design, and storytelling project focusing on the Eastern gray (Sciurus carolinensis). They count squirrels and present","2023-04-18T19:29:57.000Z",296175,"Environment"
"jb7j-dtam","New York City Leading Causes of Death","dataset","The leading causes of death by sex and ethnicity in New York City in since 2007. Cause of death is derived from the NYC death certificate which is issued for every death that occurs in New York City.
","2026-01-27T19:52:17.000Z",279654,"Health"
"rbx6-tga4","DOB NOW: Build – Approved Permits","dataset","List of all approved construction permits in DOB NOW except for <a href=""https://data.cityofnewyork.us/City-Government/DOB-NOW-Electrical-Permit-Applications/dm9a-ab7w"">Electrical</a>, <a href=""https:","2026-05-23T18:42:16.000Z",259204,"Housing & Development"
"uip8-fykc","NYPD Arrest Data (Year to Date)","dataset","This is a breakdown of every arrest effected in NYC by the NYPD during the current year.
 This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning. ","2026-04-28T15:55:17.000Z",253711,"Public Safety"
"dg92-zbpx","City Record Online","dataset","The City Record Online (CROL) is a fully searchable database of notices published in the City Record newspaper, including, but not limited to: public hearings and meetings, public auctions and sales, ","2026-05-24T12:18:27.000Z",249401,"City Government"
"nzjr-3966","NYC Civil Service Titles","dataset","This is a list of NYC civil service title codes and  descriptions used by City of New York agencies as well as if the title requires investigation before appointment.","2026-05-01T15:34:26.000Z",242725,"City Government"
"qgea-i56i","NYPD Complaint Data Historic","dataset","This dataset includes all valid felony, misdemeanor, and violation crimes reported to the New York City Police Department (NYPD) from 2006 to the end of last year (2019). For additional details, pleas","2026-04-28T16:10:09.000Z",242707,"Public Safety"
"6z8x-wfk4","Evictions","dataset","This dataset lists executed evictions within the five boroughs for the years 2017-Present (data prior to January 1, 2017, is not available). The data fields may be sorted by 20 categories of informati","2026-05-24T11:38:43.000Z",227142,"City Government"
"wvxf-dwi5","Housing Maintenance Code Violations","dataset","Pursuant to New York City’s Housing Maintenance Code, the Department of Housing Preservation and Development (HPD) issues violations against conditions, in rental dwelling units and buildings, that ha","2026-05-24T15:02:17.000Z",206263,"Housing & Development"
"bnx9-e6tj","ACRIS - Real Property Master","filter","Document Details for Real Property Related Documents Recorded in ACRIS","2026-05-11T16:03:27.000Z",208242,"City Government"
"eabe-havv","DOB Complaints Received","dataset","This is the universe of complaints received by Department of Buildings (DOB). It includes complaints that come from 311 or that are entered into the system by DOB staff.

A Complaint Categories code","2026-05-24T16:18:10.000Z",202254,"Housing & Development"
"8h9b-rp9u","NYPD Arrests Data (Historic)","dataset","List of every arrest in NYC going back to 2006 through the end of the previous calendar year. This is a breakdown of every arrest effected in NYC by the NYPD going back to 2006 through the end of the ","2026-04-28T15:56:20.000Z",195649,"Public Safety"
"3h2n-5cm9","DOB Violations","dataset","This data set includes older civil penalties (commonly referred to as ‘DOB Violations’) that were issued by the Department of Buildings (DOB) in the Buildings Information System (BIS).  For newer civi","2026-05-24T17:39:46.000Z",168423,"Housing & Development"
"kpav-sd4t","Jobs NYC Postings","dataset","This dataset contains current job postings available on the  City of New York’s official jobs site (http://www.nyc.gov/html/careers/html/search/search.shtml).  Internal postings available to city empl","2026-05-19T19:00:30.000Z",154347,"City Government"
"5uac-w243","NYPD Complaint Data Current (Year To Date)","dataset","This dataset includes all valid felony, misdemeanor, and violation crimes reported to the New York City Police Department (NYPD) for all complete quarters so far this year (2019). For additional detai","2026-04-28T16:08:14.000Z",154018,"Public Safety"
