"zcta5","arealand","areawater","centlat","centlon","intptlat","intptlon"
"07305","14763292","13239409","+40.6930497","-074.0693224","+40.6930039","-074.0696505"
"10001","1616221","0","+40.7506490","-073.9972976","+40.7506490","-073.9972976"
"10002","2129725","0","+40.7159693","-073.9868946","+40.7159693","-073.9868946"
"10003","1480728","0","+40.7318645","-073.9891241","+40.7318645","-073.9891241"
"10004","1179938","0","+40.6939814","-074.0182557","+40.6898053","-074.0173890"
"10005","188727","0","+40.7062151","-074.0086868","+40.7062151","-074.0086868"
"10006","250630","0","+40.7094897","-074.0130536","+40.7094897","-074.0130536"
"10007","414129","0","+40.7138682","-074.0078656","+40.7138682","-074.0078656"
"10009","1597304","0","+40.7263919","-073.9786045","+40.7263919","-073.9786045"
"10010","954639","0","+40.7390449","-073.9826162","+40.7390449","-073.9826162"
"10011","1676950","0","+40.7418398","-074.0005279","+40.7418398","-074.0005279"
"10012","839030","0","+40.7256254","-073.9979364","+40.7256254","-073.9979364"
"10013","1409916","0","+40.7200512","-074.0048091","+40.7200512","-074.0048091"
"10014","1255850","0","+40.7341455","-074.0060262","+40.7341455","-074.0060262"
"10016","1422492","0","+40.7451816","-073.9780533","+40.7451816","-073.9780533"
"10017","772865","0","+40.7523868","-073.9726777","+40.7523868","-073.9726777"
"10018","891039","0","+40.7553269","-073.9926959","+40.7553269","-073.9926959"
"10019","1706504","17866","+40.7658150","-073.9851812","+40.7657350","-073.9850652"
"10020","46754","0","+40.7591745","-073.9807149","+40.7591745","-073.9807149"
"10021","927457","0","+40.7696404","-073.9590177","+40.7696404","-073.9590177"
"10022","1151287","0","+40.7585703","-073.9679300","+40.7585703","-073.9679300"
"10023","2510430","95089","+40.7746454","-073.9783783","+40.7745673","-073.9790155"
"10024","2292581","404929","+40.7853714","-073.9713354","+40.7856602","-073.9712689"
"10025","2302133","0","+40.7982514","-073.9683364","+40.7982514","-073.9683364"
"10026","992725","0","+40.8029777","-073.9535293","+40.8029777","-073.9535293"
"10027","2440915","1032","+40.8117611","-073.9546056","+40.8126570","-073.9549825"
"10028","817181","0","+40.7764466","-073.9533832","+40.7764466","-073.9533832"
"10029","2987055","49222","+40.7926569","-073.9478293","+40.7922493","-073.9473326"
"10030","718112","0","+40.8182473","-073.9428340","+40.8182473","-073.9428340"
"10031","1733068","0","+40.8248037","-073.9502057","+40.8248037","-073.9502057"
"10032","1742138","0","+40.8390405","-073.9428120","+40.8390405","-073.9428120"
"10033","1544803","0","+40.8474756","-073.9355098","+40.8474756","-073.9355098"
"10034","2652258","11193","+40.8674439","-073.9235428","+40.8670761","-073.9243120"
"10035","3638045","0","+40.7953834","-073.9295273","+40.7952510","-073.9304180"
"10036","1158340","0","+40.7597915","-073.9906851","+40.7597915","-073.9906851"
"10037","602984","0","+40.8130268","-073.9377141","+40.8130268","-073.9377141"
