"hub_id","title","type","source","license"
"cd6620f68d654e88b4aa1f6e0024c3f6","2025 Draft Budget Explorer Datasets","CSV Collection","City of Ottawa","custom"
"58ed97efc38d48969199556e29f7c96c","2024 Draft Budget Tool - Datasets","CSV Collection","City of Ottawa","custom"
"0b1c99e228254eb5993caebb806636f3","Recreation Guide 2022 Fall","CSV Collection","City of Ottawa","custom"
"2cdd1bf5ef824d358222aba3e743af84","Climate Projections for the National Capital Region - Appendix G - Tables of Climate Indices","CSV Collection","City of Ottawa","custom"
"c8fc7fe6b0594eb3b4c93d6c44a7fb54","Climate Projections for the National Capital Region - Table 2.1 Projections for Extreme Precipitation Based on Multiple Methods","CSV Collection","City of Ottawa","custom"
"f6b1b5c8b68845b8afefdd1110c6d906","2022 Monthly Service Requests","CSV Collection","City of Ottawa","custom"
"87e8168a14e746e1bb54051cc9690f5c","Custom Census Child Care Service Planning Boundaries","CSV Collection","City of Ottawa","custom"
"c5a6e025e7eb465abb0d31eefa2b2e64","Recreation Guide 2022 Winter","CSV Collection","City of Ottawa","custom"
"ddbe0436d79a459296d42c37dfc82daa","Climate Projections for the National Capital Region - NetCDF files","CSV Collection","City of Ottawa","custom"
"95a95aade9d646c6bfc0251d720cf0f6","Budget 2020 Transit Operating and Capital Budget Status Report – Q2","CSV Collection","City of Ottawa","custom"
"20dfc20ef27a45d58375d34941b106e8","Budget 2020 Operating and Capital Budget Status Report – Q2","CSV Collection","City of Ottawa","custom"
"e88c52d7727e4a9dba6d427c9bd6445c","2026 Draft Budget Explorer - Datasets","CSV Collection","City of Ottawa","custom"
"ff9611baf554401f9aac1630bf276395","Recreation Guide - 2020 Before and After School","CSV Collection","City of Ottawa","custom"
"595cafb2af084543b107c3839de4c895","Recreation Guide _ 2020 Fall","CSV Collection","City of Ottawa","custom"
"4a9aa5f7835646ada78b435a6474dd83","Housing Needs Assessment","CSV Collection","City of Ottawa","custom"
"b3459b98acbd49818858706278d53703","2024 Operating Budget Summaries","CSV Collection","City of Ottawa","custom"
"eaf5c2f98c7647d482e21bd4aac46388","Recreation Guide 2022 Spring","CSV Collection","City of Ottawa","custom"
"70144e2c52724e3a920bc53675f4cae3","Recreation Guide 2022 March Break","CSV Collection","City of Ottawa","custom"
"5fabed98fbff46d28ec80c4d720670ce","Recreation Guide - 2022 Summer","CSV Collection","City of Ottawa","custom"
"f77c43989f024f93a9db812570ae9379","Budget 2020 Transit Operating and Capital Status Report - Q1","CSV Collection","City of Ottawa","custom"
"3e80b4906c6649f0aae45b6ec44f5767","Public Art (Historical)","CSV","City of Ottawa","custom"
"59b3ea74ecea4a8a9d7fb797190bbdb8","2021 Long Form Census - Ward Data","CSV","City of Ottawa","custom"
"db6822bde1d84eb8a2e8343dbf769c08","School board achievements and progress","CSV","City of Ottawa","custom"
"dc58f21ea63644dc9d174255087d6743","Museum Children’s Programs Survey – Summer 2022","CSV","City of Ottawa","custom"
"4f6e08064d634c65893dd7ea2dec14d9","Employment and Social Services Centres","CSV","City of Ottawa","custom"
"734a327141b14a55b666953c9141abf3","COVID-19 Weekly Cases and Rates by Age in Ottawa - Last 6 Weeks (Historical data)","CSV","City of Ottawa","custom"
