"hood_140","name_140","hood_158","name_158","pct_140_in_158","pct_158_in_140","relation"
"001","West Humber-Clairville (1)","001","West Humber-Clairville",100,100,"1:1"
"002","Mount Olive-Silverstone-Jamestown (2)","002","Mount Olive-Silverstone-Jamestown",100,100,"1:1"
"003","Thistletown-Beaumond Heights (3)","003","Thistletown-Beaumond Heights",100,100,"1:1"
"004","Rexdale-Kipling (4)","004","Rexdale-Kipling",100,100,"1:1"
"005","Elms-Old Rexdale (5)","005","Elms-Old Rexdale",100,100,"1:1"
"006","Kingsview Village-The Westway (6)","006","Kingsview Village-The Westway",100,100,"1:1"
"007","Willowridge-Martingrove-Richview (7)","007","Willowridge-Martingrove-Richview",100,100,"1:1"
"008","Humber Heights-Westmount (8)","008","Humber Heights-Westmount",100,100,"1:1"
"009","Edenbridge-Humber Valley (9)","009","Edenbridge-Humber Valley",100,100,"1:1"
"010","Princess-Rosethorn (10)","010","Princess-Rosethorn",100,100,"1:1"
"011","Eringate-Centennial-West Deane (11)","011","Eringate-Centennial-West Deane",100,100,"1:1"
"012","Markland Wood (12)","012","Markland Wood",100,100,"1:1"
"013","Etobicoke West Mall (13)","013","Etobicoke West Mall",100,100,"1:1"
"014","Islington-City Centre West (14)","159","Etobicoke City Centre",62.4109,100,"split"
"014","Islington-City Centre West (14)","158","Islington",37.5891,100,"split"
"015","Kingsway South (15)","015","Kingsway South",100,100,"1:1"
"016","Stonegate-Queensway (16)","016","Stonegate-Queensway",100,100,"1:1"
"017","Mimico (includes Humber Bay Shores) (17)","160","Mimico-Queensway",77.6457,100,"split"
"017","Mimico (includes Humber Bay Shores) (17)","161","Humber Bay Shores",22.3543,100,"split"
"018","New Toronto (18)","018","New Toronto",100,100,"1:1"
"019","Long Branch (19)","019","Long Branch",100,100,"1:1"
"020","Alderwood (20)","020","Alderwood",100,100,"1:1"
"021","Humber Summit (21)","021","Humber Summit",100,100,"1:1"
"022","Humbermede (22)","022","Humbermede",100,100,"1:1"
"023","Pelmo Park-Humberlea (23)","023","Pelmo Park-Humberlea",100,100,"1:1"
"024","Black Creek (24)","024","Black Creek",100,100,"1:1"
"025","Glenfield-Jane Heights (25)","025","Glenfield-Jane Heights",100,100,"1:1"
"026","Downsview-Roding-CFB (26)","155","Downsview",55.3336,100,"split"
"026","Downsview-Roding-CFB (26)","154","Oakdale-Beverley Heights",44.6664,100,"split"
"027","York University Heights (27)","027","York University Heights",100,100,"1:1"
"028","Rustic (28)","028","Rustic",100,100,"1:1"
"029","Maple Leaf (29)","029","Maple Leaf",100,100,"1:1"
"030","Brookhaven-Amesbury (30)","030","Brookhaven-Amesbury",100,100,"1:1"
"031","Yorkdale-Glen Park (31)","031","Yorkdale-Glen Park",100,100,"1:1"
"032","Englemount-Lawrence (32)","032","Englemount-Lawrence",100,100,"1:1"
"033","Clanton Park (33)","033","Clanton Park",100,100,"1:1"
"034","Bathurst Manor (34)","034","Bathurst Manor",100,100,"1:1"
"035","Westminster-Branson (35)","035","Westminster-Branson",100,100,"1:1"
"036","Newtonbrook West (36)","036","Newtonbrook West",100,100,"1:1"
"037","Willowdale West (37)","037","Willowdale West",100,100,"1:1"
"038","Lansing-Westgate (38)","038","Lansing-Westgate",100,100,"1:1"
"039","Bedford Park-Nortown (39)","039","Bedford Park-Nortown",100,100,"1:1"
"040","St.Andrew-Windfields (40)","040","St.Andrew-Windfields",100,99.4026,"merge"
"041","Bridle Path-Sunnybrook-York Mills (41)","041","Bridle Path-Sunnybrook-York Mills",100,100,"1:1"
"042","Banbury-Don Mills (42)","042","Banbury-Don Mills",100,100,"1:1"
"043","Victoria Village (43)","043","Victoria Village",100,100,"1:1"
"044","Flemingdon Park (44)","044","Flemingdon Park",100,100,"1:1"
"045","Parkwoods-Donalda (45)","149","Parkwoods-O'Connor Hills",55.5908,100,"split"
"045","Parkwoods-Donalda (45)","150","Fenside-Parkwoods",44.4092,100,"split"
"046","Pleasant View (46)","046","Pleasant View",100,100,"1:1"
"047","Don Valley Village (47)","047","Don Valley Village",100,100,"1:1"
"048","Hillcrest Village (48)","048","Hillcrest Village",100,100,"1:1"
"049","Bayview Woods-Steeles (49)","049","Bayview Woods-Steeles",100,100,"1:1"
"050","Newtonbrook East (50)","050","Newtonbrook East",100,100,"1:1"
"051","Willowdale East (51)","152","East Willowdale",69.426,100,"split"
"051","Willowdale East (51)","153","Avondale",20.3867,100,"split"
