"_id","AREA_ID","DATE_EFFECTIVE","DATE_EXPIRY","AREA_ATTR_ID","AREA_TYPE_ID","PARENT_AREA_ID","AREA_TYPE","AREA_CLASS_ID","AREA_CLASS","AREA_SHORT_CODE","AREA_LONG_CODE","AREA_NAME","AREA_DESC","FEATURE_CODE","FEATURE_CODE_DESC","TRANS_ID_CREATE","TRANS_ID_EXPIRE","OBJECTID"
1,2502359,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022874,602,NA,"CNBH",NA,"None",155,155,"Downsview","Downsview (155)",NA,"None",344709,-1,17824849
2,2502358,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022873,602,NA,"CNBH",NA,"None",154,154,"Oakdale-Beverley Heights","Oakdale-Beverley Heights (154)",NA,"None",344709,-1,17824865
3,2502346,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022861,602,NA,"CNBH",NA,"None",142,142,"Woburn North","Woburn North (142)",NA,"None",344709,-1,17825057
4,2502345,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022860,602,NA,"CNBH",NA,"None",141,141,"Golfdale-Cedarbrae-Woburn","Golfdale-Cedarbrae-Woburn (141)",NA,"None",344709,-1,17825073
5,2502343,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022858,602,NA,"CNBH",NA,"None",139,139,"Scarborough Village","Scarborough Village (139)",NA,"None",344709,-1,17825105
6,2502342,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022857,602,NA,"CNBH",NA,"None",138,138,"Eglinton East","Eglinton East (138)",NA,"None",344709,-1,17825121
7,2502341,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022856,602,NA,"CNBH",NA,"None",136,136,"West Hill","West Hill (136)",NA,"None",344709,-1,17825137
8,2502340,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022855,602,NA,"CNBH",NA,"None",135,135,"Morningside","Morningside (135)",NA,"None",344709,-1,17825153
9,2502333,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022848,602,NA,"CNBH",NA,"None",125,125,"Ionview","Ionview (125)",NA,"None",344709,-1,17825265
10,2502332,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022847,602,NA,"CNBH",NA,"None",124,124,"Kennedy Park","Kennedy Park (124)",NA,"None",344709,-1,17825281
11,2502301,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022816,602,NA,"CNBH",NA,"None",91,91,"Weston-Pelham Park","Weston-Pelham Park (91)",NA,"None",344709,-1,17825777
12,2502299,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022814,602,NA,"CNBH",NA,"None",121,121,"Oakridge","Oakridge (121)",NA,"None",344709,-1,17825809
13,2502294,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022809,602,NA,"CNBH",NA,"None",115,115,"Mount Dennis","Mount Dennis (115)",NA,"None",344709,-1,17825889
14,2502292,"2022-04-11T21:27:23","3000-01-01T05:00:00",26022807,602,NA,"CNBH",NA,"None",113,113,"Weston","Weston (113)",NA,"None",344709,-1,17825921
