"_id","AREA_ID","AREA_ATTR_ID","PARENT_AREA_ID","AREA_SHORT_CODE","AREA_LONG_CODE","AREA_NAME","AREA_DESC","CLASSIFICATION","CLASSIFICATION_CODE","OBJECTID"
1,2501286,26022481,NA,30,30,"Brookhaven-Amesbury (30)","Brookhaven-Amesbury (30)","Not an NIA or Emerging Neighbourhood",NA,17818369
2,2501285,26022480,NA,106,106,"Humewood-Cedarvale (106)","Humewood-Cedarvale (106)","Not an NIA or Emerging Neighbourhood",NA,17818385
3,2501284,26022479,NA,91,91,"Weston-Pelham Park (91)","Weston-Pelham Park (91)","Neighbourhood Improvement Area","NIA",17818401
4,2501283,26022478,NA,48,48,"Hillcrest Village (48)","Hillcrest Village (48)","Not an NIA or Emerging Neighbourhood",NA,17818417
5,2501282,26022477,NA,129,129,"Agincourt North (129)","Agincourt North (129)","Not an NIA or Emerging Neighbourhood",NA,17818433
6,2501281,26022476,NA,97,97,"Yonge-St.Clair (97)","Yonge-St.Clair (97)","Not an NIA or Emerging Neighbourhood",NA,17818449
7,2501280,26022475,NA,100,100,"Yonge-Eglinton (100)","Yonge-Eglinton (100)","Not an NIA or Emerging Neighbourhood",NA,17818465
8,2501279,26022474,NA,9,9,"Edenbridge-Humber Valley (9)","Edenbridge-Humber Valley (9)","Not an NIA or Emerging Neighbourhood",NA,17818481
9,2501278,26022473,NA,4,4,"Rexdale-Kipling (4)","Rexdale-Kipling (4)","Not an NIA or Emerging Neighbourhood",NA,17818497
10,2501277,26022472,NA,51,51,"Willowdale East (51)","Willowdale East (51)","Not an NIA or Emerging Neighbourhood",NA,17818513
11,2501276,26022471,NA,44,44,"Flemingdon Park (44)","Flemingdon Park (44)","Neighbourhood Improvement Area","NIA",17818529
12,2501275,26022470,NA,10,10,"Princess-Rosethorn (10)","Princess-Rosethorn (10)","Not an NIA or Emerging Neighbourhood",NA,17818545
13,2501274,26022469,NA,46,46,"Pleasant View (46)","Pleasant View (46)","Not an NIA or Emerging Neighbourhood",NA,17818561
14,2501273,26022468,NA,93,93,"Dovercourt-Wallace Emerson-Junction (93)","Dovercourt-Wallace Emerson-Junction (93)","Not an NIA or Emerging Neighbourhood",NA,17818577
15,2501272,26022467,NA,121,121,"Oakridge (121)","Oakridge (121)","Neighbourhood Improvement Area","NIA",17818593
16,2501271,26022466,NA,110,110,"Keelesdale-Eglinton West (110)","Keelesdale-Eglinton West (110)","Neighbourhood Improvement Area","NIA",17818609
17,2501270,26022465,NA,108,108,"Briar Hill-Belgravia (108)","Briar Hill-Belgravia (108)","Not an NIA or Emerging Neighbourhood",NA,17818625
18,2501269,26022464,NA,104,104,"Mount Pleasant West (104)","Mount Pleasant West (104)","Not an NIA or Emerging Neighbourhood",NA,17818641
19,2501268,26022463,NA,109,109,"Caledonia-Fairbank (109)","Caledonia-Fairbank (109)","Not an NIA or Emerging Neighbourhood",NA,17818657
20,2501267,26022462,NA,112,112,"Beechborough-Greenbrook (112)","Beechborough-Greenbrook (112)","Neighbourhood Improvement Area","NIA",17818673
21,2501266,26022461,NA,59,59,"Danforth East York (59)","Danforth East York (59)","Not an NIA or Emerging Neighbourhood",NA,17818689
22,2501265,26022460,NA,99,99,"Mount Pleasant East (99)","Mount Pleasant East (99)","Not an NIA or Emerging Neighbourhood",NA,17818705
23,2501264,26022459,NA,73,73,"Moss Park (73)","Moss Park (73)","Not an NIA or Emerging Neighbourhood",NA,17818721
24,2501263,26022458,NA,90,90,"Junction Area (90)","Junction Area (90)","Not an NIA or Emerging Neighbourhood",NA,17818737
25,2501262,26022457,NA,84,84,"Little Portugal (84)","Little Portugal (84)","Not an NIA or Emerging Neighbourhood",NA,17818753
26,2501261,26022456,NA,98,98,"Rosedale-Moore Park (98)","Rosedale-Moore Park (98)","Not an NIA or Emerging Neighbourhood",NA,17818769
27,2501260,26022455,NA,107,107,"Oakwood Village (107)","Oakwood Village (107)","Not an NIA or Emerging Neighbourhood",NA,17818785
28,2501259,26022454,NA,54,54,"O'Connor-Parkview (54)","O'Connor-Parkview (54)","Not an NIA or Emerging Neighbourhood",NA,17818801
29,2501258,26022453,NA,126,126,"Dorset Park (126)","Dorset Park (126)","Emerging Neighbourhood","EN",17818817
30,2501257,26022452,NA,36,36,"Newtonbrook West (36)","Newtonbrook West (36)","Not an NIA or Emerging Neighbourhood",NA,17818833
31,2501256,26022451,NA,71,71,"Cabbagetown-South St.James Town (71)","Cabbagetown-South St.James Town (71)","Not an NIA or Emerging Neighbourhood",NA,17818849
32,2501255,26022450,NA,24,24,"Black Creek (24)","Black Creek (24)","Neighbourhood Improvement Area","NIA",17818865
33,2501254,26022449,NA,67,67,"Playter Estates-Danforth (67)","Playter Estates-Danforth (67)","Not an NIA or Emerging Neighbourhood",NA,17818881
34,2501253,26022448,NA,57,57,"Broadview North (57)","Broadview North (57)","Not an NIA or Emerging Neighbourhood",NA,17818897
35,2501252,26022447,NA,15,15,"Kingsway South (15)","Kingsway South (15)","Not an NIA or Emerging Neighbourhood",NA,17818913
36,2501251,26022446,NA,13,13,"Etobicoke West Mall (13)","Etobicoke West Mall (13)","Not an NIA or Emerging Neighbourhood",NA,17818929
37,2501250,26022445,NA,68,68,"North Riverdale (68)","North Riverdale (68)","Not an NIA or Emerging Neighbourhood",NA,17818945
38,2501249,26022444,NA,125,125,"Ionview (125)","Ionview (125)","Neighbourhood Improvement Area","NIA",17818961
39,2501248,26022443,NA,47,47,"Don Valley Village (47)","Don Valley Village (47)","Not an NIA or Emerging Neighbourhood",NA,17818977
40,2501247,26022442,NA,60,60,"Woodbine-Lumsden (60)","Woodbine-Lumsden (60)","Not an NIA or Emerging Neighbourhood",NA,17818993
41,2501246,26022441,NA,96,96,"Casa Loma (96)","Casa Loma (96)","Not an NIA or Emerging Neighbourhood",NA,17819009
42,2501245,26022440,NA,124,124,"Kennedy Park (124)","Kennedy Park (124)","Neighbourhood Improvement Area","NIA",17819025
43,2501244,26022439,NA,74,74,"North St.James Town (74)","North St.James Town (74)","Not an NIA or Emerging Neighbourhood",NA,17819041
44,2501243,26022438,NA,76,76,"Bay Street Corridor (76)","Bay Street Corridor (76)","Not an NIA or Emerging Neighbourhood",NA,17819057
45,2501242,26022437,NA,86,86,"Roncesvalles (86)","Roncesvalles (86)","Not an NIA or Emerging Neighbourhood",NA,17819073
46,2501241,26022436,NA,123,123,"Cliffcrest (123)","Cliffcrest (123)","Not an NIA or Emerging Neighbourhood",NA,17819089
47,2501240,26022435,NA,120,120,"Clairlea-Birchmount (120)","Clairlea-Birchmount (120)","Not an NIA or Emerging Neighbourhood",NA,17819105
48,2501239,26022434,NA,75,75,"Church-Yonge Corridor (75)","Church-Yonge Corridor (75)","Not an NIA or Emerging Neighbourhood",NA,17819121
49,2501238,26022433,NA,134,134,"Highland Creek (134)","Highland Creek (134)","Not an NIA or Emerging Neighbourhood",NA,17819137
50,2501237,26022432,NA,87,87,"High Park-Swansea (87)","High Park-Swansea (87)","Not an NIA or Emerging Neighbourhood",NA,17819153
51,2501236,26022431,NA,50,50,"Newtonbrook East (50)","Newtonbrook East (50)","Not an NIA or Emerging Neighbourhood",NA,17819169
52,2501235,26022430,NA,7,7,"Willowridge-Martingrove-Richview (7)","Willowridge-Martingrove-Richview (7)","Not an NIA or Emerging Neighbourhood",NA,17819185
53,2501234,26022429,NA,25,25,"Glenfield-Jane Heights (25)","Glenfield-Jane Heights (25)","Neighbourhood Improvement Area","NIA",17819201
54,2501233,26022428,NA,113,113,"Weston (113)","Weston (113)","Neighbourhood Improvement Area","NIA",17819217
55,2501232,26022427,NA,11,11,"Eringate-Centennial-West Deane (11)","Eringate-Centennial-West Deane (11)","Not an NIA or Emerging Neighbourhood",NA,17819233
56,2501231,26022426,NA,32,32,"Englemount-Lawrence (32)","Englemount-Lawrence (32)","Emerging Neighbourhood","EN",17819249
57,2501230,26022425,NA,58,58,"Old East York (58)","Old East York (58)","Not an NIA or Emerging Neighbourhood",NA,17819265
58,2501229,26022424,NA,34,34,"Bathurst Manor (34)","Bathurst Manor (34)","Not an NIA or Emerging Neighbourhood",NA,17819281
59,2501228,26022423,NA,42,42,"Banbury-Don Mills (42)","Banbury-Don Mills (42)","Not an NIA or Emerging Neighbourhood",NA,17819297
60,2501227,26022422,NA,117,117,"L'Amoreaux (117)","L'Amoreaux (117)","Not an NIA or Emerging Neighbourhood",NA,17819313
61,2501226,26022421,NA,135,135,"Morningside (135)","Morningside (135)","Neighbourhood Improvement Area","NIA",17819329
