"package_name","title","num_resources","metadata_modified","license"
"temporary-extension-and-special-occasion-permit-endorsements-for-liquor-licences","Temporary Extension and Special Occasion Permit Endorsements for Liquor Licences",8,"2026-05-24T15:21:21.040146","notspecified"
"multi-tenant-house-licences","Multi-Tenant (Rooming) House Licences",4,"2026-05-24T15:14:15.577862","notspecified"
"polls-conducted-by-the-city","Polls conducted by the City",5,"2026-05-24T15:00:15.852619",NA
"rain-gauge-locations-and-precipitation","Rain Gauge Locations and Precipitation",14,"2026-05-24T14:53:20.403368","notspecified"
"traffic-signal-timing","Traffic Signal Timing",1,"2026-05-24T14:15:14.080166","notspecified"
"daily-shelter-overnight-service-occupancy-capacity","Daily Shelter & Overnight Service Occupancy & Capacity",24,"2026-05-24T13:35:55.941361","notspecified"
"traffic-volumes-midblock-vehicle-speed-volume-and-classification-counts","Traffic Volumes - Midblock Vehicle Speed, Volume and Classification Counts",30,"2026-05-24T13:28:50.882409","notspecified"
"motor-vehicle-collisions-involving-killed-or-seriously-injured-persons","Motor Vehicle Collisions Involving Killed or Seriously Injured Persons",8,"2026-05-24T13:06:23.549697","notspecified"
"open-data-intake","Toronto Open Data Intake",8,"2026-05-24T13:01:46.214385","notspecified"
"short-term-rentals-registration","Short Term Rentals Registration",4,"2026-05-24T12:00:16.354170","open-government-licence-toronto"
"building-permits-cleared-permits","Building Permits - Cleared Permits",5,"2026-05-24T11:13:18.317621","notspecified"
"web-analytics","Web Analytics",4,"2026-05-24T10:35:01.633767","open-government-licence-toronto"
"building-construction-demolition-violations","Building Construction/Demolition Violations",4,"2026-05-24T10:28:28.283824","open-government-licence-toronto"
"building-permits-active-permits","Building Permits - Active Permits",4,"2026-05-24T10:24:56.325144","notspecified"
"preliminary-zoning-reviews","Preliminary Zoning Reviews",4,"2026-05-24T10:16:08.509567",NA
"apartment-building-evaluation","Apartment Building Evaluation",8,"2026-05-24T09:34:26.378998","open-government-licence-toronto"
"development-applications","Development Applications",4,"2026-05-24T07:25:42.302171","notspecified"
"bodysafe","BodySafe",9,"2026-05-24T07:04:08.619994","notspecified"
"traffic-calming-database","Traffic Calming Database",4,"2026-05-24T03:24:24.280589","notspecified"
"open-data-web-analytics","Open Data Portal Usage",13,"2026-05-24T03:05:13.063489","notspecified"
"dinesafe","Dinesafe",5,"2026-05-24T02:13:38.893661","notspecified"
"residential-health-hazards","Highrise Residential Health Hazards",11,"2026-05-24T02:04:01.120049","notspecified"
"traffic-volumes-at-intersections-for-all-modes","Traffic Volumes - Multimodal Intersection Turning Movement Counts",28,"2026-05-23T22:44:29.295627","notspecified"
"property-boundaries","Property Boundaries",11,"2026-05-23T22:22:32.079583","notspecified"
"festivals-events","Festivals & Events",3,"2026-05-23T21:15:13.252157","notspecified"
"earlyon-child-and-family-centres","EarlyON Child and Family Centres",9,"2026-05-23T21:00:26.529289",NA
"catalogue-quality-scores","Toronto Open Data Quality Scores",9,"2026-05-23T19:34:39.784503","notspecified"
"municipal-licensing-and-standards-investigation-activity","Municipal Licensing and Standards - Investigation Activity",3,"2026-05-23T19:17:03.656619",NA
"lobbyist-registry","Lobbyist Registry",2,"2026-05-23T19:16:53.173664","notspecified"
"city-council-and-committees-meeting-schedule-reports","City Council and Committees Meeting Schedule Reports",21,"2026-05-23T18:07:29.861404","notspecified"
"registry-of-declared-interest","Registry of Declared Interest",21,"2026-05-23T18:06:58.542977",NA
"watermains","Watermains",16,"2026-05-23T16:20:10.294291","notspecified"
"tobids-all-open-solicitations","Toronto Bids Solicitations",4,"2026-05-23T15:58:48.204421","notspecified"
"licensed-dogs-and-cats","Licensed Dogs and Cats",4,"2026-05-23T15:19:03.826298","notspecified"
"air-conditioned-and-cool-spaces-heat-relief-network","Air Conditioned and Cool Spaces (Heat Relief Network)",13,"2026-05-23T11:14:59.964144",NA
"committee-of-adjustment-applications","Committee of Adjustment Applications",81,"2026-05-23T10:10:04.696385","open-government-licence-toronto"
"non-regulated-lead-sample","Non Regulated Lead Sample",4,"2026-05-23T06:19:17.985511",NA
"municipal-licensing-and-standards-business-licences-and-permits","Municipal Licensing and Standards - Business Licences and Permits",5,"2026-05-23T06:11:01.121283","notspecified"
"ttc-routes-and-schedules","TTC Routes and Schedules",1,"2026-05-23T02:27:45.718768","notspecified"
"traffic-signals-tabular","Traffic Signals Tabular",28,"2026-05-23T00:06:32.488382",NA
"park-and-recreation-facility-projects","Park and Recreation Facility Projects",8,"2026-05-23T00:05:53.240574","notspecified"
"toronto-s-dashboard-key-indicators","Toronto's Dashboard Key Indicators",7,"2026-05-23T00:00:40.299516","notspecified"
"utility-cut-permits","Utility Cut Permits",4,"2026-05-23T00:00:34.122112","open-government-licence-toronto"
"toronto-island-ferry-ticket-counts","Toronto Island Ferry Ticket Counts",4,"2026-05-22T23:17:27.181392","notspecified"
"parks-drinking-fountains","Parks Drinking Water Sources",17,"2026-05-22T18:53:48.979002","notspecified"
"washroom-facilities","Park Washroom Facilities",8,"2026-05-22T18:29:31.039894","notspecified"
"toronto-centreline-tcl","Toronto Centreline (TCL)",9,"2026-05-22T18:13:56.166900","open-government-licence-toronto"
"licensed-child-care-centres","Licensed Child Care Centres",9,"2026-05-22T17:03:59.010814","open-government-licence-toronto"
"sewer-manholes","Sewer Maintenance Holes",8,"2026-05-22T16:46:33.700153","notspecified"
"sewer-gravity-mains","Sewer Gravity Mains",16,"2026-05-22T16:44:33.949989","notspecified"
"sewer-outfalls","Sewer Outfalls",8,"2026-05-22T16:39:03.989335","notspecified"
