"package_name","title","num_resources","metadata_modified","search_keyword"
"311-service-request-codes","311 Service Request Codes",1,"2025-07-24T19:54:28.334781","311"
"311-open311-api-calls-for-service-requests","311 - Open311 API Calls for Service Requests",2,"2025-07-24T19:54:27.770688","311"
"311-contact-centre-performance-metrics","311 Contact Centre Performance Metrics",1,"2026-04-08T14:18:36.624662","311"
"311-service-requests-customer-initiated","311 Service Requests - Customer Initiated",18,"2026-05-08T20:32:21.438621","311"
"public-art","Public Art",13,"2026-05-13T13:41:35.826593","311"
"traffic-control-devices","Traffic Control Devices",9,"2026-02-20T21:06:09.432423","311"
"city-subject-thesaurus","City Subject Thesaurus",4,"2025-07-24T19:54:35.743778","311"
"clothing-drop-box-locations","Clothing Drop-Box Locations",14,"2026-05-03T06:19:49.550051","311"
"apartment-building-registration","Apartment Building Registration",4,"2026-05-05T09:00:19.735676","311"
"flood-reporting-noted-by-toronto-water-districts","Flood Reporting Noted by Toronto Water Districts",2,"2023-03-01T14:45:56.443787","311"
"litter-bin-collection-frequency","Litter Bin Collection Frequency",8,"2026-02-20T21:33:22.510104","311"
"fire-hydrants","Fire Hydrants",13,"2026-02-23T16:36:53.926999","fire"
"fire-incidents","Fire Incidents",4,"2026-02-20T18:33:47.972448","fire"
"fire-station-locations","Fire Facility Locations",14,"2026-02-20T20:55:37.205452","fire"
"fire-services-incident-data","Fire Services Incident Data",5,"2023-03-01T14:45:56.022688","fire"
"residential-fire-inspection-results","Residential Fire Inspection Results",8,"2026-05-02T12:21:09.205680","fire"
"toronto-fire-services-run-areas","Toronto Fire Services Run Areas",11,"2026-02-20T21:07:49.240940","fire"
"fire-services-emergency-incident-basic-detail","Fire Services Emergency Incident Basic Detail",124,"2026-02-20T22:20:32.885192","fire"
"wellbeing-toronto-safety","Wellbeing Toronto - Safety",1,"2024-04-03T12:43:42.287575","fire"
"traffic-signals-tabular","Traffic Signals Tabular",28,"2026-05-23T00:06:32.488382","fire"
"police-annual-statistical-report-shooting-occurrences","Police Annual Statistical Report - Shooting Occurrences",4,"2026-03-12T13:14:55.874311","fire"
"shootings-firearm-discharges","Shootings & Firearm Discharges",13,"2026-04-23T17:33:59.619871","fire"
"police-boundaries","Police Boundaries",8,"2026-02-20T18:31:14.158106","police"
"police-facility-locations","Police Facility Locations",13,"2026-02-20T19:14:40.693345","police"
"tps-police-divisions","TPS Police Divisions",13,"2026-02-20T18:31:15.455486","police"
"toronto-police-budget","Toronto Police Budget",28,"2026-02-20T18:46:25.161150","police"
"tps-operating-budget","Historical Toronto Police Operating Budget",1,"2026-03-12T13:15:06.838135","police"
"toronto-police-budget-by-command","Toronto Police Budget By Command",4,"2026-02-20T20:48:46.440859","police"
"toronto-police-staffing-by-command","Toronto Police Staffing by Command",4,"2026-02-20T20:48:50.708247","police"
"police-annual-statistical-report-administrative","Police Annual Statistical Report - Administrative",4,"2026-03-12T13:14:38.976183","police"
"police-annual-statistical-report-homicide","Police Annual Statistical Report - Homicides",21,"2026-04-23T17:28:12.411687","police"
"bicycle-thefts","Bicycle Thefts",13,"2026-04-23T17:42:11.746520","police"
"police-annual-statistical-report-personnel-by-command","Police Annual Statistical Report - Personnel by Command",4,"2026-03-12T13:14:34.278750","police"
"police-annual-statistical-report-regulated-interactions-demographics","Police Annual Statistical Report - Regulated Interactions Demographics",4,"2026-03-12T13:14:55.076292","police"
"police-annual-statistical-report-victims-of-crime","Police Annual Statistical Report - Victims of Crimes",4,"2026-03-12T13:14:52.350329","police"
"police-annual-statistical-report-reported-crimes","Police Annual Statistical Report - Reported Crimes",4,"2026-03-12T13:14:49.490902","police"
"police-annual-statistical-report-miscellaneous-data","Police Annual Statistical Report - Miscellaneous Data",4,"2026-03-12T13:14:34.841832","police"
"police-annual-statistical-report-investigated-alleged-misconduct","Police Annual Statistical Report - Investigated Alleged Misconduct",4,"2026-03-12T13:14:47.726663","police"
"police-annual-statistical-report-personnel-by-rank","Police Annual Statistical Report - Personnel by Rank",4,"2026-03-12T13:14:44.203033","police"
"police-annual-statistical-report-tickets-issued","Police Annual Statistical Report - Tickets Issued",4,"2026-03-12T13:14:41.586859","police"
"police-annual-statistical-report-gross-operating-budget","Police Annual Statistical Report - Gross Operating Budget",4,"2026-03-12T13:14:46.019183","police"
"police-annual-statistical-report-search-of-persons","Police Annual Statistical Report - Search of Persons",4,"2026-03-12T13:14:50.430395","police"
"police-annual-statistical-report-miscellaneous-firearms","Police Annual Statistical Report - Miscellaneous Firearms",4,"2026-03-12T13:14:43.297348","police"
"police-annual-statistical-report-complaint-dispositions","Police Annual Statistical Report - Complaint Dispositions",4,"2026-03-12T13:14:48.584570","police"
"police-annual-statistical-report-total-public-complaints","Police Annual Statistical Report - Total Public Complaints",4,"2026-03-12T13:14:46.896987","police"
"police-annual-statistical-report-regulated-interactions","Police Annual Statistical Report - Regulated Interactions",4,"2026-03-12T13:14:51.530451","police"
"police-annual-statistical-report-traffic-collisions","Police Annual Statistical Report - Traffic Collisions",9,"2026-04-23T19:34:02.168379","police"
