"hub_id","title","type","feature_server_url","owner","tags","snippet"
"b8e3ef826ea84cbcb85951d051afc2fa","2008 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2008_FIRS/FeatureServer","TorontoPoliceService","FIRS; Field Information Requests","2008 Field Information Requests (FIRS)"
"de8ba3b4899b48bc8fbf4421f4945ed6","2009 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2009_FIRS/FeatureServer","TorontoPoliceService","FIRS; Freedom of Information Requests","2009 Field Information Requests (FIRS)"
"9a5c8a4fdfa54e7f97236a769b196f16","2010 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2010_FIRS/FeatureServer","TorontoPoliceService","FIRS; Field Information Requests","2010 Field Information Requests (FIRS)"
"78361ed81cca40aebd1032a26ef52e5b","2011 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2011_FIRS/FeatureServer","TorontoPoliceService","FIRS; Field Information Requests"," 2011 Field Information Requests (FIRS)"
"7a690ba1d7714063983ed78024d5b2af","2012 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2012_FIRS/FeatureServer","TorontoPoliceService","FIRS; Freedom of Information Requests","2012 Field Information Requests (FIRS)"
"95a29d4453894944be7a79f537a432b1","2013 FIRS","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/2013_FIRS/FeatureServer","TorontoPoliceService","FIRS; Field Information Requests","2013 Field Information Requests (FIRS)"
"135607d9250b4e5ea930e7ea39780a77","Administrative (ASR-AD-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Administrative_(ASR_AD_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Administrative","This dataset provides a breakdown of administrative information. This data is compiled and provided by several units of the Toronto Police Service. "
"4702e79fd2404f7d93dd9866f45d7ec2","Arrested and Charged Persons (ASR-ENF-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Arrested_and_Charged_Persons_(ASR_ENF_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Arrests","This dataset provides an aggregate count of persons who have been arrested and charged. The data is aggregated by division, neighbourhood, sex, age, crime category, and crime subtype."
"899f1b3b047c47659a9843e9c5858269","Arrests and Strip Searches (RBDC-ARR-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_ARR_TBL_001/FeatureServer","TorontoPoliceService","RBDC; race; race based data","This dataset includes information related to all arrests and strip searches."
"b4d0398d37eb4aa184065ed625ddb922","Assault Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Assault_Open_Data/FeatureServer","TorontoPoliceService","Assault; Crime; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Assault occurrences by reported date."
"95ab41aee16847dba8453bf1688249d6","Auto Theft Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Auto_Theft_Open_Data/FeatureServer","TorontoPoliceService","Auto Theft; Motor; Vehicle; Auto; MV; Thefts; Crime; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Auto Theft occurrences by reported date."
"9a21cd6f550748c3a25ac89a108ca5c5","Automobile KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/AUTOMOBILE_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Automobile; Traffic; Collision; Traffic Collision","Automobile-related KSI collisions (2006 - 2023)."
"a89d10d5e28444ceb0c8d1d4c0ee39cc","Bicycle Thefts Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Bicycle_Thefts_Open_Data/FeatureServer","TorontoPoliceService","Bike; Bicycle; Thefts; Crime; Toronto; TPS; Toronto Police","Bicycle Theft occurrences by reported date."
"040ead448df2412da252cfbb532e77ac","Break and Enter Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Break_and_Enter_Open_Data/FeatureServer","TorontoPoliceService","Break and Enter; Crime; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Break and Enter occurrences by reported date."
"daca9df799ea4a54a29955ce7fb972d4","Budget_2020","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2020/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"b511c476865b4f0a993cb7bb1c6be7cf","Budget_2021","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2021/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"25c20a7f15e44579acb947510405ab24","Budget_2022","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2022/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"6ac1f56513ab481091ce16f435c390b7","Budget_2023","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2023/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"584b12967d214bb9a673505d97295eea","Budget_2024","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2024/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"cae4c92e80f84e949de156b3ac0d4fef","Budget_2025","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2025/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"d80f9e0b3cc74f649e5e4593cdda207e","Budget_2026","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Budget_2026/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"3dca9164b32e4ca7b9c23f41efc9904b","Budget_by_Command","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/BudgetbyCommand/FeatureServer","TorontoPoliceService","Budget; Toronto Police Service; TPS",""
"46c7581a136445c78831acb657a4fb0d","Calls for Service Attended (ASR-CS-TBL-003)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Calls_for_Service_Attended_(ASR_CS_TBL_003)/FeatureServer","TorontoPoliceService","ASR; TPS; Annual Statistical Report; Toronto Police; Calls for Service","This dataset provides a count of calls for service attended aggregated by division and neighbourhood."
"0a239a5563a344a3bbf8452504ed8d68","Community Safety Indicators Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Major_Crime_Indicators_Open_Data/FeatureServer","TorontoPoliceService","Community Safety Indicators; CSI; Crime; Toronto; TPS; Toronto Police","Community Safety Indicators (CSI) occurrences by reported date."
"8f3cbe34f3724f93b3aa321b3e957092","Complaint Dispositions (ASR-PCF-TBL-003)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Complaint_Dispositions_(ASR_PCF_TBL_003)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Open Data; Annual Statistical Report; Complaints","This dataset provides a breakdown of the total investigated complaints by disposition of the complaint submitted."
"b38c2524696943bb86398d314a06a42a","Cyclist KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/CYCLIST_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Cyclist; Traffic; Collision; Traffic Collision","Cyclist-related KSI collisions (2006 - 2023)."
"9cfcd6fe0d374f65afda69c4b9bdc60a","Dispatched Calls by Division (ASR-CS-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Dispatched_Calls_by_Division_(ASR_CS_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Annual Statistical Report; Toronto Police; Dispatched Calls","This dataset provides a count of the dispatched calls by division, including some specific units such as PRIME, Parking and “Other”. This data includes the command level at the time of reporting."
"6288c8314c594bc9a384df2cf17f8474","Facilities","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Police_Facilities/FeatureServer","TorontoPoliceService","Police Facilities; TPS Facilities; Facilities","Police stations and other TPS facilities. "
"317e768682d14fad94de83eaefbf5954","Fatals KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/FATALS_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Fatal; Traffic; Collision; Traffic Collision","Fatal-related KSI collisions (2006 - 2023)."
"9b1b38ed56764b968c25ce6b74e5dc0d","Firearms Top Calibres (ASR-F-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Firearms_Top_Calibres_(ASR_F_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Firearms","The dataset provides a list of the most common types of pistols, revolvers, rifles and shotguns that comprise the crime guns seized by the Toronto Police Service."
"6cb7e76c7d5b4bf5bce0c533ca7fdf40","Gross Expenditures by Division (ASR-PB-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Gross_Expenditures_by_Division_(ASR_PB_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Budget","This dataset provides a breakdown of the Gross Expenditures for each division. This data includes the command level at the time of reporting."
"8e95b932cd2d404b9d9d26c2ecc8ebec","Gross Operating Budget (ASR-PB-TBL-005)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Gross_Operating_Budget_(ASR_PB_TBL_005)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Budget","This dataset provides the Gross Operating Budget incurred by the Toronto Police Service. "
"3dc9a8fae28b42c7aaf8fc62c7fbfdaa","Hate Crimes Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/HATE_CRIME_OPEN_DATA/FeatureServer","TorontoPoliceService","Hate; Crime; Bias; Toronto; TPS; Toronto Police","Hate Crime occurrences by reported date."
"d96bf5b67c1c49879f354dad51cf81f9","Homicides Open Data (ASR-RC-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Homicides_Open_Data_ASR_RC_TBL_002/FeatureServer","TorontoPoliceService","Homicide; Crime; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Homicide occurrences by reported date."
"724113c886ee4df2b917dcc047f82d26","Intimate Partner and Family Violence Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Intimate_Partner_and_Family_Violence_open_data/FeatureServer","TorontoPoliceService","","Intimate Partner and Family Violence occurrences by reported year."
"aaea16d94ae64da8a790d9649788de4c","Investigated Alleged Misconduct (ASR-PCF-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Investigated_Alleged_Misconduct_(ASR_PCF_TBL_002)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Misconduct","This dataset provides a breakdown of the total investigated complaints by type of complaint submitted."
"0a1ee9d9436546dcbdc0ee9301e45e83","Killed and Seriously Injured","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/TOTAL_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; MVC; Traffic; Collision; Traffic Collision","Killed or Seriously Injured (KSI) - related collisions (2006 - 2023)."
"333c4e1c96314741a83425045b6a7642","Mental Health Act Apprehensions Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Mental_Health_Act_Apprehensions_Open_Data/FeatureServer","TorontoPoliceService","Mental Health Act Apprehensions; Persons in Crisis; PIC; Crisis; Apprehensions; MHA; Toronto; TPS; Toronto Police","Mental Health Act (MHA) apprehensions."
"542374a83ea64b3ba222c41309445b8e","Miscellaneous Calls for Service (ASR-CS-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Miscellaneous_Calls_for_Service_(ASR_CS_TBL_002)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Calls for Service","This dataset includes the following categories of data: Languages, Calls Received, and Alarm Calls"
"bc229f576f174e24946bd1649c98aa43","Miscellaneous Data (ASR-MISC-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Miscellaneous_Data_(ASR_MISC_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Hate Crime; Budget; IPV","This dataset contains information pertaining to intimate partner violence, hate crimes and budget."
"7f9e4439a6e749dea32dab9e1704b58a","Miscellaneous Firearms (ASR-F-TBL-003)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Miscellaneous_Firearms_(ASR_F_TBL_003)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Firearms",""
"d691a9391c2a4c6d85bb761530d33310","Motorcylist KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/MOTORCYCLIST_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Motorcyclist; Traffic; Collision; Traffic Collision","Motorcyclist-related KSI collisions (2006 - 2023)."
"ea0cfecdb1de416884e6b0bf08a9e195","Neighbourhood Crime Rates Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Neighbourhood_Crime_Rates_Open_Data/FeatureServer","TorontoPoliceService","Neighbourhood; Crime; Rate; Crime Rates; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Neighbourhood crime rates per 100,000."
"e4e28a899191479d8e53754414894870","Passenger KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/PASSENGER_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Passenger; Traffic; Collision; Traffic Collision","Passenger-related KSI collisions (2006 - 2023)."
