OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
4299,GO-20141897121,4/15/2014 4:00:00 AM,4/15/2014 4:00:00 AM,2014,April,15,105,Tuesday   ,16,2014.0,April,15.0,105.0,Tuesday   ,16,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.2293513351345,43.7569141949464,-8819771.04649357,5427900.83513975
244721,GO-20252278368,10/30/2025 4:00:00 AM,8/15/2025 4:00:00 AM,2025,October,30,303,Thursday  ,9,2025.0,August,15.0,227.0,Friday    ,23,D42,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),-79.2894628955425,43.7857641505343,-8826462.63485488,5432348.32744877
45208,GO-20161261321,7/18/2016 4:00:00 AM,7/4/2016 4:00:00 AM,2016,July,18,200,Monday    ,16,2016.0,July,4.0,186.0,Monday    ,21,NSA,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,NSA,NSA,NSA,NSA,0.0,0.0,6.327780442533911e-09,5.6649236412909e-09
167054,GO-20221824319,9/19/2022 4:00:00 AM,9/17/2022 4:00:00 AM,2022,September,19,262,Monday    ,11,2022.0,September,17.0,260.0,Saturday  ,15,D22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),-79.5098065890609,43.6798938082011,-8850991.18255914,5416037.90999482
179389,GO-2023823467,4/14/2023 4:00:00 AM,4/14/2023 4:00:00 AM,2023,April,14,104,Friday    ,12,2023.0,April,14.0,104.0,Friday    ,12,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3754693487286,43.6524651915688,-8836036.82940777,5411816.94527817
80431,GO-2018907293,5/20/2018 4:00:00 AM,5/20/2018 4:00:00 AM,2018,May,20,140,Sunday    ,4,2018.0,May,20.0,140.0,Sunday    ,2,D31,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,022,Humbermede (22),022,Humbermede (22),-79.5483321909997,43.7487900817423,-8855279.83295629,5426648.81362238
29223,GO-20151562771,9/10/2015 4:00:00 AM,9/10/2015 4:00:00 AM,2015,September,10,253,Thursday  ,10,2015.0,September,10.0,253.0,Thursday  ,10,D52,"Open Areas (Lakes, Parks, Rivers)",Outside,1420,110,Assault Bodily Harm,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3768282460017,43.6411486800789,-8836188.10112985,5410076.01934599
103182,GO-20191217588,6/30/2019 4:00:00 AM,6/1/2018 4:00:00 AM,2019,June,30,181,Sunday    ,19,2018.0,June,1.0,152.0,Friday    ,19,D13,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.438992084027,43.702666760938,-8843108.14792177,5419543.88532298
159715,GO-20221002175,5/28/2022 4:00:00 AM,5/16/2022 4:00:00 AM,2022,May,28,148,Saturday  ,2,2022.0,May,16.0,136.0,Monday    ,0,D22,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.5017193277311,43.6178692853375,-8850090.91278271,5406495.76092369
154497,GO-2022376704,2/27/2022 5:00:00 AM,1/18/2021 5:00:00 AM,2022,February,27,58,Sunday    ,9,2021.0,January,18.0,18.0,Monday    ,4,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,142,Woburn North (142),137,Woburn (137),-79.2329648460509,43.7795367012386,-8820173.30069806,5431388.12581399
151154,GO-20212426439,12/17/2021 5:00:00 AM,12/17/2021 5:00:00 AM,2021,December,17,351,Friday    ,1,2021.0,December,17.0,351.0,Friday    ,1,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3809414494974,43.6657156048193,-8836645.98079334,5413855.79844768
