"year","markettype","marketname_location_host","marketoperator","streetnumber","streetdirection","streetname","streettype","mergedaddress","marketdirection","website","day","open","close","months","numberofvendors"
"2016","Community Food Market","Collingwood Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Thursday","3pm","6pm","May 5-Oct. 27",NA
"2016","Farmers Market","Il Centro - Italian Market","Italian Cultural Centre",NA,NA,NA,NA,"3075 Slocan St",NA,NA,"June 17, July 15, Aug 19, Nov 25","3pm","7pm","June - Nov",NA
"2016","Farmers Market","Hastings Park","Vancouver Farmers Markets",NA,NA,"Renfrew","St","Renfrew St","Hastings Skatepark","http://eatlocal.org","Sunday","10am","2pm","Nov - Apr","33"
"2016","Community Food Market","Alternates between 4 locations","Cedar Cottage",NA,NA,NA,NA,NA,NA,"http://cedarcottagefoodnetwork.wordpress.com/","Saturday","10am (or 10:30am)","12pm (or 12:30pm)",NA,NA
"2015","Farmers Market","River District Farmers Market","River District","8683",NA,"Kerr","St","8683 Kerr St","Kerr Street, near the pier","http://www.riverdistrict.ca","Saturday","10am","3pm","May - Oct","77"
"2015","Community Food Market","Good Foods Market","Fresh Roots","3075",NA,"Slocan","St","3075 Slocan St, Vancouver, BC","just south of Grandview hwy","http://freshroots.ca/food/good-food-markets/","Wednesday","5pm","630pm","May - Nov",NA
"2014","Farmers Market","Oak Street Farmers Market","Unitarian Church","494","W","49th","Av","494 W 49th Av, Vancouver BC","Parking lot of Unitarian Church","http://oakstreetmarket.ca","Wednesday","3pm","7pm","June-January","15-25"
"2014","Farmers Market","West End Farmers Market","Vancouver Farmers Markets","1164",NA,"Comox","St","1164  Comox St, Vancouver BC","Adjacent to 1100 Block of Comox Street","http://eatlocal.org","Saturday","9am","2pm","June-October","35"
"2014","Community Food Market","Westside Community Food Market","Kitsilano Neighbourhood House & Society Promoting Environmental Conservation","2403","W","8th","Av","2403 W 8th Av, Vancouver BC",NA,"http://www.spec.bc.ca/westside-community-food-market","Thursday","3pm","7pm","July-September","5 to 10"
"2014","Community Food Market","Cedar Cottage Neighbourhood House","Cedar Cottage Food Network","4065",NA,"Victoria","Dr","4065 Victoria Dr, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","2nd and 4th Saturday","10am","12pm","Ongoing","2-3 Tables"
