"description","location","notes","spaces","url","geo_local_area","lon","lat"
"Metered Accessible Parking Space","North Side 1000 Alberni St",NA,1,NA,"West End",-123.121927,49.284201
"Accessible Parking Space","East Side  5800 Balsam St",NA,1,NA,"Kerrisdale",-123.161351,49.233618
"Metered Accessible Parking Space","South Side 1700 Grant St",NA,1,NA,"Grandview-Woodland",-123.069193,49.271247
"Metered Accessible Parking Space","North Side 1600 Kitchener St",NA,1,NA,"Grandview-Woodland",-123.069865,49.27218
"Metered Accessible Parking Space","South Side 1700 Parker St",NA,1,NA,"Grandview-Woodland",-123.069265,49.27573
"Accessible Parking Space","West Side  5300 Yew St",NA,1,NA,"Arbutus Ridge",-123.158484,49.237811
"Metered Accessible Parking Space","East Side  4200 Main St",NA,1,NA,"Riley Park",-123.101067,49.247102
"Metered Accessible Parking Space","North Side 200 E Georgia St",NA,1,NA,"Strathcona",-123.097886,49.278593
"Metered Accessible Parking Space","South Side 1900 W 4th Av",NA,1,NA,"Kitsilano",-123.150095,49.268024
"Metered Accessible Parking Space","South Side 1800 W 4th Av",NA,1,NA,"Kitsilano",-123.14754,49.267974
"Metered Accessible Parking Space","West Side  700 Broughton St",NA,1,NA,"West End",-123.129796,49.288055
"2HR Accessible Parking Space","North Side 1800 Robson St",NA,1,NA,"West End",-123.135596,49.291635
"Metered Accessible Parking Space","South Side 1700 Pendrell St",NA,1,NA,"West End",-123.140605,49.287822
"Accessible Parking Space","West Side  400 Slocan St",NA,1,NA,"Hastings-Sunrise",-123.049416,49.280955
"Metered Accessible Parking Space","West Side  800 Cardero St",NA,1,NA,"West End",-123.132531,49.289359
"Metered Accessible Parking Space","West Side  1200 Seymour St",NA,1,NA,"Downtown",-123.126665,49.275622
"Metered Accessible Parking Space","East Side  300 Garden Drive",NA,1,NA,"Grandview-Woodland",-123.057757,49.281354
"Metered Accessible Parking Space","West Side  2600 Granville St",NA,1,NA,"Fairview",-123.1387217,49.2624609
"Metered Accessible Parking Space","South Side 1500 W 7th Av",NA,1,NA,"Fairview",-123.138925,49.265324
"Metered Accessible Parking Space","West Side  1000 Cambie St",NA,1,NA,"Downtown",-123.119352,49.274782
"Accessible Parking Space","South Side 1800 W Broadway",NA,1,NA,"Kitsilano",-123.146095,49.263619
"2HR Accessible Parking Space","North Side 2500 Kingsway",NA,1,NA,"Renfrew-Collingwood",-123.052684,49.239503
"Metered Accessible Parking Space","South Side 1600 Davie St",NA,1,NA,"West End",-123.140115,49.286125
"2HR Accessible Parking Space","South Side 3600 W 29th Av",NA,1,NA,"Dunbar-Southlands",-123.185517,49.246111
"Metered Accessible Parking Space","North Side 1400 W Hastings St",NA,1,NA,"Downtown",-123.128025,49.290416
"Metered Accessible Parking Space","West Side  5600 Yew St",NA,1,NA,"Arbutus Ridge",-123.157828,49.234769
"Metered Accessible Parking Space","South Side 2200 W Broadway",NA,1,NA,"Kitsilano",-123.157142,49.263808
"Metered Accessible Parking Space","South Side 100 E 14th Av",NA,1,NA,"Mount Pleasant",-123.101601,49.25836
"2HR Accessible Parking Space","North Side 3100 New Brighton Road",NA,1,NA,"Hastings-Sunrise",-123.039382,49.289483
"Metered Accessible Parking Space","West Side  2200 Commercial Drive",NA,1,NA,"Grandview-Woodland",-123.069818,49.264713
"Metered Accessible Parking Space","North Side 0 Athletes Way",NA,1,NA,"Mount Pleasant",-123.10559,49.271571
"Metered Accessible Parking Space","East Side  1100 Homer St",NA,1,NA,"Downtown",-123.123063,49.2753257
