"dataset_id","title","publisher","records_count","license","theme"
"2019-2022-capital-plan-and-2021-budget-and-funding","2019-2022 Capital Plan and 2021 Budget and funding","City of Vancouver",238,"Open Government Licence - Vancouver","Government and finance"
"2021-new-multi-year-capital-budget-requests-and-2021-capital-expenditure-budget","2021 new Multi-Year Capital Budget requests and 2021 Capital Expenditure Budget","City of Vancouver",496,"Open Government Licence - Vancouver","Government and finance"
"2022-new-multi-year-capital-budget-requests-and-2022-capital-expenditure-budget","2022 new Multi-Year Capital Budget requests and 2022 Capital Expenditure Budget","City of Vancouver",548,"Open Government Licence - Vancouver","Government and finance"
"2023-2026-capital-plan-and-2023-capital-budget-with-proposed-four-year-capital-p","2023-2026 Capital Plan and 2023 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",336,"Open Government Licence - Vancouver","Government and finance"
"2023-2026-capital-plan-and-2024-capital-budget-with-proposed-four-year-capital-0","2023-2026 Capital Plan and 2024 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",349,"Open Government Licence - Vancouver","Government and finance"
"2023-2026-capital-plan-and-2025-capital-budget-with-proposed-four-year-capital-0","2023-2026 Capital Plan and 2025 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",362,"Open Government Licence - Vancouver","Government and finance"
"2023-2026-capital-plan-and-2026-capital-budget-with-proposed-four-year-capital-plan-allocations","2023-2026 Capital Plan and 2026 Capital Budget with proposed four-year Capital Plan allocations",NA,395,"Open Government Licence - Vancouver","Government and finance"
"2023-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2023 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",777,"Open Government Licence - Vancouver","Government and finance"
"2024-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2024 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",592,"Open Government Licence - Vancouver","Government and finance"
"2025-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2025 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",740,"Open Government Licence - Vancouver","Government and finance"
"2026-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2026 Multi-Year Capital Project Budget requests and Capital Expenditure Budget",NA,630,"Open Government Licence - Vancouver","Government and finance"
"3-1-1-contact-centre-metrics","3-1-1 contact centre metrics","City of Vancouver",6161,"Open Government Licence - Vancouver","Government and finance"
"3-1-1-inquiry-volume","3-1-1 inquiry volume","City of Vancouver",63773,"Open Government Licence - Vancouver","Government and finance"
"3-1-1-service-requests","3-1-1 service requests","City of Vancouver",1195996,"Open Government Licence - Vancouver","Government and finance"
"3-1-1-service-requests-2009-2021","3-1-1 service requests 2009-2021","City of Vancouver",2083091,"Open Government Licence - Vancouver","Government and finance"
"abandoned-water-mains","Abandoned water mains","City of Vancouver",12902,"Open Government Licence - Vancouver","Water and sewer"
"animal-control-inventory-lost-and-found","Animal control inventory - lost and found","City of Vancouver",18228,"Open Government Licence - Vancouver","Parks, recreation, and pets"
"animal-control-inventory-register","Animal control inventory - register","City of Vancouver",26480,"Open Government Licence - Vancouver","Parks, recreation, and pets"
"anonymous-ballot-marking","Anonymous ballot marking","City of Vancouver",4,"Open Government Licence - Vancouver","Government and finance"
"awarded-contracts","Awarded contracts","City of Vancouver",6550,"Open Government Licence - Vancouver","Government and finance"
"bike-lane-statistics-for-burrard-bridge-2009-2010","Bike lane statistics for Burrard Bridge 2009-2010","City of Vancouver",579,"Open Government Licence - Vancouver","Streets and transportation"
"bike-lane-statistics-for-hornby-dunsmuir-and-burrard-2009-2012","Bike lane statistics for Hornby, Dunsmuir and Burrard 2009-2012","City of Vancouver",1005,"Open Government Licence - Vancouver","Streets and transportation"
"bike-racks","Bike racks","City of Vancouver",1731,"Open Government Licence - Vancouver","Streets and transportation"
"bikeways","Bikeways","City of Vancouver",3705,"Open Government Licence - Vancouver","Streets and transportation"
"block-numbers","Block numbers","City of Vancouver",5806,"Open Government Licence - Vancouver","Property and development"
"block-outlines","Block outlines","City of Vancouver",4633,"Open Government Licence - Vancouver","Property and development"
"building-footprints-1999","Building footprints 1999","City of Vancouver",3259,"Open Government Licence - Vancouver","Property and development"
"building-footprints-2009","Building footprints 2009","City of Vancouver",124181,"Open Government Licence - Vancouver","Property and development"
"building-footprints-2015","Building Footprints 2015","City of Vancouver",154124,"Open Government Licence - Vancouver","Property and development"
"business-improvement-areas-bia","Business improvement areas (BIA)","City of Vancouver",24,"Open Government Licence - Vancouver","Business and economy"
"business-licences","Business licences","City of Vancouver",202176,"Open Government Licence - Vancouver","Business and economy"
"business-licences-1997-to-2012","Business licences 1997 to 2012","City of Vancouver",958899,"Open Government Licence - Vancouver","Business and economy"
"business-licences-2013-to-2024","Business licences 2013 to 2024","City of Vancouver",782330,"Open Government Licence - Vancouver","Business and economy"
"census-local-area-profiles-2001","Census local area profiles 2001","City of Vancouver",0,"Open Government Licence - Vancouver","Demographics"
"census-local-area-profiles-2006","Census local area profiles 2006","City of Vancouver",0,"Open Government Licence - Vancouver","Demographics"
"census-local-area-profiles-2011","Census local area profiles 2011","City of Vancouver",0,"Open Government Licence - Vancouver","Demographics"
"census-local-area-profiles-2016","Census local area profiles 2016","City of Vancouver",0,"Open Government Licence - Vancouver","Demographics"
"city-boundary","City boundary","City of Vancouver",1,"Open Government Licence - Vancouver","Property and development"
"city-owned-properties","City-owned properties","City of Vancouver",4455,"Open Government Licence - Vancouver","Property and development"
"city-project-package-street","City project package - Street","City of Vancouver",359,"Open Government Licence - Vancouver","Streets and transportation;Property and development"
"city-projects-package-site","City projects package - Site","City of Vancouver",936,"Open Government Licence - Vancouver","Streets and transportation;Property and development"
"community-centres","Community centres","City of Vancouver",27,"Open Government Licence - Vancouver","Parks, recreation, and pets"
"community-food-markets-and-farmers-markets","Community food markets and farmers markets","City of Vancouver",91,"Open Government Licence - Vancouver","Food and housing"
"council-budget-and-expenses","Council budget and expenses","City of Vancouver",26,"Open Government Licence - Vancouver","Government and finance"
"council-meeting-minutes-archival","Council meeting minutes - archival","City of Vancouver",0,"Open Government Licence - Vancouver","Government and finance"
"council-voting-records","Council voting records","City of Vancouver",80722,"Open Government Licence - Vancouver","Government and finance"
"cultural-spaces","Cultural Spaces","City of Vancouver",1942,"Open Government Licence - Vancouver","Culture and education"
"dashboard-cards","Dashboard Cards","City of Vancouver",23,NA,""
"dashboard-pages-and-categories","Dashboard Pages and Categories","City of Vancouver",12,NA,""
"dedicated-fire-protection-systems-dfps-water-mains","Dedicated fire protection systems (DFPS) water mains","City of Vancouver",245,"Open Government Licence - Vancouver","Water and sewer"
"designated-floodplain","Designated Floodplain","City of Vancouver",8,"Open Government Licence - Vancouver","Sustainability;Geography and imagery"
"development-cost-levy-dcl-areas","Development Cost Levy (DCL) areas","City of Vancouver",6,"Open Government Licence - Vancouver","Property and development"
"digital-elevation-model","Digital elevation model","City of Vancouver",0,"Open Government Licence - Vancouver","Geography and imagery"
"directional-traffic-count-locations","Directional traffic count locations","City of Vancouver",6680,"Open Government Licence - Vancouver","Streets and transportation"
"disability-parking","Disability parking","City of Vancouver",159,"Open Government Licence - Vancouver","Streets and transportation"
"district-lot-numbers","District lot numbers","City of Vancouver",3786,"Open Government Licence - Vancouver","Property and development"
"district-lot-outlines","District lot outlines","City of Vancouver",689,"Open Government Licence - Vancouver","Property and development"
"dog-off-leash-parks","Dog off leash parks","City of Vancouver",51,"Open Government Licence - Vancouver","Parks, recreation, and pets"
"downtown-district-sub-areas","Downtown district sub areas","City of Vancouver",29,"Open Government Licence - Vancouver","Property and development"
"drinking-fountains","Drinking fountains","City of Vancouver",278,"Open Government Licence - Vancouver","Water and sewer"
"elected-officials-contact-information","Elected officials contact information","City of Vancouver",18,"Open Government Licence - Vancouver","Government and finance"
"electric-vehicle-charging-stations","Electric vehicle charging stations","City of Vancouver",55,"Open Government Licence - Vancouver","Streets and transportation"
"elevation-contour-lines-1-metre-contours","Elevation contour lines - 1-metre contours","City of Vancouver",5929,"Open Government Licence - Vancouver","Geography and imagery"
"elevation-contour-lines-10-metre-contours","Elevation contour lines - 10-metre contours","City of Vancouver",811,"Open Government Licence - Vancouver","Geography and imagery"
"elevation-contour-lines-2-metre-contours","Elevation contour lines - 2-metre contours","City of Vancouver",2093,"Open Government Licence - Vancouver","Geography and imagery"
"elevation-points","Elevation points","City of Vancouver",0,"Open Government Licence - Vancouver","Geography and imagery"
"employee-remuneration-and-expenses-earning-over-75000","Employee remuneration and expenses (earning over $75,000)","City of Vancouver",49742,"Open Government Licence - Vancouver","Government and finance"
"facet-grid-boundaries","Facet grid boundaries","City of Vancouver",621,"Open Government Licence - Vancouver","Geography and imagery"
"film-office-work-areas","Film office work areas","City of Vancouver",22,"Open Government Licence - Vancouver","Business and economy"
"fire-halls","Fire halls","City of Vancouver",20,"Open Government Licence - Vancouver","Safety"
"food-vendors","Food Vendors","City of Vancouver",91,"Open Government Licence - Vancouver","Business and economy"
"free-and-low-cost-food-programs","Free and low cost food programs","City of Vancouver",77,"Open Government Licence - Vancouver","Food and housing"
"garbage-collection-schedule-zones-for-multi-unit-residential-buildings","Garbage collection schedule zones for multi-unit residential buildings","City of Vancouver",0,"Open Government Licence - Vancouver","Property and development"
"garbage-collection-schedule-zones-for-single-family-homes-and-duplexes","Garbage collection schedule zones for single family homes and duplexes","City of Vancouver",0,"Open Government Licence - Vancouver","Property and development"
"goads-fire-insurance-map-1912-georectified","Goad's Fire Insurance Map 1912 (georectified)","City of Vancouver",100,"Open Government Licence - Vancouver","Geography and imagery"
"graffiti","Graffiti","City of Vancouver",7683,"Open Government Licence - Vancouver","Safety"
"greenways","Greenways","City of Vancouver",23,"Open Government Licence - Vancouver","Streets and transportation"
"gvrd-sewer-trunk-mains","GVRD sewer trunk mains","City of Vancouver",1657,"Open Government Licence - Vancouver","Water and sewer"
