"registryid","title_of_work","artistprojectstatement","type","status","sitename","siteaddress","primarymaterial","url","photourl","ownership","neighbourhood","locationonsite","geo_local_area","descriptionofwork","photocredits","yearofinstallation","lon","lat"
1,"Captain George Vancouver","A new city hall and a statue of Captain George Vancouver were commissioned to commemorate Vancouver's Golden Jubilee in 1936. The architect of the new City Hall at Strathcona Park on West 12th Avenue, Fred Townley, proposed the sculpture, commissioned by the Vancouver Canadian Club, be placed on the plaza on the north side of the building. Noted BC sculptor, Charles Marega, was commissioned (for about $5500) to create a life-size sculpture of the man who mapped the harbour in 1792 and after whom the city is named. 
Marega began by setting up 500 pounds of clay on a turntable in his Hornby Street Studio. From the clay model, he made a plaster cast which was then used to cast the finished work in ""Roman bronze"". It was cast at Ornamental Bronze, a foundry in Vancouver. The work was installed on August 20, 1936.The bronze figure standing atop the granite plinth is said to bear little physical resemblance to Captain George. The sculpture was copied from a maquette, which had been fashioned after a painting that was in turn, a copy from an original painting.
An interesting conversation is recorded between Major Matthews, the City Archivist, and Townley. 
Matthews: ""Mr. Townley, the ""Sun"" newspaper wants to know how much the Vancouver statue cost and who paid for it.""
Townley: ""What do they want to bring that up for? Leave sleeping dogs lie. I've been afraid that matter would come up, but it has not...why bring it up now? It was all in the contract; everything was above board; there's nothing to hide; but if it gets out what it cost, then some fool will start writing to the newspapers, or something, and complain of the waste of money; say it ought to have been given towards the support of some fool scheme of his own, the ""home for incurable dogs"", or some other idiotic thing"".
Matthews: ""Alright; drop it, I don't want to know; the ""Sun"" is publishing a story on the statue, and I suppose they want to put the cost in.""
Townley: ""Well, Charles Marega made it, and baby bonds paid for it...I don't know exactly what it cost; it would be hard to find out; part of it was in the stone work cost. Marega for $5000, and then there was the base; so much per square foot for the base, perhaps $500 for that...""
The statue was cleaned in 2001, 65 years after its installation and in time for the city's 115th birthday. The bill for cost of cleaning was $5800, almost the same amount as the original statue cost. This sculpture is on the City of Vancouver's Heritage Inventory list and, as a proud homage to a great explorer, has stood the test of time.","Figurative","In place","Vancouver City Hall","453 West 12th Avenue","bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=1",NA,"City of Vancouver","Mount Pleasant","North entrance, exterior, in front of stairs","Mount Pleasant","A full figure bronze statue of Captain George Vancouver stands on the north side of City Hall, pointing towards Vancouver harbour and holding a partially open scroll in his left hand. The figure commemorates the events of 1792, when Captain George, a representative of King George III of England, sailed into Burrard Inlet and charted the area.","Barbara Cole","1936",-123.113918,49.261185
2,"The Swimmer","Commissioned by Duncan McNab and Associates, architects, and the engineering firm working on the Aquatic Centre.","Sculpture","In place","Vancouver Aquatic Centre","1050 Beach Avenue","Silicon bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=2",NA,"City of Vancouver","West End","North side of front entrance","West End","An abstract form representing the motion of swimming, this bronze sculpture is mounted on two poles in front of the Aquatic Centre.","Barbara Cole","1977",-123.13504,49.27701
4,"Two Steel and Copper Fountains",NA,"Fountain or water feature","No longer in place","Beach Towers Apartments","1600 Beach Avenue","Steel & copper, mosaic tile","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=4",NA,"private","West End","On west and east sides of the east tower","West End","Two copper ship-like abstract forms grace a pool of green water at this apartment dwelling.",NA,"1965",-123.142216,49.28408
19,"Lovers II",NA,"Figurative","In place","Vancouver City Hall","453 West 12th Avenue at Cambie",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=19",NA,"City of Vancouver","Mount Pleasant","Northwest lawn","Mount Pleasant",NA,NA,"1977",-123.114522,49.261439
23,"Untitled (Low Relief)",NA,"Relief","In place","White House Apartments","2033 Comox Street","Plaster","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=23",NA,"Privately owned","West End","On building exterior, one on either side of entrance and one at the North end.","West End",NA,NA,"1960",-123.14309,49.29101
24,"Angel of Victory","The artist won the CPR commission from a nation-wide competition.","Memorial or monument","In place","Waterfront Station","601 West Cordova Street","bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=24",NA,"Cadillac Fairview","Downtown","East of front entrance","Downtown","A heritage monument, this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in World War I. This is one of three identical statues commissioned by the Canadian Pacific Railway in 1921 to honour their workers who answered the call of ""king and country"" and made the ultimate sacrifice.  The others are in Winnipeg and Montreal.  The angel  originally held a full wreath in her upraised hand. After WW II, the dates of that war were also added to the plaque.","Maxime Cyr-Morton","1921",-123.111406,49.28525
26,"Centennial Pole","""The original pole was commissioned by the province in 1958 and presented to Queen Elizabeth. The pole is 30.5m (100ft) high representing one foot for each year of the Province's existence at the time. The original log was a 600 year old red cedar from the Queen Charlotte Islands. At the First Cut Ceremony, Lt. Gov. Frank M. Ross made the first cut into the log. Mungo Martin worked with his nephew Henry Hunt and his son David Martin to complete the pole in seven months. This pole stands in Windsor Great Park in England. The Vancouver pole is an exact duplicate."" - ibid, Stewart","Totem pole","No longer in place","Hadden Park","Odgen Street & Cypress Street","wood","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=26",NA,"City of Vancouver","Kitsilano","North end of Cypress Street","Kitsilano","""Each of the ten figures is the crest of one of the ten Kwakwaka'wakw clans representing the mythical ancestry of the clan. From the top down:: chief wearing high crowned hat and robe; Beaver; Old Man; Thunderbird and Sea Otter holding seal; Raven head down; whale with face for blowhole; woman crouching on head of Sisiutl; Halibut with human in its body; Cedar Man with head and neck rings."" (From Totem Poles, Hilary Stewart, 1990, Douglas &amp; McIntyre)",NA,"1958",-123.1475,49.277533
29,"Hastings Mill Commemorative","The sculpture was to mark the spot of the old Hastings Mill near the National Harbours Board Building. The National Harbours Board, the Hamber Foundation and the Koerner Foundation all contributed to the project.","Memorial or monument","In place","Flying Angel Seamen's Club","Dunlevy Street (north end)","Three forms of BC granite","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=29",NA,"private","Strathcona","North off parking lot","Strathcona","A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.",NA,"1966",-123.094871,49.286208
30,"Cross of Sacrifice",NA,"Memorial or monument","In place","Mountain View Cemetary","39th Avenue and Prince Edward Street","granite","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=30",NA,"City of Vancouver","RileyPark","Jones Section, Block 45 (enter the cemetery at 39th and Fraser and drive straight to the west end of the cemetery)","Riley Park","The Cross of Sacrifice is a piece specific to the Commonwealth War Graves Commission (www.cwgc.org).",NA,"1922",-123.096898,49.234639
39,"Florentine Door & Wall #3","Vancouver Centennial Committee Purchase Award 1967","Sculpture","In place","Queen Elizabeth Playhouse","600 Hamilton St","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=39",NA,"City of Vancouver","Downtown","South corner of Dunsmuir and Hamilton Streets","Downtown","The work is a cast bronze block form with arched openings and extraneous forms attached.","Maxime Cyr-Morton","1967",-123.11241,49.28085
