"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2026,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",220,3.44452631,3.539332449
2026,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",15616,244.49874023,251.228252414
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2206,34.539204723,35.489851743
2026,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",20181,315.972661155,324.66940074
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1424,22.295479386,22.909133673
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1589,24.878874118,25.56363301
2026,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",99,1.550036839,1.592699602
2026,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",663,10.380549742,10.666260973
2026,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",600,9.394162663,9.652724862
2026,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",316,4.947592336,5.083768427
2026,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2888,45.217236282,46.461782337
2026,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",211,3.30361387,3.394541577
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",64,1.002044017,1.029623985
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",90,1.409124399,1.447908729
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1857,29.074933441,29.875183449
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",598,9.362848787,9.620549113
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",4483,70.190052027,72.121942595
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",1109,17.363543988,17.84145312
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",16,0.250511004,0.257405996
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",582,9.112337783,9.363143116
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1397,21.872742066,22.474761054
2026,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",1015,15.891791837,16.329192892
2026,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",47,0.735876075,0.756130114
2026,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",610,9.55073204,9.81360361
2026,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",11815,184.986719763,190.078240412
2026,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",410,6.419344486,6.596028656
2026,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",63,0.98638708,1.013536111
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3343,52.341142968,53.781765357
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",8499,133.068314115,136.730847673
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",8686,135.996161478,139.739280255
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",3668,57.429647744,59.010324658
2026,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",20998,328.764379313,337.813194428
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",776,12.14978371,12.484190822
2026,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",4083,63.927276919,65.686792687
2026,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",4,0.062627751,0.064351499
2026,"March","B Property and deception offences","B40 Theft","B49 Other theft",6042,94.599218012,97.202939362
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1741,27.258728659,28.008989975
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",4715,73.82246159,75.854329542
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",334,5.229417215,5.373350173
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",30,0.469708133,0.482636243
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",74,1.158613395,1.190502733
2026,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",23,0.360109569,0.37002112
2026,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2155,33.740700896,34.66937013
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",457,7.155220561,7.35215877
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",1455,22.780844457,23.407857791
2026,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",31,0.485365071,0.498724118
2026,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",9013,141.115980129,145.000015305
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1789,28.010261672,28.781207964
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",6204,97.135641931,99.809175075
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",153,2.395511479,2.46144484
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",581,9.096680845,9.347055242
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",9,0.14091244,0.144790873
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",1059,16.580697099,17.037059382
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",223,3.491497123,3.587596074
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",160,2.505110043,2.574059963
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",253,3.961205256,4.070232317
2026,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",35,0.547992822,0.563075617
2026,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",61,0.955073204,0.981360361
2026,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",2,0.031313876,0.03217575
2026,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",5,0.078284689,0.080439374
2026,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",1219,19.085807143,19.611119345
2026,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",18,0.28182488,0.289581746
2026,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",73,1.142956457,1.174414858
2026,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1827,28.605225307,29.392547205
2026,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",289,4.524855016,4.649395809
2026,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",218,3.413212434,3.5071567
2026,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",553,8.658286587,8.896594748
2026,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",21172,331.488686486,340.612484638
2026,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",3130,49.006215223,50.355048031
2026,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",8421,131.847072969,135.475993441
2026,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",1172,18.349931068,18.854989231
2026,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",224,3.507154061,3.603683949
2026,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",91,1.424781337,1.463996604
2026,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",105,1.643978466,1.689226851
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",208,3.317839448,3.409638195
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",13236,211.129437211,216.971015125
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1963,31.312109795,32.178460463
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",19292,307.729608846,316.243942565
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1288,20.545082739,21.113528821
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1597,25.473988458,26.17880864
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",79,1.260140944,1.295006814
