"Year","Year ending","Offence Division","Offence Subdivision","Offence Subgroup","Incidents Recorded","Rate per 100,000 population"
2026,"March","A Crimes against the person","A10 Homicide and related offences","A11 Murder",53,0.736476478
2026,"March","A Crimes against the person","A10 Homicide and related offences","A12 Attempted murder",29,0.402977695
2026,"March","A Crimes against the person","A10 Homicide and related offences","A14 Manslaughter & A13  Accessory/ conspiracy to murder",9,0.125062043
2026,"March","A Crimes against the person","A10 Homicide and related offences","A15 Driving causing death",111,1.542431868
2026,"March","A Crimes against the person","A20 Assault and related offences","A211 FV Serious assault",10362,143.988099243
2026,"March","A Crimes against the person","A20 Assault and related offences","A212 Non-FV Serious assault",8385,116.516137054
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2297,31.918612619
2026,"March","A Crimes against the person","A20 Assault and related offences","A231 FV Common assault",13139,182.576687508
2026,"March","A Crimes against the person","A20 Assault and related offences","A232 Non-FV Common assault",13202,183.452121811
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3990,55.444172552
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",3765,52.317621468
2026,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",164,2.278908345
2026,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",1136,15.785609027
2026,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",1500,20.843673892
2026,"March","A Crimes against the person","A40 Abduction and related offences","A41 Abduction",152,2.112158954
2026,"March","A Crimes against the person","A40 Abduction and related offences","A42 False imprisonment",278,3.863027561
2026,"March","A Crimes against the person","A40 Abduction and related offences","A43 Slavery and sexual servitude offences",1,0.013895783
2026,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2395,33.280399314
2026,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",289,4.01588117
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",235,3.26550891
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",163,2.265012563
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A711 FV Stalking",1505,20.913152805
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A712 Non-FV Stalking",943,13.103722987
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A721 FV Harassment and private nuisance",767,10.65806525
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A722 Non-FV Harassment and private nuisance",935,12.992556726
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A731 FV Threatening behaviour",2754,38.268985265
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A732 Non-FV Threatening behaviour",2435,33.836230617
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",1770,24.595535192
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",12,0.166749391
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",1150,15.980149984
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1787,24.831763496
2026,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",2632,36.573699788
2026,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",57,0.792059608
2026,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",738,10.255087555
2026,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",36071,501.234773962
2026,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",3605,50.094296253
2026,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",310,4.307692604
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B311 Residential aggravated burglary",5559,77.246655442
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B312 Non-residential aggravated burglary",324,4.502233561
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B319 Unknown aggravated burglary",5,0.069478913
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B321 Residential non-aggravated burglary",18718,260.101258602
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B322 Non-residential non-aggravated burglary",14103,195.972221929
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B329 Unknown non-aggravated burglary",94,1.306203564
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",24424,339.390594085
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",74134,1030.149946852
2026,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",32453,450.959832536
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6920,96.158815553
2026,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",7432,103.273456241
2026,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",16,0.222332522
2026,"March","B Property and deception offences","B40 Theft","B49 Other theft",47501,660.063569016
2026,"March","B Property and deception offences","B50 Deception","B51 Forgery and counterfeiting",3227,44.841690432
2026,"March","B Property and deception offences","B50 Deception","B52 Possess equipment to make false instrument",4,0.05558313
2026,"March","B Property and deception offences","B50 Deception","B53 Obtain benefit by deception",17471,242.773217707
2026,"March","B Property and deception offences","B50 Deception","B54 State false information",528,7.33697321
2026,"March","B Property and deception offences","B50 Deception","B55 Deceptive business practices",9,0.125062043
2026,"March","B Property and deception offences","B50 Deception","B56 Professional malpractice and misrepresentation",72,1.000496347
2026,"March","B Property and deception offences","B50 Deception","B59 Other deception offences",151,2.098263172
2026,"March","B Property and deception offences","B60 Bribery","B61 Bribery of officials",3,0.041687348
2026,"March","C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",34,0.472456608
2026,"March","C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",2153,29.917619926
