"Year","Year ending","Category","Outcome","Family Incident Count","Rate per 100,000 population"
2026,"March","Children Present Flag","Child recorded as present",34723,482.503259025
2026,"March","Children Present Flag","No child was present/not recorded",67951,944.232323071
2026,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Charges laid",23939,332.651139527
2026,"March","Criminal Incident Flag and Charges Laid","Criminal incident - No charges laid",23145,321.617888147
2026,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Unsolved",7965,110.679908364
2026,"March","Criminal Incident Flag and Charges Laid","No criminal incident",47625,661.786646058
2026,"March","Family Violence Safety Notice (FVSN)","Issued",11046,153.492814538
2026,"March","Family Violence Safety Notice (FVSN)","Not issued",91628,1273.242767558
2026,"March","IVO and/or FVSN","IVO applied for and/or FVSN issued",25508,354.453622418
2026,"March","IVO and/or FVSN","Neither IVO applied for nor FVSN issued",77166,1072.281959678
2026,"March","Intervention Order Taken (IVO)","Applied for",14559,202.308698792
2026,"March","Intervention Order Taken (IVO)","Not applied for",88115,1224.426883304
2025,"March","Children Present Flag","Child recorded as present",37424,529.046451166
2025,"March","Children Present Flag","No child was present/not recorded",68812,972.764653635
2025,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Charges laid",32676,461.926085889
2025,"March","Criminal Incident Flag and Charges Laid","Criminal incident - No charges laid",21216,299.92116043
2025,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Unsolved",2259,31.934478762
2025,"March","Criminal Incident Flag and Charges Laid","No criminal incident",50085,708.02937972
2025,"March","Family Violence Safety Notice (FVSN)","Issued",11867,167.758503527
2025,"March","Family Violence Safety Notice (FVSN)","Not issued",94369,1334.052601275
2025,"March","IVO and/or FVSN","IVO applied for and/or FVSN issued",26653,376.781612413
2025,"March","IVO and/or FVSN","Neither IVO applied for nor FVSN issued",79583,1125.029492389
2025,"March","Intervention Order Taken (IVO)","Applied for",14897,210.592266541
2025,"March","Intervention Order Taken (IVO)","Not applied for",91339,1291.218838261
2024,"March","Children Present Flag","Child recorded as present",34796,500.592651865
2024,"March","Children Present Flag","No child was present/not recorded",61180,880.166066246
2024,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Charges laid",29688,427.106410178
2024,"March","Criminal Incident Flag and Charges Laid","Criminal incident - No charges laid",18432,265.171966869
2024,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Unsolved",1812,26.068337889
2024,"March","Criminal Incident Flag and Charges Laid","No criminal incident",46044,662.412003175
2024,"March","Family Violence Safety Notice (FVSN)","Issued",11684,168.091865283
2024,"March","Family Violence Safety Notice (FVSN)","Not issued",84292,1212.666852828
2024,"March","IVO and/or FVSN","IVO applied for and/or FVSN issued",25855,371.962955914
2024,"March","IVO and/or FVSN","Neither IVO applied for nor FVSN issued",70121,1008.795762197
2024,"March","Intervention Order Taken (IVO)","Applied for",14286,205.525538123
2024,"March","Intervention Order Taken (IVO)","Not applied for",81690,1175.233179988
2023,"March","Children Present Flag","Child recorded as present",33438,491.940100356
2023,"March","Children Present Flag","No child was present/not recorded",59647,877.527099885
2023,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Charges laid",29288,430.885270029
2023,"March","Criminal Incident Flag and Charges Laid","Criminal incident - No charges laid",17305,254.591286461
2023,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Unsolved",1749,25.731300781
2023,"March","Criminal Incident Flag and Charges Laid","No criminal incident",44743,658.259342971
2023,"March","Family Violence Safety Notice (FVSN)","Issued",12063,177.470944153
2023,"March","Family Violence Safety Notice (FVSN)","Not issued",81022,1191.996256088
2023,"March","IVO and/or FVSN","IVO applied for and/or FVSN issued",26272,386.513855989
2023,"March","IVO and/or FVSN","Neither IVO applied for nor FVSN issued",66813,982.953344253
2023,"March","Intervention Order Taken (IVO)","Applied for",14351,211.132016873
2023,"March","Intervention Order Taken (IVO)","Not applied for",78734,1158.335183368
2022,"March","Children Present Flag","Child recorded as present",33213,502.068559349
2022,"March","Children Present Flag","No child was present/not recorded",57569,870.249146213
2022,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Charges laid",29007,438.488022793
2022,"March","Criminal Incident Flag and Charges Laid","Criminal incident - No charges laid",16381,247.625480104
2022,"March","Criminal Incident Flag and Charges Laid","Criminal incident - Unsolved",1723,26.045949711
2022,"March","Criminal Incident Flag and Charges Laid","No criminal incident",43671,660.158252953
2022,"March","Family Violence Safety Notice (FVSN)","Issued",12429,187.884567011
2022,"March","Family Violence Safety Notice (FVSN)","Not issued",78353,1184.433138551
2022,"March","IVO and/or FVSN","IVO applied for and/or FVSN issued",26491,400.454587231
2022,"March","IVO and/or FVSN","Neither IVO applied for nor FVSN issued",64291,971.863118331
2022,"March","Intervention Order Taken (IVO)","Applied for",14206,214.746814624
2022,"March","Intervention Order Taken (IVO)","Not applied for",76576,1157.570890938
