"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2026,"March","Females","00-14 years","Aboriginal and/or Torres Strait Islander",257
2026,"March","Females","00-14 years","Non-Indigenous",2119
2026,"March","Females","00-14 years","Total People",2810
2026,"March","Females","15-17 years","Aboriginal and/or Torres Strait Islander",363
2026,"March","Females","15-17 years","Non-Indigenous",2181
2026,"March","Females","15-17 years","Total People",2755
2026,"March","Females","18-19 years","Aboriginal and/or Torres Strait Islander",327
2026,"March","Females","18-19 years","Non-Indigenous",1904
2026,"March","Females","18-19 years","Total People",2382
2026,"March","Females","20-24 years","Aboriginal and/or Torres Strait Islander",753
2026,"March","Females","20-24 years","Non-Indigenous",5481
2026,"March","Females","20-24 years","Total People",6512
2026,"March","Females","25-29 years","Aboriginal and/or Torres Strait Islander",713
2026,"March","Females","25-29 years","Non-Indigenous",7252
2026,"March","Females","25-29 years","Total People",8257
2026,"March","Females","30-34 years","Aboriginal and/or Torres Strait Islander",695
2026,"March","Females","30-34 years","Non-Indigenous",9262
2026,"March","Females","30-34 years","Total People",10259
2026,"March","Females","35-39 years","Aboriginal and/or Torres Strait Islander",681
2026,"March","Females","35-39 years","Non-Indigenous",10000
2026,"March","Females","35-39 years","Total People",10982
2026,"March","Females","40-44 years","Aboriginal and/or Torres Strait Islander",454
2026,"March","Females","40-44 years","Non-Indigenous",8580
2026,"March","Females","40-44 years","Total People",9362
2026,"March","Females","45-49 years","Aboriginal and/or Torres Strait Islander",389
2026,"March","Females","45-49 years","Non-Indigenous",6437
2026,"March","Females","45-49 years","Total People",7047
2026,"March","Females","50-54 years","Aboriginal and/or Torres Strait Islander",314
2026,"March","Females","50-54 years","Non-Indigenous",4942
2026,"March","Females","50-54 years","Total People",5459
2026,"March","Females","55-59 years","Aboriginal and/or Torres Strait Islander",218
2026,"March","Females","55-59 years","Non-Indigenous",3167
2026,"March","Females","55-59 years","Total People",3514
2026,"March","Females","60-64 years","Aboriginal and/or Torres Strait Islander",115
2026,"March","Females","60-64 years","Non-Indigenous",2071
2026,"March","Females","60-64 years","Total People",2289
2026,"March","Females","65 years and over","Aboriginal and/or Torres Strait Islander",164
2026,"March","Females","65 years and over","Non-Indigenous",4234
2026,"March","Females","65 years and over","Total People",4653
2026,"March","Females","Total","Aboriginal and/or Torres Strait Islander",5489
2026,"March","Females","Total","Non-Indigenous",68473
2026,"March","Females","Total","Total People",77227
2026,"March","Males","00-14 years","Aboriginal and/or Torres Strait Islander",160
2026,"March","Males","00-14 years","Non-Indigenous",1571
2026,"March","Males","00-14 years","Total People",2111
2026,"March","Males","15-17 years","Aboriginal and/or Torres Strait Islander",112
2026,"March","Males","15-17 years","Non-Indigenous",866
