"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2026,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Aboriginal and/or Torres Strait Islander",8
2026,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Non-Indigenous",179
2026,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Total People",228
2026,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Aboriginal and/or Torres Strait Islander",1157
2026,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Non-Indigenous",15685
2026,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Total People",17987
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Aboriginal and/or Torres Strait Islander",21
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Non-Indigenous",2914
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Total People",3201
2026,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Aboriginal and/or Torres Strait Islander",1340
2026,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Non-Indigenous",24945
2026,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Total People",28904
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Aboriginal and/or Torres Strait Islander",245
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Non-Indigenous",3691
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Total People",4369
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Aboriginal and/or Torres Strait Islander",161
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Non-Indigenous",3334
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Total People",4318
2026,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Aboriginal and/or Torres Strait Islander",7
