"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2026,"March","1 North West Metro","Banyule",7700,5777.922481859
2026,"March","1 North West Metro","Brimbank",14753,7416.515507986
2026,"March","1 North West Metro","Darebin",13151,8083.007160383
2026,"March","1 North West Metro","Hobsons Bay",6213,6352.072690462
2026,"March","1 North West Metro","Hume",17449,6016.769236634
2026,"March","1 North West Metro","Maribyrnong",9948,10380.696711235
2026,"March","1 North West Metro","Melbourne",33452,17110.127964162
2026,"March","1 North West Metro","Melton",12726,4848.306505288
2026,"March","1 North West Metro","Merri-bek",11111,5879.17580558
2026,"March","1 North West Metro","Moonee Valley",8126,6224.265059562
2026,"March","1 North West Metro","Nillumbik",1697,2654.889957912
2026,"March","1 North West Metro","Whittlesea",13440,4992.885387165
2026,"March","1 North West Metro","Wyndham",18922,5183.754034183
2026,"March","1 North West Metro","Yarra",12554,12312.147575824
2026,"March","1 North West Metro","Total",181242,7090.393549508
2026,"March","2 Eastern","Alpine",346,2607.090675754
2026,"March","2 Eastern","Bass Coast",2444,5418.532915172
2026,"March","2 Eastern","Baw Baw",3677,5740.191962095
2026,"March","2 Eastern","Benalla",1119,7590.146153719
2026,"March","2 Eastern","Boroondara",8108,4538.172811021
2026,"March","2 Eastern","East Gippsland",4659,9280.350819706
2026,"March","2 Eastern","Greater Shepparton",7174,10207.906673296
2026,"March","2 Eastern","Indigo",446,2491.479197954
2026,"March","2 Eastern","Knox",7862,4791.849354733
2026,"March","2 Eastern","Latrobe",10312,12922.771222453
2026,"March","2 Eastern","Manningham",4100,3083.042786773
2026,"March","2 Eastern","Mansfield",294,2650.681971248
2026,"March","2 Eastern","Maroondah",6811,5648.474088007
2026,"March","2 Eastern","Mitchell",3721,5822.744599176
2026,"March","2 Eastern","Moira",1757,5646.216762861
2026,"March","2 Eastern","Monash",11714,5516.248462705
2026,"March","2 Eastern","Murrindindi",578,3633.533501907
2026,"March","2 Eastern","South Gippsland",1628,5201.708858664
2026,"March","2 Eastern","Strathbogie",459,3835.572581202
2026,"March","2 Eastern","Towong",181,2916.03773718
2026,"March","2 Eastern","Wangaratta",1993,6607.856467088
2026,"March","2 Eastern","Wellington",4132,8830.122646163
2026,"March","2 Eastern","Whitehorse",9035,4862.545557845
2026,"March","2 Eastern","Wodonga",3240,7160.578054666
2026,"March","2 Eastern","Yarra Ranges",5798,3592.813395096
2026,"March","2 Eastern","Total",101588,5628.483023655
2026,"March","3 Southern Metro","Bayside",4120,3827.17975143
2026,"March","3 Southern Metro","Cardinia",6510,4765.597093953
2026,"March","3 Southern Metro","Casey",23284,5401.786228029
2026,"March","3 Southern Metro","Frankston",12643,8698.824059177
2026,"March","3 Southern Metro","Glen Eira",6098,3731.28413045
2026,"March","3 Southern Metro","Greater Dandenong",16925,10051.043498709
2026,"March","3 Southern Metro","Kingston",9294,5525.130944273
2026,"March","3 Southern Metro","Mornington Peninsula",8474,4912.501813169
2026,"March","3 Southern Metro","Port Phillip",12620,10986.943483425
2026,"March","3 Southern Metro","Stonnington",10719,9271.44142208
2026,"March","3 Southern Metro","Total",110687,6421.673470853
2026,"March","4 Western","Ararat",1104,9340.44414926
2026,"March","4 Western","Ballarat",11299,9015.227573926
2026,"March","4 Western","Buloke",243,4154.569629039
2026,"March","4 Western","Campaspe",2880,7598.246289823
2026,"March","4 Western","Central Goldfields",971,7043.902408767
2026,"March","4 Western","Colac-Otway",1394,6280.580680398
2026,"March","4 Western","Corangamite",757,4833.281212707
2026,"March","4 Western","Gannawarra",541,5252.995418042
2026,"March","4 Western","Glenelg",1679,8421.192617707
2026,"March","4 Western","Golden Plains",604,2239.84172846
2026,"March","4 Western","Greater Bendigo",8662,6770.627423721
2026,"March","4 Western","Greater Geelong",18882,6272.889816328
2026,"March","4 Western","Hepburn",660,3837.539304943
2026,"March","4 Western","Hindmarsh",266,4837.694731607
2026,"March","4 Western","Horsham",1790,8829.894132577
2026,"March","4 Western","Loddon",395,5097.60947681
2026,"March","4 Western","Macedon Ranges",2000,3627.917003993
2026,"March","4 Western","Mildura",5924,10269.106153748
2026,"March","4 Western","Moorabool",2422,5893.78077664
2026,"March","4 Western","Mount Alexander",961,4533.308029467
2026,"March","4 Western","Moyne",518,2907.178445567
2026,"March","4 Western","Northern Grampians",1273,10711.999569147
2026,"March","4 Western","Pyrenees",400,5046.57222024
2026,"March","4 Western","Queenscliffe",48,1297.333053756
2026,"March","4 Western","Southern Grampians",945,5733.597403429
2026,"March","4 Western","Surf Coast",1000,2453.864376358
2026,"March","4 Western","Swan Hill",1565,7462.179640651
2026,"March","4 Western","Warrnambool",2561,6984.3163494
2026,"March","4 Western","West Wimmera",165,4284.258387069
2026,"March","4 Western","Yarriambiack",341,5410.063973058
2026,"March","4 Western","Total",72250,6503.869679293
2026,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1067,
2026,"March","Justice Institutions and Immigration Facilities","Total",1067,
2026,"March","Unincorporated Vic","Unincorporated Vic",78,
2026,"March","Unincorporated Vic","Total",78,
2025,"March","1 North West Metro","Banyule",8067,6075.920765233
2025,"March","1 North West Metro","Brimbank",14334,7232.782153688
2025,"March","1 North West Metro","Darebin",14967,9210.688263096
2025,"March","1 North West Metro","Hobsons Bay",6271,6462.882996156
2025,"March","1 North West Metro","Hume",17256,6187.496638399
2025,"March","1 North West Metro","Maribyrnong",9811,10363.148555011
2025,"March","1 North West Metro","Melbourne",34556,17768.316699318
2025,"March","1 North West Metro","Melton",11856,5119.900503958
2025,"March","1 North West Metro","Merri-bek",12519,6620.026651437
2025,"March","1 North West Metro","Moonee Valley",8020,6145.546777419
2025,"March","1 North West Metro","Nillumbik",1755,2750.913052338
2025,"March","1 North West Metro","Whittlesea",13629,5246.786444358
2025,"March","1 North West Metro","Wyndham",18555,5334.502486847
2025,"March","1 North West Metro","Yarra",13020,12845.810805478
2025,"March","1 North West Metro","Total",184616,7436.894596191
2025,"March","2 Eastern","Alpine",329,2485.645210033
2025,"March","2 Eastern","Bass Coast",2502,5638.0557496
2025,"March","2 Eastern","Baw Baw",3987,6350.344036697
2025,"March","2 Eastern","Benalla",1158,7941.842123311
2025,"March","2 Eastern","Boroondara",7737,4332.002620366
2025,"March","2 Eastern","East Gippsland",4167,8389.538746502
2025,"March","2 Eastern","Greater Shepparton",7082,10136.692192085
2025,"March","2 Eastern","Indigo",467,2629.800653227
2025,"March","2 Eastern","Knox",8507,5192.894640459
2025,"March","2 Eastern","Latrobe",9767,12345.78824957
2025,"March","2 Eastern","Manningham",4146,3119.357168653
2025,"March","2 Eastern","Mansfield",316,2878.222060297
2025,"March","2 Eastern","Maroondah",6828,5678.312140843
2025,"March","2 Eastern","Mitchell",3769,6447.25363075
2025,"March","2 Eastern","Moira",1742,5643.750404976
2025,"March","2 Eastern","Monash",12098,5711.102613851
2025,"March","2 Eastern","Murrindindi",507,3240.030674847
2025,"March","2 Eastern","South Gippsland",1607,5165.707673021
2025,"March","2 Eastern","Strathbogie",558,4713.235915196
2025,"March","2 Eastern","Towong",162,2630.724261124
2025,"March","2 Eastern","Wangaratta",2020,6713.416863306
2025,"March","2 Eastern","Wellington",3751,8057.829047711
