"Year","Year ending","Police Region","Local Government Area","Family Incidents","Rate per 100,000 population"
2026,"March","1 North West Metro","Banyule",1419,1064.788571657
2026,"March","1 North West Metro","Brimbank",2775,1395.026810456
2026,"March","1 North West Metro","Darebin",1708,1049.789082954
2026,"March","1 North West Metro","Hobsons Bay",1040,1063.279510394
2026,"March","1 North West Metro","Hume",3704,1277.214353401
2026,"March","1 North West Metro","Maribyrnong",1153,1203.150714521
2026,"March","1 North West Metro","Melbourne",2258,1154.928522751
2026,"March","1 North West Metro","Melton",3530,1344.846924695
2026,"March","1 North West Metro","Merri-bek",1930,1021.22304966
2026,"March","1 North West Metro","Moonee Valley",1262,966.653027956
2026,"March","1 North West Metro","Nillumbik",488,763.456864738
2026,"March","1 North West Metro","Whittlesea",2978,1106.310467483
2026,"March","1 North West Metro","Wyndham",3974,1088.692449627
2026,"March","1 North West Metro","Yarra",1357,1330.857436705
2026,"March","1 North West Metro","Total",29576,1157.046819282
2026,"March","2 Eastern","Alpine",135,1017.217460193
2026,"March","2 Eastern","Bass Coast",828,1835.738647202
2026,"March","2 Eastern","Baw Baw",1198,1870.206682238
2026,"March","2 Eastern","Benalla",447,3031.988678027
2026,"March","2 Eastern","Boroondara",1139,637.515889461
2026,"March","2 Eastern","East Gippsland",2337,4655.114802673
2026,"March","2 Eastern","Greater Shepparton",2055,2924.065822919
2026,"March","2 Eastern","Indigo",166,927.321853947
2026,"March","2 Eastern","Knox",1861,1134.27011564
2026,"March","2 Eastern","Latrobe",3060,3834.724586957
2026,"March","2 Eastern","Manningham",945,710.603764268
2026,"March","2 Eastern","Mansfield",116,1045.847308384
2026,"March","2 Eastern","Maroondah",1429,1185.093153981
2026,"March","2 Eastern","Mitchell",1348,2109.395248506
2026,"March","2 Eastern","Moira",725,2329.827634078
2026,"March","2 Eastern","Monash",1809,851.877537053
2026,"March","2 Eastern","Murrindindi",207,1301.282759334
2026,"March","2 Eastern","South Gippsland",503,1607.161889378
2026,"March","2 Eastern","Strathbogie",150,1253.455091896
2026,"March","2 Eastern","Towong",88,1417.742104264
2026,"March","2 Eastern","Wangaratta",735,2436.916459262
2026,"March","2 Eastern","Wellington",1365,2917.017766702
2026,"March","2 Eastern","Whitehorse",1388,747.007552218
2026,"March","2 Eastern","Wodonga",1097,2424.430285793
2026,"March","2 Eastern","Yarra Ranges",2066,1280.226366725
2026,"March","2 Eastern","Total",27197,1506.849753852
2026,"March","3 Southern Metro","Bayside",825,766.36487741
2026,"March","3 Southern Metro","Cardinia",2011,1472.137596918
2026,"March","3 Southern Metro","Casey",6796,1576.642295383
2026,"March","3 Southern Metro","Frankston",2950,2029.702679315
2026,"March","3 Southern Metro","Glen Eira",1193,729.980644084
2026,"March","3 Southern Metro","Greater Dandenong",2984,1772.071716405
2026,"March","3 Southern Metro","Kingston",1847,1098.01128191
2026,"March","3 Southern Metro","Mornington Peninsula",2446,1417.981996107
2026,"March","3 Southern Metro","Port Phillip",1454,1265.849114493
2026,"March","3 Southern Metro","Stonnington",1110,960.098887817
2026,"March","3 Southern Metro","Total",23616,1370.117906237
2026,"March","4 Western","Ararat",296,2504.321982048
2026,"March","4 Western","Ballarat",2847,2271.559686961
2026,"March","4 Western","Buloke",84,1436.147526088
2026,"March","4 Western","Campaspe",844,2226.708287712
2026,"March","4 Western","Central Goldfields",386,2800.150700087
2026,"March","4 Western","Colac-Otway",477,2149.093963092
2026,"March","4 Western","Corangamite",208,1328.034996358
2026,"March","4 Western","Gannawarra",241,2340.05895702
2026,"March","4 Western","Glenelg",504,2527.862465351
2026,"March","4 Western","Golden Plains",218,808.419696696
2026,"March","4 Western","Greater Bendigo",2576,2013.523002021
2026,"March","4 Western","Greater Geelong",5413,1798.281568466
2026,"March","4 Western","Hepburn",176,1023.343814652
2026,"March","4 Western","Hindmarsh",84,1527.693073139
2026,"March","4 Western","Horsham",595,2935.076541276
2026,"March","4 Western","Loddon",123,1587.356875057
2026,"March","4 Western","Macedon Ranges",611,1108.32864472
2026,"March","4 Western","Mildura",2040,3536.289087381
2026,"March","4 Western","Moorabool",710,1727.739203722
2026,"March","4 Western","Mount Alexander",266,1254.797019603
2026,"March","4 Western","Moyne",210,1178.585856311
2026,"March","4 Western","Northern Grampians",365,3071.390292803
2026,"March","4 Western","Pyrenees",136,1715.834554882
2026,"March","4 Western","Queenscliffe",19,513.527667112
2026,"March","4 Western","Southern Grampians",361,2190.294881098
2026,"March","4 Western","Surf Coast",325,797.505922316
2026,"March","4 Western","Swan Hill",639,3046.85801302
2026,"March","4 Western","Warrnambool",898,2449.010574682
2026,"March","4 Western","West Wimmera",81,2103.181390016
