"Year","Year ending","Police Region","Local Government Area","Victim Reports","Rate per 100,000 population"
2026,"March","1 North West Metro","Banyule",4596,3448.744380081
2026,"March","1 North West Metro","Brimbank",8636,4341.423976613
2026,"March","1 North West Metro","Darebin",8028,4934.25454213
2026,"March","1 North West Metro","Hobsons Bay",3359,3434.188341745
2026,"March","1 North West Metro","Hume",10053,3466.47837331
2026,"March","1 North West Metro","Maribyrnong",6444,6724.287254443
2026,"March","1 North West Metro","Melbourne",20267,10366.225141985
2026,"March","1 North West Metro","Melton",6692,2549.494509931
2026,"March","1 North West Metro","Merri-bek",7390,3910.278931081
2026,"March","1 North West Metro","Moonee Valley",4910,3760.908373425
2026,"March","1 North West Metro","Nillumbik",952,1489.366670555
2026,"March","1 North West Metro","Whittlesea",7430,2760.203751982
2026,"March","1 North West Metro","Wyndham",10591,2901.444824861
2026,"March","1 North West Metro","Yarra",7739,7589.908402844
2026,"March","1 North West Metro","Total",107087,4189.36545633
2026,"March","2 Eastern","Alpine",211,1589.873215561
2026,"March","2 Eastern","Bass Coast",1378,3055.130260682
2026,"March","2 Eastern","Baw Baw",1963,3064.453854118
2026,"March","2 Eastern","Benalla",510,3459.315941373
2026,"March","2 Eastern","Boroondara",5466,3059.404610883
2026,"March","2 Eastern","East Gippsland",2346,4673.042074057
2026,"March","2 Eastern","Greater Shepparton",3341,4753.919179744
2026,"March","2 Eastern","Indigo",248,1385.396504692
2026,"March","2 Eastern","Knox",4238,2583.039629275
2026,"March","2 Eastern","Latrobe",5144,6446.347475591
2026,"March","2 Eastern","Manningham",2501,1880.656099931
2026,"March","2 Eastern","Mansfield",185,1667.94613837
2026,"March","2 Eastern","Maroondah",3339,2769.087502548
2026,"March","2 Eastern","Mitchell",1722,2694.642891637
2026,"March","2 Eastern","Moira",936,3007.887814478
2026,"March","2 Eastern","Monash",7501,3532.30149554
2026,"March","2 Eastern","Murrindindi",326,2049.363186197
2026,"March","2 Eastern","South Gippsland",856,2735.050849519
2026,"March","2 Eastern","Strathbogie",270,2256.219165413
2026,"March","2 Eastern","Towong",120,1933.284687633
2026,"March","2 Eastern","Wangaratta",900,2983.979337872
2026,"March","2 Eastern","Wellington",2214,4731.33870731
2026,"March","2 Eastern","Whitehorse",6078,3271.118085289
2026,"March","2 Eastern","Wodonga",1630,3602.389576884
2026,"March","2 Eastern","Yarra Ranges",3185,1973.630676679
2026,"March","2 Eastern","Total",56608,3136.366175169
2026,"March","3 Southern Metro","Bayside",2752,2556.407445615
2026,"March","3 Southern Metro","Cardinia",3773,2761.996595312
2026,"March","3 Southern Metro","Casey",14865,3448.615026613
2026,"March","3 Southern Metro","Frankston",6361,4376.589404447
2026,"March","3 Southern Metro","Glen Eira",4372,2675.167959712
2026,"March","3 Southern Metro","Greater Dandenong",9472,5625.021212394
2026,"March","3 Southern Metro","Kingston",4966,2952.205753094
2026,"March","3 Southern Metro","Mornington Peninsula",4669,2706.68762871
2026,"March","3 Southern Metro","Port Phillip",8080,7034.429742161
2026,"March","3 Southern Metro","Stonnington",7030,6080.626289507
2026,"March","3 Southern Metro","Total",66340,3848.815290471
2026,"March","4 Western","Ararat",561,4746.36699976
2026,"March","4 Western","Ballarat",5963,4757.748652387
2026,"March","4 Western","Buloke",114,1949.057356833
2026,"March","4 Western","Campaspe",1285,3390.189750841
2026,"March","4 Western","Central Goldfields",454,3293.441496993
2026,"March","4 Western","Colac-Otway",676,3045.676140566
2026,"March","4 Western","Corangamite",372,2375.139512717
2026,"March","4 Western","Gannawarra",253,2456.576415461
2026,"March","4 Western","Glenelg",853,4278.306910604
2026,"March","4 Western","Golden Plains",346,1283.088142462
2026,"March","4 Western","Greater Bendigo",4209,3289.952762231
