"Year","Year ending","Offence Division","Offence Subdivision","Offence Subgroup","Offence Count","Rate per 100,000 population"
2026,"March","A Crimes against the person","A10 Homicide and related offences","A11 Murder",56,0.778163825
2026,"March","A Crimes against the person","A10 Homicide and related offences","A12 Attempted murder",35,0.486352391
2026,"March","A Crimes against the person","A10 Homicide and related offences","A14 Manslaughter & A13  Accessory/ conspiracy to murder",11,0.152853609
2026,"March","A Crimes against the person","A10 Homicide and related offences","A15 Driving causing death",128,1.778660172
2026,"March","A Crimes against the person","A20 Assault and related offences","A211 FV Serious assault",10956,152.242194104
2026,"March","A Crimes against the person","A20 Assault and related offences","A212 Non-FV Serious assault",8301,115.348891316
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3299,45.842186779
2026,"March","A Crimes against the person","A20 Assault and related offences","A231 FV Common assault",15340,213.161304998
2026,"March","A Crimes against the person","A20 Assault and related offences","A232 Non-FV Common assault",14915,207.255597395
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",5103,70.910178579
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",5494,76.343429574
2026,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",299,4.154838996
2026,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",3458,48.051616211
2026,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",2923,40.617372523
2026,"March","A Crimes against the person","A40 Abduction and related offences","A41 Abduction",220,3.057072171
2026,"March","A Crimes against the person","A40 Abduction and related offences","A42 False imprisonment",545,7.573201514
2026,"March","A Crimes against the person","A40 Abduction and related offences","A43 Slavery and sexual servitude offences",1,0.013895783
2026,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2887,40.11712435
2026,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",371,5.155335343
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",346,4.807940778
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",209,2.904218562
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A711 FV Stalking",1911,26.554840538
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A712 Non-FV Stalking",1184,16.452606592
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A721 FV Harassment and private nuisance",2409,33.47494027
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A722 Non-FV Harassment and private nuisance",1585,22.024815412
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A731 FV Threatening behaviour",4382,60.891319329
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A732 Non-FV Threatening behaviour",3462,48.107199342
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",2222,30.876428925
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",16,0.222332522
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",1853,25.748885147
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",2635,36.615387136
2026,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",2821,39.200002699
2026,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",61,0.847642738
2026,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",845,11.741936292
2026,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",42954,596.879445559
2026,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",3881,53.929532249
2026,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",539,7.489826818
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B311 Residential aggravated burglary",6299,87.529534562
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B312 Non-residential aggravated burglary",358,4.974690169
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B319 Unknown aggravated burglary",6,0.083374696
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B321 Residential non-aggravated burglary",20003,277.957339236
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B322 Non-residential non-aggravated burglary",15321,212.897285129
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B329 Unknown non-aggravated burglary",102,1.417369825
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",31851,442.594571414
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",80786,1122.58469267
2026,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",41775,580.496317881
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",7316,101.661545461
2026,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",17782,247.094806093
2026,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",36,0.500248173
2026,"March","B Property and deception offences","B40 Theft","B49 Other theft",56135,780.039755936
2026,"March","B Property and deception offences","B50 Deception","B51 Forgery and counterfeiting",4211,58.515140505
2026,"March","B Property and deception offences","B50 Deception","B52 Possess equipment to make false instrument",19,0.264019869
2026,"March","B Property and deception offences","B50 Deception","B53 Obtain benefit by deception",27423,381.064046086
2026,"March","B Property and deception offences","B50 Deception","B54 State false information",644,8.948883991
2026,"March","B Property and deception offences","B50 Deception","B55 Deceptive business practices",16,0.222332522
2026,"March","B Property and deception offences","B50 Deception","B56 Professional malpractice and misrepresentation",107,1.486848738
2026,"March","B Property and deception offences","B50 Deception","B59 Other deception offences",550,7.642680427
2026,"March","B Property and deception offences","B60 Bribery","B61 Bribery of officials",4,0.05558313
2026,"March","C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",68,0.944913216
2026,"March","C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",3247,45.119606084
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",595,8.267990644
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs",1,0.013895783
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1719,23.88685028
2026,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",136,1.889826433
2026,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",27853,387.039232601
2026,"March","C Drug offences","C90 Other drug offences","C99 Other drug offences",14,0.194540956
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",5713,79.386605962
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",11767,163.511673788
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",303,4.210422126
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",1984,27.569232667
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",28,0.389081913
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",2484,34.517123964
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",390,5.419355212
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",2091,29.056081405
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",429,5.961290733
2026,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",297,4.127047431
2026,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",383,5.322084734
2026,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",9,0.125062043
2026,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel",16,0.222332522
2026,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",4750,66.004967323
2026,"March","D Public order and security offences","D30 Public nuisance offences","D36 Other public nuisance offences",22,0.305707217
2026,"March","D Public order and security offences","D40 Public security offences","D41 Immigration offences",3,0.041687348
2026,"March","D Public order and security offences","D40 Public security offences","D43 Hacking",255,3.543424562
2026,"March","D Public order and security offences","D40 Public security offences","D44 Terrorism offences",3,0.041687348
2026,"March","D Public order and security offences","D40 Public security offences","D49 Other public security offences",5,0.069478913
2026,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody",157,2.181637867
2026,"March","E Justice procedures offences","E10 Justice procedures","E12 Fail to appear",2,0.027791565
2026,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",10914,151.658571235
2026,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",517,7.184119601
2026,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",694,9.643673121
2026,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",2391,33.224816183
