"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Victim Reports","Rate per 100,000 population"
2026,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",228,3.168238432
2026,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",17987,249.943441525
2026,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3201,44.480400085
2026,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",28904,401.643700108
2026,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",4369,60.710674155
2026,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4318,60.001989243
2026,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",164,2.278908345
2026,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",422,5.864020255
2026,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",2455,34.114146269
2026,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",498,6.920099732
2026,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2595,36.059555832
2026,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",336,4.668982952
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",234,3.251613127
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",147,2.042680041
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2608,36.240201006
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5720,79.48387644
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3229,44.869481997
2026,"March","B Property and deception offences","B10 Arson","B10 Arson",1622,22.538959368
2026,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",26477,367.918635752
2026,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",921,12.798015769
2026,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",350,4.863523908
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",6300,87.543430345
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",19184,266.576693291
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",23167,321.923595364
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",64822,900.752419333
2026,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",382,5.308188951
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6930,96.297773379
2026,"March","B Property and deception offences","B40 Theft","Other theft offences",29114,404.561814453
2026,"March","B Property and deception offences","B50 Deception","B50 Deception",11321,157.314154751
2026,"March","C Other offences","C Other offences","C Other offences",139,1.931513781
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",221,3.124178754
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",17183,242.9084323
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3317,46.890954428
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",29967,423.630157174
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",4352,61.522289319
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4698,66.413537505
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",203,2.869720756
2025,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",528,7.464101278
2025,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",1087,15.366435774
2025,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",570,8.057836607
2025,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2950,41.702838578
2025,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",378,5.34361796
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",220,3.110042199
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",123,1.73879632
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2533,35.807894955
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5809,82.11925061
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3428,48.460112083
2025,"March","B Property and deception offences","B10 Arson","B10 Arson",1613,22.802263941
2025,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",26914,380.471253385
2025,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",1001,14.150692006
2025,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",366,5.173979295
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",7882,111.424330058
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",22132,312.870245223
2025,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",22021,311.301087568
2025,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",65744,929.393701514
2025,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",366,5.173979295
2025,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",8191,115.792525692
2025,"March","B Property and deception offences","B40 Theft","Other theft offences",31281,442.205591036
2025,"March","B Property and deception offences","B50 Deception","B50 Deception",10448,147.698731343
2025,"March","C Other offences","C Other offences","C Other offences",144,2.035663985
2024,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",210,3.021164987
2024,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",15000,215.79749908
2024,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2847,40.958365325
2024,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",27476,395.283472314
