"TYPE","YEAR","MONTH","DAY","HOUR","MINUTE","HUNDRED_BLOCK","NEIGHBOURHOOD","X","Y"
"Vehicle Collision or Pedestrian Struck (with Fatality)",2003,1,8,23,30,"POWELL ST / GLEN DR","Strathcona",494089,5458895
"Vehicle Collision or Pedestrian Struck (with Injury)",2003,1,9,18,40,"W BROADWAY AVE / VINE ST","Kitsilano",488530,5456804
"Vehicle Collision or Pedestrian Struck (with Injury)",2003,2,5,9,46,"GRANVILLE ST / W 70TH AVE","Marpole",489763,5450647
"Theft of Vehicle",2003,2,10,7,30,"46XX W 2ND AVE","West Point Grey",484494.7453,5457644.8461
"Break and Enter Residential/Other",2003,3,7,5,5,"24XX CAROLINA ST","Mount Pleasant",493381.8024,5456736.4097
"Other Theft",2003,3,20,18,0,"E HASTINGS ST / MAIN ST","Strathcona",492749.7913,5458737.3828
"Break and Enter Commercial",2003,3,22,18,0,"28XX E 1ST AVE","Hastings-Sunrise",496594.7144,5457399.7182
"Mischief",2003,3,28,8,21,"14XX LAMEYS MILL RD","Fairview",490007.6948,5457360.3881
"Break and Enter Residential/Other",2003,4,8,8,30,"6XX SE MARINE DR","Sunset",493348.7346,5450928.7935
"Mischief",2003,4,14,21,1,"13XX COMMERCIAL DR","Grandview-Woodland",494942.849,5457802.4478
"Break and Enter Residential/Other",2003,4,15,15,0,"29XX W 45TH AVE","Kerrisdale",487565.5278,5453153.9596
"Break and Enter Residential/Other",2003,4,22,9,0,"33XX E 28TH AVE","Renfrew-Collingwood",497699.1727,5454727.0973
"Other Theft",2003,4,24,5,45,"22XX MARLIN QUAY","Victoria-Fraserview",495659.126,5450440.6006
"Offence Against a Person",2003,4,26,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Theft of Vehicle",2003,4,30,19,0,"33XX TRUTCH ST","Arbutus Ridge",487191.8934,5456036.9581
"Mischief",2003,5,1,0,0,"58XX JOYCE ST","Killarney",497280.081,5453099.9717
"Break and Enter Residential/Other",2003,5,2,8,30,"19XX W 7TH AVE","Kitsilano",489121.9801,5456979.1603
"Break and Enter Commercial",2003,5,18,17,30,"13XX DAVIE ST","West End",490155.5609,5458929.7678
"Vehicle Collision or Pedestrian Struck (with Injury)",2003,5,21,16,16,"13XX E BROADWAY AVE","Grandview-Woodland",494386,5456628
"Offence Against a Person",2003,5,31,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Theft of Vehicle",2003,5,31,21,30,"7XX E 54TH AVE","Sunset",493409.9108,5451983.2858
"Theft of Vehicle",2003,6,23,0,1,"34XX E 49TH AVE","Killarney",497655.5165,5452424.228
"Mischief",2003,7,4,3,0,"57XX VICTORIA DR","Victoria-Fraserview",495225.3707,5453298.9954
"Other Theft",2003,7,15,15,0,"3XX W GEORGIA ST","Central Business District",491651.5653,5458615.1512
"Theft of Bicycle",2003,7,21,17,0,"ARBUTUS ST / W BROADWAY AVE","Kitsilano",488872.9023,5456795.4582
"Vehicle Collision or Pedestrian Struck (with Fatality)",2003,8,1,17,26,"KNIGHT ST / SE MARINE DR OFRP","Sunset",494376,5451033
"Vehicle Collision or Pedestrian Struck (with Injury)",2003,8,11,8,35,"26XX 1 HWY","Hastings-Sunrise",497727,5458042
"Break and Enter Commercial",2003,8,12,17,0,"57XX WEST BOULEVARD","Kerrisdale",488671.6649,5453511.3163
"Homicide",2003,8,16,0,0,"OFFSET TO PROTECT PRIVACY","Shaughnessy",0,0
"Theft from Vehicle",2003,8,16,12,45,"8XX BURRARD ST","Central Business District",491066.1932,5458945.8116
"Theft of Bicycle",2003,8,18,22,29,"5XX E 13TH AVE","Mount Pleasant",493350.896,5456237.0696
"Theft from Vehicle",2003,8,26,22,0,"34XX E HASTINGS ST","Hastings-Sunrise",497881.503,5458714.0205
"Other Theft",2003,9,10,0,0,"61XX ALBERTA ST","Oakridge",491776.176,5452960.9786
"Mischief",2003,9,25,22,30,"9XX SEYMOUR ST","Central Business District",491208.2714,5458510.421
"Theft of Bicycle",2003,10,1,22,0,"22XX E 7TH AVE","Grandview-Woodland",495736.6941,5456817.952
"Break and Enter Residential/Other",2003,10,3,23,0,"13XX W PENDER ST","Central Business District",490796.4177,5459620.8865
"Vehicle Collision or Pedestrian Struck (with Injury)",2003,10,4,9,3,"27XX BLOCK WILLIAM ST","Hastings-Sunrise",496500,5457907
"Other Theft",2003,10,5,22,37,"14XX E BROADWAY AVE","Kensington-Cedar Cottage",494585.3434,5456620.5618
"Vehicle Collision or Pedestrian Struck (with Fatality)",2003,11,17,17,5,"KNIGHT ST / E 41ST AVE","Kensington-Cedar Cottage",494389,5453331
"Break and Enter Residential/Other",2003,11,24,12,0,"28XX W 17TH AVE","Arbutus Ridge",487671.1038,5456045.9981
"Theft of Vehicle",2003,12,7,6,52,"22XX PANDORA ST","Grandview-Woodland",495733.2171,5458922.8419
"Vehicle Collision or Pedestrian Struck (with Fatality)",2003,12,28,12,47,"9XX BLOCK E 7TH AVE","Mount Pleasant",493871,5456815
